,feat,cluster,pw_entr,feat_n,N,group,relrole
22,acl> ...,0,0.006,1,159,Dicotyledon__class,taxongroup_comment
23,acl> document,0,0.037,2,159,Dicotyledon__class,taxongroup_comment
26,acl>advmod> ever,0,0.037,2,159,Dicotyledon__class,taxongroup_comment
27,acl>obl> ...,0,0.005,1,159,Dicotyledon__class,taxongroup_comment
28,acl>obl>amod> ...,0,0.014,1,159,Dicotyledon__class,taxongroup_comment
30,acl>obl>case> ...,0,0.008,1,159,Dicotyledon__class,taxongroup_comment
33,acl>obl>det> ...,0,0.014,1,159,Dicotyledon__class,taxongroup_comment
36,amod> ...,0,0.014,5,159,Dicotyledon__class,taxongroup_comment
45,amod> unpublished,0,0.014,1,159,Dicotyledon__class,taxongroup_comment
48,amod>advmod> most,0,0.012,1,159,Dicotyledon__class,taxongroup_comment
49,amod>conj> ...,0,0.01,1,159,Dicotyledon__class,taxongroup_comment
50,amod>conj>cc> and,0,0.01,1,159,Dicotyledon__class,taxongroup_comment
54,appos< ...,0,0.018,2,159,Dicotyledon__class,taxongroup_comment
58,appos<amod> ...,0,0.043,3,159,Dicotyledon__class,taxongroup_comment
59,appos<appos> ...,0,0.032,2,159,Dicotyledon__class,taxongroup_comment
61,appos<case> of,0,0.014,1,159,Dicotyledon__class,taxongroup_comment
67,appos<conj> ...,0,0.01,1,159,Dicotyledon__class,taxongroup_comment
70,appos<list> ...,0,0.01,1,159,Dicotyledon__class,taxongroup_comment
71,appos<list>compound> ...,0,0.037,2,159,Dicotyledon__class,taxongroup_comment
73,appos<nmod< ...,0,0.01,1,159,Dicotyledon__class,taxongroup_comment
81,appos> ...,0,0.008,2,159,Dicotyledon__class,taxongroup_comment
82,appos> angiosperm,0,0.032,2,159,Dicotyledon__class,taxongroup_comment
83,appos>compound> ...,0,0.01,1,159,Dicotyledon__class,taxongroup_comment
88,appos>det> the,0,0.012,1,159,Dicotyledon__class,taxongroup_comment
94,case> in,0,0.003,1,159,Dicotyledon__class,taxongroup_comment
100,cc> and,0,0.012,2,159,Dicotyledon__class,taxongroup_comment
105,compound< ...,0,-0.003,1,159,Dicotyledon__class,taxongroup_comment
147,compound<conj< ...,0,0.01,1,159,Dicotyledon__class,taxongroup_comment
148,compound<conj<case> ...,0,0.01,1,159,Dicotyledon__class,taxongroup_comment
151,compound<conj<conj> ...,0,0.056,3,159,Dicotyledon__class,taxongroup_comment
191,compound> ...,0,-0.001,2,159,Dicotyledon__class,taxongroup_comment
194,compound> flower,0,0.032,2,159,Dicotyledon__class,taxongroup_comment
195,compound> flowering,0,0.01,1,159,Dicotyledon__class,taxongroup_comment
207,conj< apple,0,0.014,1,159,Dicotyledon__class,taxongroup_comment
208,conj< source,0,0.014,1,159,Dicotyledon__class,taxongroup_comment
209,conj< tree,0,0.014,1,159,Dicotyledon__class,taxongroup_comment
210,conj<amod> ...,0,0.003,1,159,Dicotyledon__class,taxongroup_comment
215,conj<case> of,0,0.014,1,159,Dicotyledon__class,taxongroup_comment
216,conj<case> such,0,0.012,1,159,Dicotyledon__class,taxongroup_comment
217,conj<case>fixed> as,0,0.012,1,159,Dicotyledon__class,taxongroup_comment
219,conj<compound> food,0,0.014,1,159,Dicotyledon__class,taxongroup_comment
220,conj<conj> ...,0,0.012,3,159,Dicotyledon__class,taxongroup_comment
222,conj<conj>cc> and,0,0.006,1,159,Dicotyledon__class,taxongroup_comment
224,conj<cop> be,0,0.008,1,159,Dicotyledon__class,taxongroup_comment
