	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Dicotyledon__class	2084
1	adaptation_comment	adaptation_topic	0.5857513621415422	Dicotyledon__class	2084
2	adaptation_comment	free_topic	0.4863023525249325	Dicotyledon__class	2084
3	adaptation_comment	location_comment	0.6076617626715418	Dicotyledon__class	2084
4	adaptation_comment	location_topic	0.5345794766704903	Dicotyledon__class	2084
5	adaptation_comment	taxongroup_comment	0.5715734736208202	Dicotyledon__class	2084
6	adaptation_comment	taxongroup_topic	0.4849715451053514	Dicotyledon__class	2084
7	adaptation_topic	adaptation_comment	0.5857513621415422	Dicotyledon__class	2084
8	adaptation_topic	adaptation_topic	0.0	Dicotyledon__class	2084
9	adaptation_topic	free_topic	0.4104192406426466	Dicotyledon__class	2084
10	adaptation_topic	location_comment	0.49332001853993523	Dicotyledon__class	2084
11	adaptation_topic	location_topic	0.42022295012883004	Dicotyledon__class	2084
12	adaptation_topic	taxongroup_comment	0.4651670630641187	Dicotyledon__class	2084
13	adaptation_topic	taxongroup_topic	0.37401032214757474	Dicotyledon__class	2084
14	free_topic	adaptation_comment	0.4863023525249325	Dicotyledon__class	2084
15	free_topic	adaptation_topic	0.4104192406426466	Dicotyledon__class	2084
16	free_topic	free_topic	0.0	Dicotyledon__class	2084
17	free_topic	location_comment	0.43727882031317145	Dicotyledon__class	2084
18	free_topic	location_topic	0.3302680931053878	Dicotyledon__class	2084
19	free_topic	taxongroup_comment	0.29861118518360713	Dicotyledon__class	2084
20	free_topic	taxongroup_topic	0.1844094529860069	Dicotyledon__class	2084
21	location_comment	adaptation_comment	0.6076617626715418	Dicotyledon__class	2084
22	location_comment	adaptation_topic	0.49332001853993523	Dicotyledon__class	2084
23	location_comment	free_topic	0.43727882031317145	Dicotyledon__class	2084
24	location_comment	location_comment	0.0	Dicotyledon__class	2084
25	location_comment	location_topic	0.5433509244438619	Dicotyledon__class	2084
26	location_comment	taxongroup_comment	0.47745797831706743	Dicotyledon__class	2084
27	location_comment	taxongroup_topic	0.4527801094397682	Dicotyledon__class	2084
28	location_topic	adaptation_comment	0.5345794766704903	Dicotyledon__class	2084
29	location_topic	adaptation_topic	0.42022295012883004	Dicotyledon__class	2084
30	location_topic	free_topic	0.3302680931053878	Dicotyledon__class	2084
31	location_topic	location_comment	0.5433509244438619	Dicotyledon__class	2084
32	location_topic	location_topic	0.0	Dicotyledon__class	2084
33	location_topic	taxongroup_comment	0.4714167582393334	Dicotyledon__class	2084
34	location_topic	taxongroup_topic	0.3260586044946025	Dicotyledon__class	2084
35	taxongroup_comment	adaptation_comment	0.5715734736208202	Dicotyledon__class	2084
36	taxongroup_comment	adaptation_topic	0.4651670630641187	Dicotyledon__class	2084
37	taxongroup_comment	free_topic	0.29861118518360713	Dicotyledon__class	2084
38	taxongroup_comment	location_comment	0.47745797831706743	Dicotyledon__class	2084
39	taxongroup_comment	location_topic	0.4714167582393334	Dicotyledon__class	2084
40	taxongroup_comment	taxongroup_comment	0.0	Dicotyledon__class	2084
41	taxongroup_comment	taxongroup_topic	0.3590364473194011	Dicotyledon__class	2084
42	taxongroup_topic	adaptation_comment	0.4849715451053514	Dicotyledon__class	2084
43	taxongroup_topic	adaptation_topic	0.37401032214757474	Dicotyledon__class	2084
44	taxongroup_topic	free_topic	0.1844094529860069	Dicotyledon__class	2084
45	taxongroup_topic	location_comment	0.4527801094397682	Dicotyledon__class	2084
46	taxongroup_topic	location_topic	0.3260586044946025	Dicotyledon__class	2084
47	taxongroup_topic	taxongroup_comment	0.3590364473194011	Dicotyledon__class	2084
48	taxongroup_topic	taxongroup_topic	0.0	Dicotyledon__class	2084
