feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
flat<flat> ...,0.974,0.0,0.577,0.134,16,Dinosaur__superorder,taxongroup_topic
conj<conj> Barosaurus,0.974,0.0,0.756,0.03,4,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>amod> know,0.95,0.0,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>amod> herbivorous,0.949,0.0,0.577,0.134,7,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>amod> iguanodontian,0.946,0.0,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>amod> ...,0.943,0.0,0.577,0.134,14,Dinosaur__superorder,taxongroup_topic
nsubj<obl>case> alongside,0.937,0.001,0.756,0.03,2,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>amod> ornithischian,0.937,0.001,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
amod> most,0.931,0.001,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
nmod>case> than,0.928,0.001,0.577,0.134,4,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>amod> saurischian,0.924,0.001,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
nsubj< group,0.922,0.001,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
nsubj< member,0.918,0.001,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
acl:relcl>obl>amod> late,0.916,0.001,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
acl:relcl>obl>amod> ...,0.914,0.001,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
conj<conj> Diplodocus,0.912,0.002,0.733,0.039,5,Dinosaur__superorder,taxongroup_topic
nsubj< genus,0.909,0.002,0.577,0.134,8,Dinosaur__superorder,taxongroup_topic
conj>appos> ...,0.907,0.002,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
conj<conj> Brachiosaurus,0.907,0.002,0.733,0.039,5,Dinosaur__superorder,taxongroup_topic
nmod<acl:relcl>nsubj> ...,0.906,0.002,0.577,0.134,1,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>case> of,0.895,0.003,0.577,0.134,29,Dinosaur__superorder,taxongroup_topic
nmod<obl<nsubj> ...,0.894,0.003,0.436,0.28,4,Dinosaur__superorder,taxongroup_topic
nmod< ancestor,0.887,0.003,0.764,0.027,3,Dinosaur__superorder,taxongroup_topic
conj> dinosaur,0.885,0.003,0.756,0.03,2,Dinosaur__superorder,taxongroup_topic
nmod>case> include,0.881,0.004,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
nsubj<obl>case> than,0.88,0.004,0.756,0.03,2,Dinosaur__superorder,taxongroup_topic
nmod< dinosaur,0.879,0.004,0.764,0.027,5,Dinosaur__superorder,taxongroup_topic
nsubj< clade,0.875,0.004,0.577,0.134,5,Dinosaur__superorder,taxongroup_topic
amod> herbivorous,0.872,0.005,0.327,0.429,5,Dinosaur__superorder,taxongroup_topic
obl<amod<advmod> ...,0.871,0.005,0.577,0.134,1,Dinosaur__superorder,taxongroup_topic
nmod>case> from,0.868,0.005,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
nsubj< be,0.866,0.005,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
obl<conj> ...,0.865,0.006,0.764,0.027,3,Dinosaur__superorder,taxongroup_topic
nsubj<det> the,0.861,0.006,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
nmod< those,0.856,0.007,0.764,0.027,3,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>nmod> dinosaur,0.854,0.007,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
nsubj< one,0.853,0.007,0.577,0.134,8,Dinosaur__superorder,taxongroup_topic
nmod>case> ...,0.852,0.007,0.218,0.604,5,Dinosaur__superorder,taxongroup_topic
nmod< ...,0.85,0.008,0.307,0.46,70,Dinosaur__superorder,taxongroup_topic
nmod<case> ...,0.849,0.008,0.733,0.039,7,Dinosaur__superorder,taxongroup_topic
nsubj<obl>case> with,0.841,0.009,0.764,0.027,4,Dinosaur__superorder,taxongroup_topic
nmod< group,0.84,0.009,0.577,0.134,6,Dinosaur__superorder,taxongroup_topic
nmod< family,0.839,0.009,0.764,0.027,3,Dinosaur__superorder,taxongroup_topic
amod> giant,0.838,0.009,0.218,0.604,4,Dinosaur__superorder,taxongroup_topic
nsubj<obl>det> a,0.837,0.01,0.764,0.027,3,Dinosaur__superorder,taxongroup_topic
nmod<obl<nsubj> this,0.837,0.01,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
nmod< species,0.836,0.01,0.764,0.027,5,Dinosaur__superorder,taxongroup_topic
nsubj<det> ...,0.834,0.01,0.577,0.134,1,Dinosaur__superorder,taxongroup_topic
nmod< size,0.833,0.01,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
conj<case> like,0.832,0.01,0.825,0.012,4,Dinosaur__superorder,taxongroup_topic
det> the,0.829,0.011,0.347,0.399,46,Dinosaur__superorder,taxongroup_topic
amod> large,0.829,0.011,0.327,0.429,3,Dinosaur__superorder,taxongroup_topic
compound<nmod<obj< show,0.828,0.011,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
conj<conj> ...,0.827,0.011,0.447,0.267,52,Dinosaur__superorder,taxongroup_topic
nmod< taxa,0.825,0.012,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
conj> ...,0.825,0.012,0.736,0.038,36,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>det> the,0.824,0.012,0.577,0.134,14,Dinosaur__superorder,taxongroup_topic
nmod>case> such,0.822,0.012,0.674,0.067,5,Dinosaur__superorder,taxongroup_topic
nsubj< animal,0.821,0.012,0.577,0.134,5,Dinosaur__superorder,taxongroup_topic
conj<nmod<nsubj> ...,-0.819,0.013,-0.577,0.134,1,Dinosaur__superorder,taxongroup_topic
conj> Camarasaurus,0.817,0.013,0.733,0.039,5,Dinosaur__superorder,taxongroup_topic
case> include,0.812,0.014,0.866,0.005,6,Dinosaur__superorder,taxongroup_topic
nsubj<det> a,0.812,0.014,0.546,0.162,27,Dinosaur__superorder,taxongroup_topic
nmod<det> the,0.811,0.014,0.627,0.096,43,Dinosaur__superorder,taxongroup_topic
nsubj<advmod> ...,0.807,0.015,0.873,0.005,19,Dinosaur__superorder,taxongroup_topic
case> to,0.799,0.017,0.822,0.012,22,Dinosaur__superorder,taxongroup_topic
det> all,0.799,0.017,0.436,0.28,3,Dinosaur__superorder,taxongroup_topic
nmod<nmod<amod> ...,-0.795,0.018,-0.764,0.027,4,Dinosaur__superorder,taxongroup_topic
appos>acl> ...,0.789,0.02,0.729,0.04,4,Dinosaur__superorder,taxongroup_topic
compound< order,0.788,0.02,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
conj<conj> Camarasaurus,0.784,0.021,0.733,0.039,7,Dinosaur__superorder,taxongroup_topic
conj<conj>conj> ...,-0.783,0.022,-0.764,0.027,5,Dinosaur__superorder,taxongroup_topic
conj> Theropoda,0.782,0.022,0.655,0.078,3,Dinosaur__superorder,taxongroup_topic
nsubj>det> the,0.781,0.022,0.655,0.078,3,Dinosaur__superorder,taxongroup_topic
amod> ...,0.78,0.022,-0.169,0.69,68,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>det> a,0.779,0.023,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
obl< ...,0.778,0.023,0.356,0.387,23,Dinosaur__superorder,taxongroup_topic
nsubj<cop> be,0.778,0.023,0.225,0.592,51,Dinosaur__superorder,taxongroup_topic
compound< genera,0.778,0.023,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
obj<nsubj>det> the,0.778,0.023,0.546,0.162,3,Dinosaur__superorder,taxongroup_topic
obl<obl>case> ...,0.777,0.023,0.764,0.027,3,Dinosaur__superorder,taxongroup_topic
nsubj<advmod> not,0.777,0.023,0.756,0.03,2,Dinosaur__superorder,taxongroup_topic
nmod<nsubj>det> some,0.777,0.023,0.756,0.03,2,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>acl> ...,0.776,0.024,0.577,0.134,4,Dinosaur__superorder,taxongroup_topic
nmod<case> for,0.773,0.025,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
conj> Diplodocus,0.771,0.025,0.733,0.039,3,Dinosaur__superorder,taxongroup_topic
nmod<case> than,0.771,0.025,0.756,0.03,2,Dinosaur__superorder,taxongroup_topic
amod> non-avian,0.769,0.026,0.436,0.28,6,Dinosaur__superorder,taxongroup_topic
nmod<obl<aux> ...,0.767,0.026,0.577,0.134,1,Dinosaur__superorder,taxongroup_topic
nmod<nsubj>det> the,0.767,0.026,0.756,0.03,2,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>nmod> ...,0.765,0.027,0.577,0.134,6,Dinosaur__superorder,taxongroup_topic
nmod<case> to,0.765,0.027,0.733,0.039,4,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>case> ...,0.76,0.029,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
nmod<cop> be,0.76,0.029,0.764,0.027,15,Dinosaur__superorder,taxongroup_topic
amod>compound> ...,0.759,0.029,0.577,0.134,1,Dinosaur__superorder,taxongroup_topic
nmod<case> of,0.755,0.03,0.733,0.039,12,Dinosaur__superorder,taxongroup_topic
nmod< clade,0.75,0.032,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
nsubj<nmod>acl:relcl> ...,0.749,0.032,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
conj<conj> Maraapunisaurus,0.745,0.034,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
nmod<nmod:poss> ...,0.743,0.035,0.577,0.134,2,Dinosaur__superorder,taxongroup_topic
acl:relcl> have,0.743,0.035,0.756,0.03,2,Dinosaur__superorder,taxongroup_topic
nmod<det> ...,0.742,0.035,0.756,0.03,2,Dinosaur__superorder,taxongroup_topic
nmod<det> a,0.74,0.036,0.464,0.247,26,Dinosaur__superorder,taxongroup_topic
conj> Stegosauria,0.739,0.036,0.769,0.026,5,Dinosaur__superorder,taxongroup_topic
nmod<conj>advmod> ...,0.735,0.038,0.577,0.134,4,Dinosaur__superorder,taxongroup_topic
obj<obl>det> ...,-0.734,0.038,-0.577,0.134,1,Dinosaur__superorder,taxongroup_topic
obj<advcl> ...,0.73,0.04,0.784,0.021,5,Dinosaur__superorder,taxongroup_topic
nmod<nmod< group,0.727,0.041,0.63,0.094,2,Dinosaur__superorder,taxongroup_topic
cop> be,0.727,0.041,0.617,0.103,8,Dinosaur__superorder,taxongroup_topic
nsubj<obl>case> ...,0.724,0.042,0.655,0.078,11,Dinosaur__superorder,taxongroup_topic
conj< bird,0.72,0.044,0.577,0.134,3,Dinosaur__superorder,taxongroup_topic
nmod<obl> ...,0.72,0.044,0.546,0.162,4,Dinosaur__superorder,taxongroup_topic
nsubj<parataxis>nsubj> ...,0.719,0.045,0.674,0.067,4,Dinosaur__superorder,taxongroup_topic
