,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Sauf0a7_8_dinosaurs-6,dinosaurs,Sauropoda#infraorder,nsubj<,travel,VERB,7,nsubj< ...,0.375839822434897,0.12075000768567695,Dinosaur__superorder,taxongroup_comment,4,44
8,Orn1510_4_dinosaurs-4,dinosaurs,Dinosaur#superorder,nsubj<,all,DET,12,nsubj< ...,0.6397843663242213,-0.3301771810002586,Dinosaur__superorder,taxongroup_comment,4,44
4,Ani-161e_84_dinosaurs-11,dinosaurs,Dinosaur#superorder,nmod>case>,such,ADJ,12,nmod>case> such,0.4360050936941484,-0.258389938215499,Dinosaur__superorder,taxongroup_comment,4,44
4,Tri-1ad8_23_dinosaurs-7,dinosaurs,Ceratopsia#infraorder,nsubj<,be,VERB,5,nsubj< ...,0.6109092773873857,-0.24422480384583448,Dinosaur__superorder,taxongroup_comment,4,44
6,Tri-1ad8_23_dinosaurs-7,dinosaurs,Ceratopsia#infraorder,nmod>case>,by,ADP,8,nmod>case> by,0.3992108166139537,-0.1682487286863217,Dinosaur__superorder,taxongroup_comment,4,44
12,Ostc297_8_dinosaurs-9,dinosaurs,Sauropoda#infraorder,nsubj<,flexible,ADJ,15,nsubj< ...,0.5681754237136954,-0.10218597109297474,Dinosaur__superorder,taxongroup_comment,4,44
14,Pro-b074_32_dinosaurs-10,dinosaurs,Sauropoda#infraorder,nsubj<,develop,VERB,18,nsubj< ...,0.6111784226697303,-0.163174841325407,Dinosaur__superorder,taxongroup_comment,4,44
9,Bro-f1dc_314_animals-35,animals,Animal#kingdom,nsubj<,represent,VERB,44,nsubj< ...,0.46895518218461807,-0.37888074370395125,Dinosaur__superorder,taxongroup_comment,4,44
3,Apa-3e1a_256_animals-12,animals,Animal#kingdom,nsubj<,grow,VERB,13,nsubj< grow,0.6438620136805308,-0.020039556722727087,Dinosaur__superorder,taxongroup_comment,4,44
3,Bro-f1dc_248_animals-12,animals,Animal#kingdom,nsubj<,grow,VERB,13,nsubj< grow,0.6438620136805308,-0.020039556722727087,Dinosaur__superorder,taxongroup_comment,4,44
4,Ste-56e3_385_Dinosaurs-1,Dinosaurs,Dinosaur#superorder,nsubj<,include,VERB,6,nsubj< include,0.6411135969990804,-0.3122554343922651,Dinosaur__superorder,taxongroup_comment,4,44
10,Bro-f1dc_169_Sauropoda-11,Sauropoda,Sauropoda#infraorder,nsubj<,synonym,NOUN,16,nsubj< synonym,0.38360009974259474,-0.3671096190342021,Dinosaur__superorder,taxongroup_comment,4,44
9,Apa-3e1a_204_Sauropoda-10,Sauropoda,Sauropoda#infraorder,nsubj<,synonym,NOUN,15,nsubj< synonym,0.38360009974259474,-0.3671096190342021,Dinosaur__superorder,taxongroup_comment,4,44
6,Apa-3e1a_252_dinosaur-12,dinosaur,Dinosaur#superorder,nmod>case>,about,ADP,13,nmod>case> ...,0.687356808701679,-0.46036693801459594,Dinosaur__superorder,taxongroup_comment,4,44
17,Apa-3e1a_252_dinosaur-12,dinosaur,Dinosaur#superorder,nsubj<,possess,VERB,27,nsubj< ...,0.5842316115270897,-0.23247122040802176,Dinosaur__superorder,taxongroup_comment,4,44
14,Arg-b9cb_3_animals-18,animals,Animal#kingdom,nmod>case>,of,ADP,19,nmod>case> of,0.6000171443408195,-0.36319844801776013,Dinosaur__superorder,taxongroup_comment,4,44
9,Sau-89d2_35_dinosaur-3,dinosaur,Dinosaur#superorder,nsubj<,Argentinosaurus,PROPN,11,nsubj< ...,0.3919429254525274,-0.35929716141358586,Dinosaur__superorder,taxongroup_comment,4,44
9,Din-756f_394_dinosaurs-25,dinosaurs,Dinosaur#superorder,nsubj<,seem,VERB,26,nsubj< ...,0.5293912902129975,-0.2915642040104305,Dinosaur__superorder,taxongroup_comment,4,44
