,feat,cluster,pw_entr,feat_n,N,group,relrole
1,advmod> ...,0,0.003,1,91,Dinosaur__superorder,adaptation_comment
2,advmod> mainly,0,0.01,1,91,Dinosaur__superorder,adaptation_comment
3,amod< ...,0,-0.007,2,91,Dinosaur__superorder,adaptation_comment
7,amod< dinosaur,0,-0.002,5,91,Dinosaur__superorder,adaptation_comment
8,amod< group,0,0.025,3,91,Dinosaur__superorder,adaptation_comment
9,amod< theropod,0,0.01,1,91,Dinosaur__superorder,adaptation_comment
10,amod<acl:relcl> ...,0,0.003,1,91,Dinosaur__superorder,adaptation_comment
11,amod<acl:relcl> live,0,0.053,3,91,Dinosaur__superorder,adaptation_comment
13,amod<acl:relcl>nsubj> that,0,0.044,3,91,Dinosaur__superorder,adaptation_comment
14,amod<acl:relcl>obl> ...,0,0.053,4,91,Dinosaur__superorder,adaptation_comment
15,amod<acl:relcl>obl> period,0,0.035,2,91,Dinosaur__superorder,adaptation_comment
16,amod<amod> ...,0,-0.014,2,91,Dinosaur__superorder,adaptation_comment
21,amod<amod>advmod> ...,0,0.006,1,91,Dinosaur__superorder,adaptation_comment
24,amod<case> as,0,0.01,1,91,Dinosaur__superorder,adaptation_comment
27,amod<case> of,0,0.053,8,91,Dinosaur__superorder,adaptation_comment
34,amod<compound> sauropod,0,0.035,2,91,Dinosaur__superorder,adaptation_comment
45,amod<conj> ...,0,0.015,2,91,Dinosaur__superorder,adaptation_comment
46,amod<conj>cc> ...,0,0.035,2,91,Dinosaur__superorder,adaptation_comment
48,amod<cop> be,0,0.006,1,91,Dinosaur__superorder,adaptation_comment
49,amod<det> a,0,0.036,3,91,Dinosaur__superorder,adaptation_comment
50,amod<det> the,0,-0.004,1,91,Dinosaur__superorder,adaptation_comment
51,amod<nmod< ...,0,0.014,3,91,Dinosaur__superorder,adaptation_comment
53,amod<nmod< clade,0,0.027,2,91,Dinosaur__superorder,adaptation_comment
54,amod<nmod< genus,0,0.02,2,91,Dinosaur__superorder,adaptation_comment
55,amod<nmod< group,0,0.0,1,91,Dinosaur__superorder,adaptation_comment
57,amod<nmod<amod> ...,0,0.015,2,91,Dinosaur__superorder,adaptation_comment
58,amod<nmod<amod> extinct,0,0.01,1,91,Dinosaur__superorder,adaptation_comment
64,amod<nmod<cop> be,0,0.073,6,91,Dinosaur__superorder,adaptation_comment
66,amod<nmod<det> a,0,0.061,6,91,Dinosaur__superorder,adaptation_comment
67,amod<nmod<det> the,0,0.0,1,91,Dinosaur__superorder,adaptation_comment
69,amod<nmod<nsubj> ...,0,0.073,6,91,Dinosaur__superorder,adaptation_comment
73,amod<nmod> ...,0,0.03,3,91,Dinosaur__superorder,adaptation_comment
76,amod<nmod>case> ...,0,0.0,1,91,Dinosaur__superorder,adaptation_comment
77,amod<nmod>case> of,0,0.027,2,91,Dinosaur__superorder,adaptation_comment
78,amod<nmod>det> the,0,0.003,1,91,Dinosaur__superorder,adaptation_comment
81,amod<obj< ...,0,0.003,1,91,Dinosaur__superorder,adaptation_comment
82,amod<obj<nsubj> ...,0,0.006,1,91,Dinosaur__superorder,adaptation_comment
83,amod<obl< ...,0,-0.004,1,91,Dinosaur__superorder,adaptation_comment
86,amod<obl<aux:pass> be,0,0.006,1,91,Dinosaur__superorder,adaptation_comment
91,amod<obl<nsubj:pass> ...,0,0.006,1,91,Dinosaur__superorder,adaptation_comment
110,advmod> ...,1,0.07,3,69,Dinosaur__superorder,adaptation_comment
112,amod< ...,1,0.015,3,69,Dinosaur__superorder,adaptation_comment
113,amod< behavior,1,0.035,2,69,Dinosaur__superorder,adaptation_comment
114,amod< behaviour,1,0.055,2,69,Dinosaur__superorder,adaptation_comment
116,amod< dinosaur,1,0.001,4,69,Dinosaur__superorder,adaptation_comment
118,amod< theropod,1,0.017,1,69,Dinosaur__superorder,adaptation_comment
125,amod<amod> ...,1,-0.01,2,69,Dinosaur__superorder,adaptation_comment
128,amod<amod> other,1,0.035,2,69,Dinosaur__superorder,adaptation_comment
131,amod<appos< ...,1,0.043,2,69,Dinosaur__superorder,adaptation_comment
135,amod<case> in,1,0.007,1,69,Dinosaur__superorder,adaptation_comment
139,amod<cc> ...,1,0.027,1,69,Dinosaur__superorder,adaptation_comment
140,amod<cc> and,1,0.077,4,69,Dinosaur__superorder,adaptation_comment
144,amod<conj< ...,1,0.124,5,69,Dinosaur__superorder,adaptation_comment
146,amod<conj<case> ...,1,0.017,1,69,Dinosaur__superorder,adaptation_comment
147,amod<conj<case> of,1,0.055,2,69,Dinosaur__superorder,adaptation_comment
148,amod<conj<conj> ...,1,0.086,4,69,Dinosaur__superorder,adaptation_comment
150,amod<conj<cop> be,1,0.011,1,69,Dinosaur__superorder,adaptation_comment
151,amod<conj<nmod< ...,1,0.082,3,69,Dinosaur__superorder,adaptation_comment
152,amod<conj<nsubj> ...,1,0.027,1,69,Dinosaur__superorder,adaptation_comment
157,amod<cop> be,1,0.011,1,69,Dinosaur__superorder,adaptation_comment
188,amod<nsubj< ...,1,0.043,2,69,Dinosaur__superorder,adaptation_comment
189,amod<nsubj<obj> ...,1,0.043,2,69,Dinosaur__superorder,adaptation_comment
192,amod<obl< ...,1,-0.001,1,69,Dinosaur__superorder,adaptation_comment
204,amod<obl<obl> ...,1,0.007,1,69,Dinosaur__superorder,adaptation_comment
205,conj> ...,1,0.023,2,69,Dinosaur__superorder,adaptation_comment
207,conj>cc> and,1,0.001,1,69,Dinosaur__superorder,adaptation_comment
209,cop> be,1,0.074,5,69,Dinosaur__superorder,adaptation_comment
210,nsubj> ...,1,0.03,3,69,Dinosaur__superorder,adaptation_comment
211,nsubj> ornithischian,1,0.055,2,69,Dinosaur__superorder,adaptation_comment
212,nsubj>amod> ...,1,0.043,2,69,Dinosaur__superorder,adaptation_comment
213,nsubj>amod> most,1,0.017,1,69,Dinosaur__superorder,adaptation_comment
214,obl> ...,1,0.004,1,69,Dinosaur__superorder,adaptation_comment
216,obl>case> as,1,0.017,1,69,Dinosaur__superorder,adaptation_comment
221,amod< ...,2,-0.006,1,42,Dinosaur__superorder,adaptation_comment
226,amod< group,2,0.011,1,42,Dinosaur__superorder,adaptation_comment
234,amod<amod> ...,2,0.006,2,42,Dinosaur__superorder,adaptation_comment
239,amod<amod>advmod> ...,2,0.031,1,42,Dinosaur__superorder,adaptation_comment
241,amod<case> ...,2,0.019,1,42,Dinosaur__superorder,adaptation_comment
249,amod<cc> and,2,0.054,2,42,Dinosaur__superorder,adaptation_comment
250,amod<compound> dinosaur,2,0.031,1,42,Dinosaur__superorder,adaptation_comment
253,amod<conj< ...,2,0.014,1,42,Dinosaur__superorder,adaptation_comment
254,amod<conj< large,2,0.04,1,42,Dinosaur__superorder,adaptation_comment
255,amod<conj<case> ...,2,0.04,1,42,Dinosaur__superorder,adaptation_comment
257,amod<conj<conj> ...,2,0.061,2,42,Dinosaur__superorder,adaptation_comment
258,amod<conj<conj> limb,2,0.114,2,42,Dinosaur__superorder,adaptation_comment
259,amod<conj<cop> be,2,0.094,2,42,Dinosaur__superorder,adaptation_comment
262,amod<conj<nsubj> they,2,0.114,2,42,Dinosaur__superorder,adaptation_comment
266,amod<cop> be,2,0.031,1,42,Dinosaur__superorder,adaptation_comment
268,amod<det> the,2,0.011,1,42,Dinosaur__superorder,adaptation_comment
291,amod<nmod> ...,2,0.014,1,42,Dinosaur__superorder,adaptation_comment
292,amod<nmod> period,2,0.04,1,42,Dinosaur__superorder,adaptation_comment
293,amod<nmod>amod> ...,2,0.07,2,42,Dinosaur__superorder,adaptation_comment
294,amod<nmod>case> ...,2,0.019,1,42,Dinosaur__superorder,adaptation_comment
295,amod<nmod>case> of,2,0.031,1,42,Dinosaur__superorder,adaptation_comment
296,amod<nmod>det> the,2,0.024,1,42,Dinosaur__superorder,adaptation_comment
314,conj> ...,2,0.014,1,42,Dinosaur__superorder,adaptation_comment
316,conj>cc> and,2,0.014,1,42,Dinosaur__superorder,adaptation_comment
318,cop> be,2,0.028,2,42,Dinosaur__superorder,adaptation_comment
319,nsubj> ...,2,0.037,2,42,Dinosaur__superorder,adaptation_comment
321,nsubj>amod> ...,2,0.031,1,42,Dinosaur__superorder,adaptation_comment
323,obl> ...,2,0.07,2,42,Dinosaur__superorder,adaptation_comment
324,obl>case> ...,2,0.094,2,42,Dinosaur__superorder,adaptation_comment
326,obl>conj> ...,2,0.07,2,42,Dinosaur__superorder,adaptation_comment
330,amod< ...,3,-0.001,2,67,Dinosaur__superorder,adaptation_comment
334,amod< dinosaur,3,0.041,6,67,Dinosaur__superorder,adaptation_comment
337,amod<acl:relcl> ...,3,0.037,2,67,Dinosaur__superorder,adaptation_comment
339,amod<acl:relcl>nsubj> ...,3,0.029,1,67,Dinosaur__superorder,adaptation_comment
340,amod<acl:relcl>nsubj> that,3,0.008,1,67,Dinosaur__superorder,adaptation_comment
341,amod<acl:relcl>obl> ...,3,0.002,1,67,Dinosaur__superorder,adaptation_comment
343,amod<amod> ...,3,0.069,6,67,Dinosaur__superorder,adaptation_comment
344,amod<amod> iguanodontian,3,0.057,2,67,Dinosaur__superorder,adaptation_comment
345,amod<amod> ornithischian,3,0.018,1,67,Dinosaur__superorder,adaptation_comment
346,amod<amod> other,3,0.037,2,67,Dinosaur__superorder,adaptation_comment
347,amod<amod> small,3,0.018,1,67,Dinosaur__superorder,adaptation_comment
348,amod<amod>advmod> ...,3,0.012,1,67,Dinosaur__superorder,adaptation_comment
353,amod<case> in,3,0.008,1,67,Dinosaur__superorder,adaptation_comment
354,amod<case> of,3,0.056,6,67,Dinosaur__superorder,adaptation_comment
360,amod<compound> ornithopod,3,0.057,2,67,Dinosaur__superorder,adaptation_comment
377,amod<det> the,3,-0.0,1,67,Dinosaur__superorder,adaptation_comment
378,amod<nmod< ...,3,0.032,3,67,Dinosaur__superorder,adaptation_comment
380,amod<nmod< clade,3,0.012,1,67,Dinosaur__superorder,adaptation_comment
381,amod<nmod< genus,3,0.008,1,67,Dinosaur__superorder,adaptation_comment
383,amod<nmod< that,3,0.057,2,67,Dinosaur__superorder,adaptation_comment
385,amod<nmod<amod> extinct,3,0.018,1,67,Dinosaur__superorder,adaptation_comment
387,amod<nmod<case> ...,3,0.029,1,67,Dinosaur__superorder,adaptation_comment
388,amod<nmod<case> as,3,0.018,1,67,Dinosaur__superorder,adaptation_comment
390,amod<nmod<case> to,3,0.057,2,67,Dinosaur__superorder,adaptation_comment
391,amod<nmod<cop> be,3,0.032,3,67,Dinosaur__superorder,adaptation_comment
393,amod<nmod<det> a,3,0.049,4,67,Dinosaur__superorder,adaptation_comment
395,amod<nmod<nmod< ...,3,0.008,1,67,Dinosaur__superorder,adaptation_comment
396,amod<nmod<nsubj> ...,3,0.032,3,67,Dinosaur__superorder,adaptation_comment
399,amod<nmod<obl< ...,3,0.073,3,67,Dinosaur__superorder,adaptation_comment
400,amod<nmod> ...,3,0.002,1,67,Dinosaur__superorder,adaptation_comment
402,amod<nmod>amod> ...,3,0.005,1,67,Dinosaur__superorder,adaptation_comment
403,amod<nmod>case> ...,3,0.005,1,67,Dinosaur__superorder,adaptation_comment
406,amod<nsubj< ...,3,0.012,1,67,Dinosaur__superorder,adaptation_comment
407,amod<nsubj<obj> ...,3,0.012,1,67,Dinosaur__superorder,adaptation_comment
439,amod< ...,4,0.026,2,39,Dinosaur__superorder,adaptation_comment
443,amod< dinosaur,4,-0.02,1,39,Dinosaur__superorder,adaptation_comment
444,amod< group,4,0.013,1,39,Dinosaur__superorder,adaptation_comment
446,amod<acl:relcl> ...,4,0.028,1,39,Dinosaur__superorder,adaptation_comment
450,amod<acl:relcl>obl> ...,4,0.017,1,39,Dinosaur__superorder,adaptation_comment
452,amod<amod> ...,4,0.093,4,39,Dinosaur__superorder,adaptation_comment
454,amod<amod> ornithischian,4,0.045,1,39,Dinosaur__superorder,adaptation_comment
456,amod<amod> small,4,0.045,1,39,Dinosaur__superorder,adaptation_comment
458,amod<appos< ...,4,0.035,1,39,Dinosaur__superorder,adaptation_comment
460,amod<case> as,4,0.045,1,39,Dinosaur__superorder,adaptation_comment
463,amod<case> of,4,-0.016,1,39,Dinosaur__superorder,adaptation_comment
468,amod<compound> dinosaur,4,0.105,2,39,Dinosaur__superorder,adaptation_comment
486,amod<det> the,4,0.124,3,39,Dinosaur__superorder,adaptation_comment
490,amod<nmod< genus,4,0.028,1,39,Dinosaur__superorder,adaptation_comment
500,amod<nmod<cop> be,4,0.004,1,39,Dinosaur__superorder,adaptation_comment
502,amod<nmod<det> a,4,-0.001,1,39,Dinosaur__superorder,adaptation_comment
505,amod<nmod<nsubj> ...,4,0.004,1,39,Dinosaur__superorder,adaptation_comment
509,amod<nmod> ...,4,0.017,1,39,Dinosaur__superorder,adaptation_comment
510,amod<nmod> period,4,0.045,1,39,Dinosaur__superorder,adaptation_comment
511,amod<nmod>amod> ...,4,0.079,2,39,Dinosaur__superorder,adaptation_comment
512,amod<nmod>case> ...,4,0.079,2,39,Dinosaur__superorder,adaptation_comment
514,amod<nmod>det> the,4,0.091,2,39,Dinosaur__superorder,adaptation_comment
517,amod<obj< ...,4,0.028,1,39,Dinosaur__superorder,adaptation_comment
518,amod<obj<nsubj> ...,4,0.035,1,39,Dinosaur__superorder,adaptation_comment
519,amod<obl< ...,4,0.013,1,39,Dinosaur__superorder,adaptation_comment
522,amod<obl<aux:pass> be,4,0.035,1,39,Dinosaur__superorder,adaptation_comment
527,amod<obl<nsubj:pass> ...,4,0.035,1,39,Dinosaur__superorder,adaptation_comment
531,amod<obl<obl> ...,4,0.091,2,39,Dinosaur__superorder,adaptation_comment
547,advmod> mainly,5,0.008,1,102,Dinosaur__superorder,adaptation_comment
548,amod< ...,5,0.01,4,102,Dinosaur__superorder,adaptation_comment
549,amod< behavior,5,0.016,2,102,Dinosaur__superorder,adaptation_comment
551,amod< diet,5,0.004,1,102,Dinosaur__superorder,adaptation_comment
552,amod< dinosaur,5,0.039,9,102,Dinosaur__superorder,adaptation_comment
553,amod< group,5,0.005,2,102,Dinosaur__superorder,adaptation_comment
561,amod<amod> ...,5,-0.014,1,102,Dinosaur__superorder,adaptation_comment
568,amod<case> ...,5,0.05,4,102,Dinosaur__superorder,adaptation_comment
570,amod<case> for,5,0.008,1,102,Dinosaur__superorder,adaptation_comment
571,amod<case> in,5,0.016,2,102,Dinosaur__superorder,adaptation_comment
572,amod<case> of,5,0.024,7,102,Dinosaur__superorder,adaptation_comment
573,amod<case> on,5,0.029,2,102,Dinosaur__superorder,adaptation_comment
574,amod<case> to,5,0.008,1,102,Dinosaur__superorder,adaptation_comment
590,amod<conj> ...,5,0.029,3,102,Dinosaur__superorder,adaptation_comment
592,amod<conj>cc> and,5,0.029,2,102,Dinosaur__superorder,adaptation_comment
594,amod<det> a,5,0.011,2,102,Dinosaur__superorder,adaptation_comment
595,amod<det> the,5,-0.004,1,102,Dinosaur__superorder,adaptation_comment
596,amod<nmod< ...,5,0.023,4,102,Dinosaur__superorder,adaptation_comment
597,amod<nmod< adaptation,5,0.008,1,102,Dinosaur__superorder,adaptation_comment
600,amod<nmod< group,5,0.05,4,102,Dinosaur__superorder,adaptation_comment
602,amod<nmod<amod> ...,5,0.029,3,102,Dinosaur__superorder,adaptation_comment
604,amod<nmod<amod> major,5,0.029,2,102,Dinosaur__superorder,adaptation_comment
607,amod<nmod<case> of,5,0.044,3,102,Dinosaur__superorder,adaptation_comment
610,amod<nmod<det> ...,5,0.029,2,102,Dinosaur__superorder,adaptation_comment
612,amod<nmod<det> the,5,0.05,4,102,Dinosaur__superorder,adaptation_comment
613,amod<nmod<nmod< ...,5,0.036,3,102,Dinosaur__superorder,adaptation_comment
615,amod<nmod<nummod> two,5,0.044,3,102,Dinosaur__superorder,adaptation_comment
616,amod<nmod<obj< ...,5,0.044,3,102,Dinosaur__superorder,adaptation_comment
626,amod<obj< ...,5,0.016,2,102,Dinosaur__superorder,adaptation_comment
627,amod<obj<nsubj> ...,5,0.004,1,102,Dinosaur__superorder,adaptation_comment
628,amod<obl< ...,5,0.037,4,102,Dinosaur__superorder,adaptation_comment
629,amod<obl< live,5,0.029,2,102,Dinosaur__superorder,adaptation_comment
630,amod<obl< suite,5,0.008,1,102,Dinosaur__superorder,adaptation_comment
631,amod<obl<aux:pass> be,5,0.004,1,102,Dinosaur__superorder,adaptation_comment
632,amod<obl<ccomp< ...,5,0.015,1,102,Dinosaur__superorder,adaptation_comment
633,amod<obl<ccomp< evidence,5,0.029,2,102,Dinosaur__superorder,adaptation_comment
634,amod<obl<mark> ...,5,0.015,1,102,Dinosaur__superorder,adaptation_comment
635,amod<obl<mark> that,5,0.029,2,102,Dinosaur__superorder,adaptation_comment
636,amod<obl<nsubj:pass> ...,5,0.004,1,102,Dinosaur__superorder,adaptation_comment
637,amod<obl<nsubj> ...,5,0.015,1,102,Dinosaur__superorder,adaptation_comment
638,amod<obl<nsubj> Daspletosaurus,5,0.029,2,102,Dinosaur__superorder,adaptation_comment
639,amod<obl<nsubj> tooth,5,0.008,1,102,Dinosaur__superorder,adaptation_comment
640,amod<obl<obl> ...,5,0.001,1,102,Dinosaur__superorder,adaptation_comment
645,cop> be,5,-0.01,1,102,Dinosaur__superorder,adaptation_comment
646,nsubj> ...,5,-0.008,1,102,Dinosaur__superorder,adaptation_comment
654,advcl> ...,6,0.587,4,21,Dinosaur__superorder,adaptation_comment
750,conj> ...,6,0.189,2,21,Dinosaur__superorder,adaptation_comment
752,conj>cc> and,6,0.189,2,21,Dinosaur__superorder,adaptation_comment
754,cop> be,6,0.242,3,21,Dinosaur__superorder,adaptation_comment
755,nsubj> ...,6,0.268,3,21,Dinosaur__superorder,adaptation_comment
759,obl> ...,6,0.206,2,21,Dinosaur__superorder,adaptation_comment
760,obl>case> ...,6,0.094,1,21,Dinosaur__superorder,adaptation_comment
761,obl>case> as,6,0.114,1,21,Dinosaur__superorder,adaptation_comment
762,obl>conj> ...,6,0.367,3,21,Dinosaur__superorder,adaptation_comment
769,amod< diet,7,0.189,2,26,Dinosaur__superorder,adaptation_comment
770,amod< dinosaur,7,-0.015,1,26,Dinosaur__superorder,adaptation_comment
779,amod<amod> ...,7,0.047,2,26,Dinosaur__superorder,adaptation_comment
788,amod<case> for,7,0.084,1,26,Dinosaur__superorder,adaptation_comment
792,amod<case> to,7,0.084,1,26,Dinosaur__superorder,adaptation_comment
794,amod<cc> and,7,0.035,1,26,Dinosaur__superorder,adaptation_comment
799,amod<conj< large,7,0.084,1,26,Dinosaur__superorder,adaptation_comment
815,amod<nmod< adaptation,7,0.084,1,26,Dinosaur__superorder,adaptation_comment
824,amod<nmod<case> as,7,0.084,1,26,Dinosaur__superorder,adaptation_comment
829,amod<nmod<det> a,7,0.015,1,26,Dinosaur__superorder,adaptation_comment
835,amod<nmod<obl< ...,7,0.057,1,26,Dinosaur__superorder,adaptation_comment
848,amod<obl< suite,7,0.084,1,26,Dinosaur__superorder,adaptation_comment
857,amod<obl<nsubj> tooth,7,0.084,1,26,Dinosaur__superorder,adaptation_comment
859,conj> ...,7,0.041,1,26,Dinosaur__superorder,adaptation_comment
860,conj> omnivorous,7,0.331,3,26,Dinosaur__superorder,adaptation_comment
861,conj>cc> and,7,0.136,2,26,Dinosaur__superorder,adaptation_comment
862,conj>cc> or,7,0.221,2,26,Dinosaur__superorder,adaptation_comment
863,cop> be,7,0.015,1,26,Dinosaur__superorder,adaptation_comment
864,nsubj> ...,7,0.022,1,26,Dinosaur__superorder,adaptation_comment
867,nsubj>amod> most,7,0.084,1,26,Dinosaur__superorder,adaptation_comment
