,feat,cluster,pw_entr,feat_n,N,group,relrole
17,acl> name,0,0.006,1,160,Dinosaur__superorder,adaptation_topic
18,acl>advmod> ...,0,0.003,1,160,Dinosaur__superorder,adaptation_topic
21,acl>obl> ...,0,0.0,1,160,Dinosaur__superorder,adaptation_topic
22,acl>obl>case> ...,0,0.003,1,160,Dinosaur__superorder,adaptation_topic
24,amod> ...,0,-0.008,1,160,Dinosaur__superorder,adaptation_topic
25,amod> basal,0,0.02,2,160,Dinosaur__superorder,adaptation_topic
28,amod> hip,0,0.006,1,160,Dinosaur__superorder,adaptation_topic
31,amod>obl:npmod> ...,0,0.003,1,160,Dinosaur__superorder,adaptation_topic
46,appos> ...,0,-0.004,1,160,Dinosaur__superorder,adaptation_topic
52,case> ...,0,0.021,4,160,Dinosaur__superorder,adaptation_topic
53,case> of,0,0.116,14,160,Dinosaur__superorder,adaptation_topic
54,case> on,0,0.006,1,160,Dinosaur__superorder,adaptation_topic
56,case> to,0,0.003,1,160,Dinosaur__superorder,adaptation_topic
57,case> with,0,0.003,1,160,Dinosaur__superorder,adaptation_topic
58,case> within,0,0.012,2,160,Dinosaur__superorder,adaptation_topic
61,compound< ...,0,-0.004,1,160,Dinosaur__superorder,adaptation_topic
63,compound<amod> ...,0,0.007,2,160,Dinosaur__superorder,adaptation_topic
65,compound<det> a,0,0.003,1,160,Dinosaur__superorder,adaptation_topic
69,compound<nsubj>compound> ...,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
70,compound> ...,0,-0.006,1,160,Dinosaur__superorder,adaptation_topic
71,compound> family,0,0.006,1,160,Dinosaur__superorder,adaptation_topic
74,compound> suborder,0,0.02,2,160,Dinosaur__superorder,adaptation_topic
90,conj> ...,0,-0.004,1,160,Dinosaur__superorder,adaptation_topic
91,conj> stegosaur,0,0.006,1,160,Dinosaur__superorder,adaptation_topic
92,conj>cc> and,0,0.005,2,160,Dinosaur__superorder,adaptation_topic
96,det> a,0,0.002,1,160,Dinosaur__superorder,adaptation_topic
97,det> the,0,-0.006,2,160,Dinosaur__superorder,adaptation_topic
100,nmod< ...,0,0.137,14,160,Dinosaur__superorder,adaptation_topic
102,nmod< discovery,0,0.02,2,160,Dinosaur__superorder,adaptation_topic
103,nmod< genus,0,0.002,1,160,Dinosaur__superorder,adaptation_topic
104,nmod< infraorder,0,0.02,2,160,Dinosaur__superorder,adaptation_topic
105,nmod< those,0,0.02,2,160,Dinosaur__superorder,adaptation_topic
106,nmod< tooth,0,0.02,2,160,Dinosaur__superorder,adaptation_topic
107,nmod<amod> ...,0,0.025,3,160,Dinosaur__superorder,adaptation_topic
108,nmod<case> ...,0,0.015,2,160,Dinosaur__superorder,adaptation_topic
109,nmod<case> as,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
110,nmod<case> of,0,0.015,2,160,Dinosaur__superorder,adaptation_topic
111,nmod<case> than,0,0.02,2,160,Dinosaur__superorder,adaptation_topic
112,nmod<cop> be,0,0.023,4,160,Dinosaur__superorder,adaptation_topic
113,nmod<det> a,0,0.052,7,160,Dinosaur__superorder,adaptation_topic
114,nmod<det> the,0,0.082,8,160,Dinosaur__superorder,adaptation_topic
115,nmod<nmod< ...,0,0.025,3,160,Dinosaur__superorder,adaptation_topic
116,nmod<nmod> ...,0,0.041,4,160,Dinosaur__superorder,adaptation_topic
117,nmod<nmod>case> ...,0,0.041,4,160,Dinosaur__superorder,adaptation_topic
118,nmod<nsubj:pass< ...,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
119,nmod<nsubj:pass<aux:pass> be,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
120,nmod<nsubj:pass<obl> ...,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
121,nmod<nsubj< ...,0,0.051,5,160,Dinosaur__superorder,adaptation_topic
122,nmod<nsubj<cop> be,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
123,nmod<nsubj<obl> ...,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
124,nmod<nsubj> ...,0,0.018,3,160,Dinosaur__superorder,adaptation_topic
125,nmod<nsubj> Apatosaurus,0,0.006,1,160,Dinosaur__superorder,adaptation_topic
126,nmod<nsubj>acl> ...,0,0.01,1,160,Dinosaur__superorder,adaptation_topic
128,nmod<obl< ...,0,0.055,6,160,Dinosaur__superorder,adaptation_topic
129,nmod<obl<advmod> ...,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
130,nmod<obl<aux:pass> be,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
132,nmod<obl<aux> have,0,0.006,1,160,Dinosaur__superorder,adaptation_topic
133,nmod<obl<nsubj:pass> ...,0,0.031,3,160,Dinosaur__superorder,adaptation_topic
134,nmod<obl<nsubj> ...,0,0.015,2,160,Dinosaur__superorder,adaptation_topic
201,nummod> ...,0,0.01,1,160,Dinosaur__superorder,adaptation_topic
238,amod> ...,1,0.003,2,85,Dinosaur__superorder,adaptation_topic
246,appos< ...,1,0.021,2,85,Dinosaur__superorder,adaptation_topic
253,appos<case> ...,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
255,appos<det> the,1,0.037,2,85,Dinosaur__superorder,adaptation_topic
259,appos<nsubj< ...,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
265,case> 's,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
266,case> ...,1,0.001,1,85,Dinosaur__superorder,adaptation_topic
267,case> of,1,-0.008,1,85,Dinosaur__superorder,adaptation_topic
269,case> such,1,0.018,1,85,Dinosaur__superorder,adaptation_topic
273,cc> ...,1,0.027,1,85,Dinosaur__superorder,adaptation_topic
274,cc> and,1,0.004,1,85,Dinosaur__superorder,adaptation_topic
284,compound> ...,1,-0.004,1,85,Dinosaur__superorder,adaptation_topic
287,compound> sauropod,1,0.027,2,85,Dinosaur__superorder,adaptation_topic
289,conj< ...,1,0.051,4,85,Dinosaur__superorder,adaptation_topic
291,conj<case> ...,1,0.018,1,85,Dinosaur__superorder,adaptation_topic
295,conj<conj> Stegosauria,1,0.018,1,85,Dinosaur__superorder,adaptation_topic
298,conj<conj>cc> and,1,0.008,1,85,Dinosaur__superorder,adaptation_topic
299,conj<cop> be,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
300,conj<mark> ...,1,0.027,1,85,Dinosaur__superorder,adaptation_topic
302,conj<nsubj> ...,1,0.037,2,85,Dinosaur__superorder,adaptation_topic
304,conj> ...,1,0.037,3,85,Dinosaur__superorder,adaptation_topic
306,conj>cc> and,1,0.024,2,85,Dinosaur__superorder,adaptation_topic
311,det> the,1,-0.006,1,85,Dinosaur__superorder,adaptation_topic
313,nmod:poss< ...,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
315,nmod< dinosaur,1,0.018,1,85,Dinosaur__superorder,adaptation_topic
321,nmod<amod> ...,1,0.01,1,85,Dinosaur__superorder,adaptation_topic
324,nmod<case> of,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
329,nmod<nmod< ...,1,0.01,1,85,Dinosaur__superorder,adaptation_topic
367,nsubj< ...,1,0.055,4,85,Dinosaur__superorder,adaptation_topic
371,nsubj< have,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
373,nsubj< live,1,0.018,1,85,Dinosaur__superorder,adaptation_topic
374,nsubj<acl> ...,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
376,nsubj<advmod> ...,1,0.037,2,85,Dinosaur__superorder,adaptation_topic
377,nsubj<advmod> also,1,0.053,2,85,Dinosaur__superorder,adaptation_topic
378,nsubj<aux> ...,1,0.018,1,85,Dinosaur__superorder,adaptation_topic
379,nsubj<aux> have,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
381,nsubj<ccomp< ...,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
382,nsubj<ccomp< show,1,0.053,2,85,Dinosaur__superorder,adaptation_topic
383,nsubj<ccomp<nsubj> ...,1,0.044,2,85,Dinosaur__superorder,adaptation_topic
384,nsubj<conj> ...,1,0.008,1,85,Dinosaur__superorder,adaptation_topic
385,nsubj<conj>advmod> ...,1,0.014,1,85,Dinosaur__superorder,adaptation_topic
387,nsubj<conj>cc> and,1,0.01,1,85,Dinosaur__superorder,adaptation_topic
