,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,0.001,3,981,Dinosaur__superorder,free_topic
11,acl:relcl>conj> ...,0,0.0,1,981,Dinosaur__superorder,free_topic
13,acl:relcl>conj>cc> and,0,0.0,1,981,Dinosaur__superorder,free_topic
15,acl:relcl>conj>obl> size,0,0.001,1,981,Dinosaur__superorder,free_topic
17,acl:relcl>nsubj> ...,0,0.001,1,981,Dinosaur__superorder,free_topic
18,acl:relcl>nsubj> that,0,0.0,2,981,Dinosaur__superorder,free_topic
20,acl:relcl>obj> ...,0,0.002,2,981,Dinosaur__superorder,free_topic
32,acl> ...,0,-0.001,1,981,Dinosaur__superorder,free_topic
34,acl> hunt,0,0.003,2,981,Dinosaur__superorder,free_topic
35,acl> know,0,0.0,1,981,Dinosaur__superorder,free_topic
46,acl>obl> ...,0,-0.0,3,981,Dinosaur__superorder,free_topic
47,acl>obl> cat,0,0.003,2,981,Dinosaur__superorder,free_topic
49,acl>obl>amod> ...,0,0.0,1,981,Dinosaur__superorder,free_topic
53,acl>obl>case> in,0,0.0,1,981,Dinosaur__superorder,free_topic
54,acl>obl>case> like,0,0.003,2,981,Dinosaur__superorder,free_topic
56,acl>obl>case> with,0,0.003,2,981,Dinosaur__superorder,free_topic
58,acl>obl>det> a,0,0.001,1,981,Dinosaur__superorder,free_topic
64,advmod> ...,0,0.001,2,981,Dinosaur__superorder,free_topic
65,advmod> ago,0,0.003,2,981,Dinosaur__superorder,free_topic
67,amod> ...,0,0.002,37,981,Dinosaur__superorder,free_topic
68,amod> carnivorous,0,0.003,4,981,Dinosaur__superorder,free_topic
70,amod> feathered,0,0.002,3,981,Dinosaur__superorder,free_topic
71,amod> giant,0,0.001,2,981,Dinosaur__superorder,free_topic
72,amod> large,0,-0.001,1,981,Dinosaur__superorder,free_topic
73,amod> non-avian,0,0.007,10,981,Dinosaur__superorder,free_topic
74,amod> other,0,-0.0,3,981,Dinosaur__superorder,free_topic
75,amod> predatory,0,0.001,2,981,Dinosaur__superorder,free_topic
76,amod> small,0,0.003,4,981,Dinosaur__superorder,free_topic
77,amod> theropod,0,-0.0,1,981,Dinosaur__superorder,free_topic
78,amod>advmod> ...,0,-0.0,1,981,Dinosaur__superorder,free_topic
81,amod>advmod> non,0,0.003,2,981,Dinosaur__superorder,free_topic
84,amod>compound> duck,0,0.001,1,981,Dinosaur__superorder,free_topic
85,amod>conj> ...,0,0.001,2,981,Dinosaur__superorder,free_topic
87,amod>conj>cc> and,0,0.001,1,981,Dinosaur__superorder,free_topic
