feat	count	weight	rel_role	group_name
amod< ...	58.0	0.439	adaptation_comment	Dinosaur__superorder
amod<case> ...	39.0	0.638	adaptation_comment	Dinosaur__superorder
amod<amod> ...	29.0	0.472	adaptation_comment	Dinosaur__superorder
amod< dinosaur	26.0	0.574	adaptation_comment	Dinosaur__superorder
amod<nmod< ...	26.0	0.31	adaptation_comment	Dinosaur__superorder
amod<case> of	22.0	0.627	adaptation_comment	Dinosaur__superorder
amod<nmod<det> ...	19.0	0.406	adaptation_comment	Dinosaur__superorder
cop> ...	12.0	0.424	adaptation_comment	Dinosaur__superorder
nsubj> ...	12.0	0.424	adaptation_comment	Dinosaur__superorder
cop> be	12.0	0.424	adaptation_comment	Dinosaur__superorder
amod<det> ...	12.0	0.542	adaptation_comment	Dinosaur__superorder
amod<nmod<det> a	12.0	0.427	adaptation_comment	Dinosaur__superorder
amod<obl< ...	11.0	0.479	adaptation_comment	Dinosaur__superorder
amod<nmod<cop> ...	10.0	0.511	adaptation_comment	Dinosaur__superorder
amod<nmod<nsubj> ...	10.0	0.345	adaptation_comment	Dinosaur__superorder
amod<nmod<cop> be	10.0	0.511	adaptation_comment	Dinosaur__superorder
amod<nmod<amod> ...	9.0	0.427	adaptation_comment	Dinosaur__superorder
conj> ...	9.0	0.852	adaptation_comment	Dinosaur__superorder
amod<acl:relcl>obl> ...	8.0	0.355	adaptation_comment	Dinosaur__superorder
conj>cc> ...	8.0	0.594	adaptation_comment	Dinosaur__superorder
amod<nmod<case> ...	8.0	0.556	adaptation_comment	Dinosaur__superorder
amod<cc> ...	8.0	0.451	adaptation_comment	Dinosaur__superorder
amod<conj<conj> ...	8.0	0.379	adaptation_comment	Dinosaur__superorder
amod<conj< ...	8.0	0.464	adaptation_comment	Dinosaur__superorder
amod<nmod> ...	8.0	0.266	adaptation_comment	Dinosaur__superorder
amod<nmod>case> ...	8.0	0.601	adaptation_comment	Dinosaur__superorder
amod<det> the	7.0	0.547	adaptation_comment	Dinosaur__superorder
amod<acl:relcl> ...	7.0	0.317	adaptation_comment	Dinosaur__superorder
amod<cc> and	7.0	0.44	adaptation_comment	Dinosaur__superorder
amod< group	7.0	0.731	adaptation_comment	Dinosaur__superorder
amod<compound> ...	7.0	0.341	adaptation_comment	Dinosaur__superorder
advmod> ...	6.0	0.43	adaptation_comment	Dinosaur__superorder
conj>cc> and	6.0	0.76	adaptation_comment	Dinosaur__superorder
amod<nmod>amod> ...	5.0	0.297	adaptation_comment	Dinosaur__superorder
obl> ...	5.0	0.31	adaptation_comment	Dinosaur__superorder
amod<acl:relcl>nsubj> ...	5.0	0.772	adaptation_comment	Dinosaur__superorder
amod<nmod<det> the	5.0	0.367	adaptation_comment	Dinosaur__superorder
amod<nmod< group	5.0	0.314	adaptation_comment	Dinosaur__superorder
amod<obl<nsubj> ...	5.0	0.331	adaptation_comment	Dinosaur__superorder
amod<det> a	5.0	0.545	adaptation_comment	Dinosaur__superorder
obl>conj> ...	5.0	0.425	adaptation_comment	Dinosaur__superorder
