feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
det> the,0.981,0.0,0.577,0.134,7,Even-toed_ungulate__order,adaptation_comment
conj<obl< ...,0.93,0.001,0.577,0.134,3,Even-toed_ungulate__order,adaptation_comment
nmod< ...,0.93,0.001,0.866,0.005,8,Even-toed_ungulate__order,adaptation_comment
conj<case> ...,0.892,0.003,0.577,0.134,3,Even-toed_ungulate__order,adaptation_comment
case> of,0.857,0.007,0.873,0.005,6,Even-toed_ungulate__order,adaptation_comment
amod<nmod> gibbon,0.838,0.009,0.577,0.134,2,Even-toed_ungulate__order,adaptation_comment
amod<obl<obj> ...,0.837,0.01,0.655,0.078,3,Even-toed_ungulate__order,adaptation_comment
nmod>case> of,0.822,0.012,0.577,0.134,3,Even-toed_ungulate__order,adaptation_comment
obl< ...,0.782,0.022,0.501,0.206,9,Even-toed_ungulate__order,adaptation_comment
conj< ...,0.779,0.023,0.682,0.062,9,Even-toed_ungulate__order,adaptation_comment
conj> ...,0.775,0.024,0.866,0.005,4,Even-toed_ungulate__order,adaptation_comment
amod<nmod> ...,0.77,0.025,0.192,0.648,8,Even-toed_ungulate__order,adaptation_comment
nmod>case> ...,0.738,0.036,0.327,0.429,4,Even-toed_ungulate__order,adaptation_comment
obj< undertake,-0.726,0.041,-0.63,0.094,2,Even-toed_ungulate__order,adaptation_comment
nmod<case> of,0.712,0.047,0.577,0.134,2,Even-toed_ungulate__order,adaptation_comment
compound<appos<appos> ...,0.692,0.057,0.577,0.134,5,Even-toed_ungulate__order,adaptation_comment
obl<nsubj> ...,0.683,0.062,0.674,0.067,5,Even-toed_ungulate__order,adaptation_comment
amod< group,0.681,0.063,0.63,0.094,2,Even-toed_ungulate__order,adaptation_comment
amod<nmod<amod> ...,-0.681,0.063,-0.674,0.067,4,Even-toed_ungulate__order,adaptation_comment
compound> ...,0.681,0.063,0.861,0.006,5,Even-toed_ungulate__order,adaptation_comment
amod< system,0.68,0.063,0.577,0.134,2,Even-toed_ungulate__order,adaptation_comment
compound>compound> ...,0.673,0.067,0.62,0.101,3,Even-toed_ungulate__order,adaptation_comment
amod<compound> ...,0.662,0.074,0.732,0.039,3,Even-toed_ungulate__order,adaptation_comment
amod<nmod>case> ...,0.654,0.078,0.327,0.429,5,Even-toed_ungulate__order,adaptation_comment
amod<nmod>case> such,0.648,0.083,0.577,0.134,2,Even-toed_ungulate__order,adaptation_comment
amod< lifestyle,-0.632,0.093,-0.63,0.094,2,Even-toed_ungulate__order,adaptation_comment
case> ...,0.626,0.097,0.769,0.026,6,Even-toed_ungulate__order,adaptation_comment
nmod<det> the,0.621,0.1,0.577,0.134,3,Even-toed_ungulate__order,adaptation_comment
