feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<nmod<amod> ...,0.973,0.0,0.756,0.03,4,Even-toed_ungulate__order,taxongroup_comment
nmod<obl<nsubj> it,0.952,0.0,0.756,0.03,2,Even-toed_ungulate__order,taxongroup_comment
nmod< ...,0.948,0.0,0.873,0.005,46,Even-toed_ungulate__order,taxongroup_comment
nmod< fawn,0.944,0.0,0.756,0.03,2,Even-toed_ungulate__order,taxongroup_comment
nmod< use,0.943,0.0,0.756,0.03,2,Even-toed_ungulate__order,taxongroup_comment
conj> deer,0.942,0.0,0.817,0.013,13,Even-toed_ungulate__order,taxongroup_comment
conj<conj> squirrel,0.94,0.001,0.577,0.134,6,Even-toed_ungulate__order,taxongroup_comment
conj>amod> red,0.93,0.001,0.764,0.027,5,Even-toed_ungulate__order,taxongroup_comment
conj> hippopotamus,0.93,0.001,0.764,0.027,3,Even-toed_ungulate__order,taxongroup_comment
conj< hippopotamus,0.929,0.001,0.577,0.134,3,Even-toed_ungulate__order,taxongroup_comment
conj< Eurasia,0.928,0.001,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
conj< species,0.928,0.001,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
cc> and,0.924,0.001,0.736,0.038,13,Even-toed_ungulate__order,taxongroup_comment
acl> ...,0.922,0.001,0.932,0.001,11,Even-toed_ungulate__order,taxongroup_comment
conj>appos>compound> ...,0.922,0.001,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
conj< deer,0.921,0.001,0.481,0.227,11,Even-toed_ungulate__order,taxongroup_comment
conj<det> a,0.919,0.001,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
conj<conj>amod> Siberian,0.916,0.001,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
conj> ...,0.915,0.001,0.497,0.21,41,Even-toed_ungulate__order,taxongroup_comment
conj< elk,0.911,0.002,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
conj>appos>compound> canadensis,0.909,0.002,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
conj>amod> asian,0.909,0.002,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
case> from,0.909,0.002,0.926,0.001,6,Even-toed_ungulate__order,taxongroup_comment
conj> moose,0.907,0.002,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
nsubj<nmod>amod> ...,0.907,0.002,0.577,0.134,3,Even-toed_ungulate__order,taxongroup_comment
nmod<det> the,0.905,0.002,0.627,0.096,24,Even-toed_ungulate__order,taxongroup_comment
conj> goat,0.904,0.002,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
conj<conj> rabbit,0.903,0.002,0.577,0.134,4,Even-toed_ungulate__order,taxongroup_comment
nsubj:pass<conj> ...,0.901,0.002,0.577,0.134,6,Even-toed_ungulate__order,taxongroup_comment
conj> elk,0.901,0.002,0.577,0.134,3,Even-toed_ungulate__order,taxongroup_comment
conj< reindeer,0.901,0.002,0.577,0.134,4,Even-toed_ungulate__order,taxongroup_comment
obj<advcl< ...,0.899,0.002,0.756,0.03,2,Even-toed_ungulate__order,taxongroup_comment
appos<conj> Sicily,0.899,0.002,0.577,0.134,2,Even-toed_ungulate__order,taxongroup_comment
