,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Rei-38eb_237_Reindeer-1,Reindeer,Reindeer#species,nsubj<conj>aux>,have,AUX,8,nsubj<conj>aux> ...,0.39499601645809573,0.09902877431441587,Even-toed_ungulate__order,adaptation_topic,3,8
0,Sik-94e7_23_deer-2,deer,Sika_Deer#species,compound>,Sika,PROPN,1,compound> Sika,-0.3699416706754697,0.2715875256193633,Even-toed_ungulate__order,adaptation_topic,3,8
0,Sik-94e7_47_deer-2,deer,Sika_Deer#species,compound>,Sika,PROPN,1,compound> Sika,-0.3699416706754697,0.2715875256193633,Even-toed_ungulate__order,adaptation_topic,3,8
0,Mace92d_22_deer-2,deer,Deer#family,compound>,Sika,PROPN,1,compound> Sika,-0.3699416706754697,0.2715875256193633,Even-toed_ungulate__order,adaptation_topic,3,8
5,Wil-57af_374_boar-9,boar,Wild_boar#species,case>,'s,PART,10,case> 's,0.3335535482234952,-0.1515079209447981,Even-toed_ungulate__order,adaptation_topic,3,8
1,Eur-6423_208_deer-3,deer,Fallow_Deer#species,compound>,fallow,NOUN,2,compound> fallow,-0.2943000600606497,0.23505681055141325,Even-toed_ungulate__order,adaptation_topic,3,8
5,Eur-6423_171_deer-7,deer,Fallow_Deer#species,compound>,fallow,NOUN,6,compound> fallow,-0.2943000600606497,0.23505681055141325,Even-toed_ungulate__order,adaptation_topic,3,8
4,Sik-94e7_33_deer-60,deer,Deer#family,compound>,sika,NOUN,59,compound> sika,-0.3120356038751694,0.30416867259393476,Even-toed_ungulate__order,adaptation_topic,3,8
0,Rei-38eb_374_caribou-5,caribou,Reindeer#species,det>,the,DET,1,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
5,Bac-9099_71_camels-10,camels,Camel#genus,det>,these,DET,9,det> these,0.34497509509269386,0.47513624999670573,Even-toed_ungulate__order,adaptation_topic,6,18
3,Camdcda_9_giraffe-7,giraffe,Giraffe#species,det>,the,DET,6,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
4,Camdcda_9_giraffe-7,giraffe,Giraffe#species,case>,'s,PART,8,case> 's,-0.3890776333710351,0.5992543822352536,Even-toed_ungulate__order,adaptation_topic,6,18
0,Iri-77a8_71_elk-3,elk,Irish_Elk#species,det>,the,DET,1,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
9,Wil-57af_376_boar-21,boar,Wild_boar#species,det>,a,DET,20,det> a,0.38865260321056516,0.5427335795916584,Even-toed_ungulate__order,adaptation_topic,6,18
2,Rei-38eb_530_caribou-4,caribou,Reindeer#species,det>,the,DET,3,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
3,Rei-38eb_530_caribou-4,caribou,Reindeer#species,case>,'s,PART,5,case> 's,-0.3890776333710351,0.5992543822352536,Even-toed_ungulate__order,adaptation_topic,6,18
6,Rei-38eb_531_caribou-16,caribou,Reindeer#species,det>,the,DET,14,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
5,Rei-38eb_528_caribou-34,caribou,Reindeer#species,case>,about,ADP,33,case> ...,-0.14716975538420674,0.4480553048699941,Even-toed_ungulate__order,adaptation_topic,6,18
2,Rei-38eb_235_caribou-4,caribou,Reindeer#species,det>,woodland,DET,3,det> ...,0.22684117037778895,0.5512761164948039,Even-toed_ungulate__order,adaptation_topic,6,18
4,Cam-1690_189_camel-10,camel,Dromedary#species,det>,the,DET,8,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
7,Cam-1690_189_camel-10,camel,Dromedary#species,nsubj<det>,the,DET,12,nsubj<det> the,0.39649109832401314,-0.005368047579696708,Even-toed_ungulate__order,adaptation_topic,6,18
10,Mas-675c_40_hippopotamus-28,hippopotamus,Hippopotamus#species,case>,from,ADP,24,case> ...,-0.3640207422201879,0.6070808359694824,Even-toed_ungulate__order,adaptation_topic,6,18
11,Mas-675c_40_hippopotamus-28,hippopotamus,Hippopotamus#species,det>,a,DET,25,det> a,0.38865260321056516,0.5427335795916584,Even-toed_ungulate__order,adaptation_topic,6,18
0,Sik-94e7_64_deer-3,deer,Sika_Deer#species,det>,the,DET,1,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
7,Rei-38eb_370_reindeer-32,reindeer,Reindeer#species,det>,the,DET,31,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
7,Dee-529a_89_reindeer-23,reindeer,Reindeer#species,case>,except,ADP,20,case> ...,-0.22969763905631954,0.5216986283809056,Even-toed_ungulate__order,adaptation_topic,6,18
8,Dee-529a_89_reindeer-23,reindeer,Reindeer#species,case>,for,ADP,21,case> for,-0.37406926268863117,0.5216719343817842,Even-toed_ungulate__order,adaptation_topic,6,18
9,Dee-529a_89_reindeer-23,reindeer,Reindeer#species,det>,the,DET,22,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
4,Rei-38eb_310_reindeer-7,reindeer,Reindeer#species,det>,a,DET,6,det> a,0.38865260321056516,0.5427335795916584,Even-toed_ungulate__order,adaptation_topic,6,18
2,Rei-38eb_313_reindeer-13,reindeer,Reindeer#species,det>,that,DET,12,det> ...,0.3677780229513982,0.4883504718140326,Even-toed_ungulate__order,adaptation_topic,6,18
1,Com-597e_42_warthog-6,warthog,Warthog#species,det>,a,DET,3,det> a,0.38865260321056516,0.5427335795916584,Even-toed_ungulate__order,adaptation_topic,6,18
0,Com-597e_40_warthog-3,warthog,Warthog#species,det>,the,DET,1,det> the,0.40215254658869765,0.5715138752122385,Even-toed_ungulate__order,adaptation_topic,6,18
2,Com-597e_40_warthog-3,warthog,Warthog#species,case>,'s,PART,4,case> 's,-0.3890776333710351,0.5992543822352536,Even-toed_ungulate__order,adaptation_topic,6,18
11,Tai-3286_120_tarandus-28,tarandus,Reindeer#species,case>,of,ADP,26,case> of,-0.44430541988600514,-0.35242275898981756,Even-toed_ungulate__order,adaptation_topic,0,22
2,Cam-1690_117_camel-6,camel,Dromedary#species,case>,of,ADP,3,case> of,-0.44430541988600514,-0.35242275898981756,Even-toed_ungulate__order,adaptation_topic,0,22
3,Cam-1690_117_camel-6,camel,Dromedary#species,det>,the,DET,4,det> the,-0.4145963957688713,-0.3340055697930793,Even-toed_ungulate__order,adaptation_topic,0,22
10,Sno-0a8f_380_reindeer-22,reindeer,Reindeer#species,case>,alongside,ADP,20,case> ...,-0.3740459147727301,-0.2554682720795103,Even-toed_ungulate__order,adaptation_topic,0,22
11,Sno-0a8f_380_reindeer-22,reindeer,Reindeer#species,det>,the,DET,21,det> the,-0.4145963957688713,-0.3340055697930793,Even-toed_ungulate__order,adaptation_topic,0,22
