,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Cam-1690_57_desert-19,desert,Deserts_and_xeric_shrublands#habitat,compound<nmod<det>,the,DET,13,compound<nmod<det> the,0.3455473567970861,0.11359425043735388,Even-toed_ungulate__order,location_comment,0,11
4,Mam-3742_280_desert-2,desert,Deserts_and_xeric_shrublands#habitat,compound<nsubj<,use,VERB,9,compound<nsubj< ...,0.4660182301643524,0.020516035344497863,Even-toed_ungulate__order,location_comment,0,11
7,Rei-38eb_112_tundra-5,tundra,Tundra#habitat,compound<nsubj<,synchronize,VERB,13,compound<nsubj< ...,0.4042862086632214,-0.05623329612872546,Even-toed_ungulate__order,location_comment,0,11
2,Rei-38eb_168_tundra-27,tundra,Tundra#habitat,compound<nmod<det>,a,DET,23,compound<nmod<det> ...,0.33491958876254707,0.08701500187712699,Even-toed_ungulate__order,location_comment,0,11
2,Dro-9dd9_299_desert-9,desert,Deserts_and_xeric_shrublands#habitat,compound<nmod<det>,the,DET,5,compound<nmod<det> the,0.3455473567970861,0.11359425043735388,Even-toed_ungulate__order,location_comment,0,11
7,Mus-840b_38_tundra-39,tundra,Tundra#habitat,compound<nmod>det>,the,DET,43,compound<nmod>det> the,0.32684140512463455,-0.05051115946009847,Even-toed_ungulate__order,location_comment,0,11
1,Rei-38eb_74_tundra-15,tundra,Tundra#habitat,compound<nmod<det>,the,DET,11,compound<nmod<det> the,0.3455473567970861,0.11359425043735388,Even-toed_ungulate__order,location_comment,0,11
3,Rei-38eb_101_tundra-8,tundra,Tundra#habitat,conj>cc>,and,CCONJ,9,conj>cc> and,0.25651656627622205,0.3405846636211179,Even-toed_ungulate__order,location_comment,0,11
0,Rei-38eb_34_tundra-6,tundra,Tundra#habitat,compound<nmod<det>,the,DET,1,compound<nmod<det> the,0.3455473567970861,0.11359425043735388,Even-toed_ungulate__order,location_comment,0,11
6,Rei-38eb_36_tundra-2,tundra,Tundra#habitat,compound<nsubj<,decline,NOUN,8,compound<nsubj< ...,0.37382267945536946,-0.021893240873536658,Even-toed_ungulate__order,location_comment,0,11
3,Sno-0a8f_380_tundra-18,tundra,Tundra#habitat,compound<nmod<det>,the,DET,13,compound<nmod<det> the,0.3455473567970861,0.11359425043735388,Even-toed_ungulate__order,location_comment,0,11
10,Sno-0a8f_380_tundra-18,tundra,Tundra#habitat,compound<nmod>det>,the,DET,21,compound<nmod>det> the,0.32684140512463455,-0.05051115946009847,Even-toed_ungulate__order,location_comment,0,11
5,Cam-1690_145_desert-73,desert,Deserts_and_xeric_shrublands#habitat,det>,the,DET,72,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
10,Dro-9dd9_249_desert-20,desert,Deserts_and_xeric_shrublands#habitat,det>,the,DET,19,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
9,Cam-1690_117_deserts-26,deserts,Deserts_and_xeric_shrublands#habitat,det>,the,DET,24,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
5,Cam-4bd8_151_desert-24,desert,Deserts_and_xeric_shrublands#habitat,det>,the,DET,22,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
0,Tai-3286_120_taiga-2,taiga,Taiga#habitat,det>,the,DET,1,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
1,Tai-3286_120_taiga-2,taiga,Taiga#habitat,nsubj<cop>,be,AUX,3,nsubj<cop> be,0.461111764260348,-0.05933769845923674,Even-toed_ungulate__order,location_comment,6,18
2,Tai-3286_119_taiga-4,taiga,Taiga#habitat,det>,the,DET,3,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
3,Tai-3286_119_taiga-4,taiga,Taiga#habitat,nmod<nsubj<,include,VERB,5,nmod<nsubj< include,-0.4824390751702666,-0.21233977598532983,Even-toed_ungulate__order,location_comment,6,18
2,Tai-3286_118_taiga-4,taiga,Taiga#habitat,det>,the,DET,3,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
5,Tai-3286_118_taiga-4,taiga,Taiga#habitat,nmod<nsubj<,able,ADJ,7,nmod<nsubj< ...,-0.37699981074205363,-0.23161035774067287,Even-toed_ungulate__order,location_comment,6,18
4,Tai-3286_124_taiga-6,taiga,Taiga#habitat,det>,the,DET,5,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
8,Tai-3286_124_taiga-6,taiga,Taiga#habitat,nmod<nsubj<,bison,NOUN,10,nmod<nsubj< ...,-0.07724744498432526,-0.09528525372755944,Even-toed_ungulate__order,location_comment,6,18
5,Tai-3286_115_taiga-9,taiga,Taiga#habitat,det>,the,DET,8,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
2,Dro0ff4_14_desert-7,desert,Deserts_and_xeric_shrublands#habitat,det>,the,DET,3,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
6,Dro0ff4_14_desert-7,desert,Deserts_and_xeric_shrublands#habitat,nmod<nsubj<,require,VERB,8,nmod<nsubj< ...,-0.3657619438524265,-0.2064165176211262,Even-toed_ungulate__order,location_comment,6,18
2,Dro0ff4_17_desert-4,desert,Deserts_and_xeric_shrublands#habitat,det>,the,DET,3,det> the,0.8018423608056857,0.12582755670514653,Even-toed_ungulate__order,location_comment,6,18
0,Tun-c63e_41_Tundra-1,Tundra,Tundra#habitat,nsubj<cop>,be,AUX,2,nsubj<cop> be,0.461111764260348,-0.05933769845923674,Even-toed_ungulate__order,location_comment,6,18
