,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
6,Art-6267_126_camels-24,camels,Bactrian_Camel#species,cc>,and,CCONJ,22,cc> and,-0.3228458126209356,-0.03133758134470807,Even-toed_ungulate__order,location_topic,0,23
0,Cam-1690_49_Camels-1,Camels,Camel#genus,compound<,mouth,NOUN,3,compound< ...,0.409100221709223,0.2430321149831576,Even-toed_ungulate__order,location_topic,0,23
1,Cam-1690_49_Camels-1,Camels,Camel#genus,compound<nsubj<,have,VERB,4,compound<nsubj< ...,0.44456470975461926,-0.0355417852631582,Even-toed_ungulate__order,location_topic,0,23
5,Cam-1690_117_Camelus-8,Camelus,Camel#genus,compound<,dromedarius,NOUN,9,compound< dromedarius,0.28952252959280195,0.15244097705957546,Even-toed_ungulate__order,location_topic,0,23
7,Dro-9dd9_29_Camelus-9,Camelus,Camel#genus,compound<,dromedarius,NOUN,10,compound< dromedarius,0.28952252959280195,0.15244097705957546,Even-toed_ungulate__order,location_topic,0,23
9,Dro-9dd9_29_dromedarius-10,dromedarius,Dromedary#species,nmod>case>,by,ADP,11,nmod>case> ...,0.27180162891132803,0.01825184616787269,Even-toed_ungulate__order,location_topic,0,23
2,Rei-38eb_398_Caribou-1,Caribou,Reindeer#species,compound<,number,NOUN,4,compound< ...,0.3100486381434333,0.30852119455271043,Even-toed_ungulate__order,location_topic,0,23
4,Rei-38eb_398_Caribou-1,Caribou,Reindeer#species,compound<nsubj<,fluctuate,VERB,6,compound<nsubj< ...,0.4301386254711052,-0.06718708831275966,Even-toed_ungulate__order,location_topic,0,23
0,Rei-38eb_289_Reindeer-1,Reindeer,Reindeer#species,compound<,hoof,NOUN,2,compound< ...,0.34386649721381873,0.22737350054959268,Even-toed_ungulate__order,location_topic,0,23
1,Rei-38eb_289_Reindeer-1,Reindeer,Reindeer#species,compound<nsubj<,adapt,VERB,3,compound<nsubj< ...,0.5138996141791441,-0.04697920409823804,Even-toed_ungulate__order,location_topic,0,23
0,Rei-38eb_7_Reindeer-1,Reindeer,Reindeer#species,compound<,vary,NOUN,2,compound< ...,0.06387021482267795,0.12807690635044927,Even-toed_ungulate__order,location_topic,0,23
5,Sik-94e7_75_deer-2,deer,Sika_Deer#species,nsubj<obl>case>,in,ADP,10,nsubj<obl>case> in,0.35472887463337777,-0.3769553101369246,Even-toed_ungulate__order,location_topic,0,23
2,Bac8c43_7_camel-3,camel,Bactrian_Camel#species,nmod>case>,with,ADP,4,nmod>case> with,0.3179969307796744,0.028745736234691788,Even-toed_ungulate__order,location_topic,0,23
5,Rei-38eb_18_caribou-6,caribou,Reindeer#species,compound<,extend,NOUN,7,compound< ...,0.47304515504872513,0.2958357300697411,Even-toed_ungulate__order,location_topic,0,23
8,Rei-38eb_93_caribou-11,caribou,Reindeer#species,nsubj<obl>case>,from,ADP,17,nsubj<obl>case> from,0.2859045006321067,-0.34793528363932097,Even-toed_ungulate__order,location_topic,0,23
9,Rei-38eb_148_caribou-27,caribou,Reindeer#species,compound<,reindeer,NOUN,30,compound< ...,0.38895718498942317,0.2756061592115815,Even-toed_ungulate__order,location_topic,0,23
10,Mun-f4cc_16_deer-10,deer,Deer#family,nsubj<obl>case>,since,ADP,19,nsubj<obl>case> ...,0.32499936680800695,-0.3203554880152283,Even-toed_ungulate__order,location_topic,0,23
5,Tun-c63e_39_reindeer-20,reindeer,Reindeer#species,compound<,lichen,NOUN,21,compound< ...,0.3489382615308283,0.13564676841277257,Even-toed_ungulate__order,location_topic,0,23
8,Tun-c63e_17_reindeer-13,reindeer,Reindeer#species,compound<,herder,NOUN,14,compound< herder,0.44796350681132086,0.3429783160669267,Even-toed_ungulate__order,location_topic,0,23
4,Rei-38eb_378_reindeer-5,reindeer,Reindeer#species,compound<,migrate,NOUN,6,compound< ...,0.4479398723793487,0.28773840545258045,Even-toed_ungulate__order,location_topic,0,23
13,Rei-38eb_378_reindeer-5,reindeer,Reindeer#species,compound<nsubj<,more,ADJ,24,compound<nsubj< ...,0.4599113832093303,-0.03943781105280077,Even-toed_ungulate__order,location_topic,0,23
8,Tai-3286_120_reindeer-30,reindeer,Reindeer#species,nmod>case>,in,ADP,31,nmod>case> in,0.4313134296469445,0.008703661219717551,Even-toed_ungulate__order,location_topic,0,23
6,Nom-aef8_8_reindeer-11,reindeer,Reindeer#species,compound<,herder,NOUN,12,compound< herder,0.44796350681132086,0.3429783160669267,Even-toed_ungulate__order,location_topic,0,23
8,Rei-38eb_34_reindeer-12,reindeer,Reindeer#species,compound<,herd,NOUN,13,compound< ...,0.3672195955384147,0.3516108964137079,Even-toed_ungulate__order,location_topic,0,23
3,Rei-38eb_453_reindeer-4,reindeer,Reindeer#species,compound<,herds,NOUN,5,compound< herds,0.3559781849099701,0.3321540964111473,Even-toed_ungulate__order,location_topic,0,23
5,Rei-38eb_453_reindeer-4,reindeer,Reindeer#species,compound<nsubj<,decline,VERB,7,compound<nsubj< decline,0.3161798268726617,-0.08547920880514276,Even-toed_ungulate__order,location_topic,0,23
2,Rei-38eb_49_reindeer-3,reindeer,Reindeer#species,compound<,herds,NOUN,4,compound< herds,0.3559781849099701,0.3321540964111473,Even-toed_ungulate__order,location_topic,0,23
6,Rei-38eb_49_reindeer-3,reindeer,Reindeer#species,compound<nsubj<,decline,NOUN,8,compound<nsubj< decline,0.3161798268726617,-0.08547920880514276,Even-toed_ungulate__order,location_topic,0,23
2,Rei-38eb_36_reindeer-3,reindeer,Reindeer#species,compound<,herds,NOUN,4,compound< herds,0.3559781849099701,0.3321540964111473,Even-toed_ungulate__order,location_topic,0,23
6,Rei-38eb_36_reindeer-3,reindeer,Reindeer#species,compound<nsubj<,decline,NOUN,8,compound<nsubj< decline,0.3161798268726617,-0.08547920880514276,Even-toed_ungulate__order,location_topic,0,23
4,Cam-1690_145_camels-6,camels,Camel#genus,case>,of,ADP,5,case> of,0.34605037020651713,-0.18373752434248738,Even-toed_ungulate__order,location_topic,7,23
1,Bac-9099_115_camels-10,camels,Camel#genus,nmod<nmod>det>,a,DET,2,nmod<nmod>det> a,0.39411406733941007,-0.0007146717566395046,Even-toed_ungulate__order,location_topic,7,23
