,feat,cluster,pw_entr,feat_n,N,group,relrole
0,amod< ...,0,-0.015,2,70,Even-toed_ungulate__order,adaptation_comment
2,amod< behavior,0,0.053,2,70,Even-toed_ungulate__order,adaptation_comment
3,amod< behaviour,0,0.053,2,70,Even-toed_ungulate__order,adaptation_comment
6,amod< life,0,0.016,1,70,Even-toed_ungulate__order,adaptation_comment
7,amod< lifestyle,0,0.016,1,70,Even-toed_ungulate__order,adaptation_comment
8,amod< rank,0,0.041,2,70,Even-toed_ungulate__order,adaptation_comment
9,amod< structure,0,0.007,1,70,Even-toed_ungulate__order,adaptation_comment
11,amod<acl> ...,0,0.007,1,70,Even-toed_ungulate__order,adaptation_comment
12,amod<acl>obl> ...,0,0.007,1,70,Even-toed_ungulate__order,adaptation_comment
14,amod<amod> ...,0,0.017,2,70,Even-toed_ungulate__order,adaptation_comment
17,amod<case> ...,0,0.049,3,70,Even-toed_ungulate__order,adaptation_comment
20,amod<case> of,0,0.026,2,70,Even-toed_ungulate__order,adaptation_comment
21,amod<case> through,0,0.016,1,70,Even-toed_ungulate__order,adaptation_comment
26,amod<conj> ...,0,0.066,4,70,Even-toed_ungulate__order,adaptation_comment
28,amod<conj>cc> and,0,0.057,3,70,Even-toed_ungulate__order,adaptation_comment
30,amod<det> a,0,-0.001,1,70,Even-toed_ungulate__order,adaptation_comment
31,amod<det> the,0,-0.003,1,70,Even-toed_ungulate__order,adaptation_comment
32,amod<nmod< ...,0,0.059,4,70,Even-toed_ungulate__order,adaptation_comment
33,amod<nmod< number,0,0.016,1,70,Even-toed_ungulate__order,adaptation_comment
34,amod<nmod<amod> ...,0,0.033,2,70,Even-toed_ungulate__order,adaptation_comment
35,amod<nmod<case> ...,0,0.041,2,70,Even-toed_ungulate__order,adaptation_comment
37,amod<nmod<det> the,0,0.021,2,70,Even-toed_ungulate__order,adaptation_comment
38,amod<nmod<nsubj< ...,0,0.011,1,70,Even-toed_ungulate__order,adaptation_comment
48,amod<obj< ...,0,-0.003,1,70,Even-toed_ungulate__order,adaptation_comment
59,amod> sexual,0,-0.003,1,70,Even-toed_ungulate__order,adaptation_comment
60,appos> principles,0,0.105,4,70,Even-toed_ungulate__order,adaptation_comment
