,feat,cluster,pw_entr,feat_n,N,group,relrole
5,acl> ...,0,0.002,1,174,Even-toed_ungulate__order,adaptation_topic
6,acl>obj> ...,0,0.003,1,174,Even-toed_ungulate__order,adaptation_topic
7,amod> ...,0,0.013,4,174,Even-toed_ungulate__order,adaptation_topic
8,amod> Bactrian,0,0.0,1,174,Even-toed_ungulate__order,adaptation_topic
11,amod> dromedary,0,0.005,1,174,Even-toed_ungulate__order,adaptation_topic
12,amod> european,0,0.003,1,174,Even-toed_ungulate__order,adaptation_topic
13,amod> female,0,0.005,1,174,Even-toed_ungulate__order,adaptation_topic
14,amod> irish,0,0.0,1,174,Even-toed_ungulate__order,adaptation_topic
17,amod> wild,0,0.01,3,174,Even-toed_ungulate__order,adaptation_topic
23,appos> ...,0,0.012,3,174,Even-toed_ungulate__order,adaptation_topic
26,appos>compound> ...,0,0.012,2,174,Even-toed_ungulate__order,adaptation_topic
28,case> ...,0,0.028,5,174,Even-toed_ungulate__order,adaptation_topic
29,case> by,0,0.007,1,174,Even-toed_ungulate__order,adaptation_topic
31,case> in,0,0.026,3,174,Even-toed_ungulate__order,adaptation_topic
32,case> of,0,0.133,13,174,Even-toed_ungulate__order,adaptation_topic
34,case> within,0,0.007,1,174,Even-toed_ungulate__order,adaptation_topic
78,compound> ...,0,0.008,3,174,Even-toed_ungulate__order,adaptation_topic
80,compound> fallow,0,0.009,2,174,Even-toed_ungulate__order,adaptation_topic
81,compound> ground,0,0.005,1,174,Even-toed_ungulate__order,adaptation_topic
83,compound> sika,0,0.0,1,174,Even-toed_ungulate__order,adaptation_topic
86,compound>amod> barren,0,0.005,1,174,Even-toed_ungulate__order,adaptation_topic
136,det> a,0,0.006,2,174,Even-toed_ungulate__order,adaptation_topic
137,det> the,0,0.006,5,174,Even-toed_ungulate__order,adaptation_topic
141,nmod< ...,0,0.183,19,174,Even-toed_ungulate__order,adaptation_topic
142,nmod< herd,0,0.007,1,174,Even-toed_ungulate__order,adaptation_topic
143,nmod< population,0,0.007,1,174,Even-toed_ungulate__order,adaptation_topic
144,nmod<amod> ...,0,0.063,6,174,Even-toed_ungulate__order,adaptation_topic
145,nmod<amod> other,0,0.034,3,174,Even-toed_ungulate__order,adaptation_topic
146,nmod<case> ...,0,0.034,3,174,Even-toed_ungulate__order,adaptation_topic
148,nmod<case> of,0,0.023,2,174,Even-toed_ungulate__order,adaptation_topic
149,nmod<case> on,0,0.029,3,174,Even-toed_ungulate__order,adaptation_topic
150,nmod<compound> ...,0,0.026,3,174,Even-toed_ungulate__order,adaptation_topic
151,nmod<det> ...,0,0.011,1,174,Even-toed_ungulate__order,adaptation_topic
152,nmod<det> a,0,0.046,4,174,Even-toed_ungulate__order,adaptation_topic
153,nmod<det> some,0,0.007,1,174,Even-toed_ungulate__order,adaptation_topic
154,nmod<det> the,0,0.115,11,174,Even-toed_ungulate__order,adaptation_topic
155,nmod<nmod< ...,0,0.018,2,174,Even-toed_ungulate__order,adaptation_topic
156,nmod<nmod< limit,0,0.007,1,174,Even-toed_ungulate__order,adaptation_topic
157,nmod<nmod> ...,0,0.069,6,174,Even-toed_ungulate__order,adaptation_topic
158,nmod<nmod>amod> ...,0,0.034,3,174,Even-toed_ungulate__order,adaptation_topic
159,nmod<nmod>case> ...,0,0.046,4,174,Even-toed_ungulate__order,adaptation_topic
160,nmod<nmod>case> of,0,0.023,2,174,Even-toed_ungulate__order,adaptation_topic
161,nmod<nmod>det> ...,0,0.011,1,174,Even-toed_ungulate__order,adaptation_topic
162,nmod<nmod>det> the,0,0.023,2,174,Even-toed_ungulate__order,adaptation_topic
163,nmod<nsubj:pass< ...,0,0.046,4,174,Even-toed_ungulate__order,adaptation_topic
164,nmod<nsubj:pass<aux:pass> be,0,0.046,4,174,Even-toed_ungulate__order,adaptation_topic
165,nmod<nsubj:pass<obl> ...,0,0.046,4,174,Even-toed_ungulate__order,adaptation_topic
166,nmod<nsubj< ...,0,0.003,1,174,Even-toed_ungulate__order,adaptation_topic
167,nmod<obj< ...,0,0.033,4,174,Even-toed_ungulate__order,adaptation_topic
168,nmod<obj<nsubj> ...,0,0.018,2,174,Even-toed_ungulate__order,adaptation_topic
169,nmod<obl< ...,0,0.052,5,174,Even-toed_ungulate__order,adaptation_topic
170,nmod<obl<nsubj> ...,0,0.018,2,174,Even-toed_ungulate__order,adaptation_topic
171,nmod<obl<obj> ...,0,0.018,2,174,Even-toed_ungulate__order,adaptation_topic
177,nsubj:pass< ...,0,-0.0,1,174,Even-toed_ungulate__order,adaptation_topic
178,nsubj:pass<advmod> ...,0,0.003,1,174,Even-toed_ungulate__order,adaptation_topic
180,nsubj:pass<aux:pass> be,0,-0.0,1,174,Even-toed_ungulate__order,adaptation_topic
185,nsubj< ...,0,-0.009,1,174,Even-toed_ungulate__order,adaptation_topic
189,nsubj<advcl> ...,0,-0.003,1,174,Even-toed_ungulate__order,adaptation_topic
192,nsubj<advcl>mark> ...,0,0.005,1,174,Even-toed_ungulate__order,adaptation_topic
196,nsubj<advcl>nsubj> they,0,0.007,1,174,Even-toed_ungulate__order,adaptation_topic
230,nsubj<obj> antler,0,0.005,1,174,Even-toed_ungulate__order,adaptation_topic
233,nsubj<obj>nmod:poss> they,0,0.003,1,174,Even-toed_ungulate__order,adaptation_topic
270,obl< ...,0,-0.002,1,174,Even-toed_ungulate__order,adaptation_topic
295,amod> irish,1,0.028,2,96,Even-toed_ungulate__order,adaptation_topic
298,amod> wild,1,0.001,1,96,Even-toed_ungulate__order,adaptation_topic
304,appos> ...,1,0.002,1,96,Even-toed_ungulate__order,adaptation_topic
307,appos>compound> ...,1,0.01,1,96,Even-toed_ungulate__order,adaptation_topic
310,case> by,1,0.02,1,96,Even-toed_ungulate__order,adaptation_topic
318,cc> and,1,-0.001,1,96,Even-toed_ungulate__order,adaptation_topic
364,compound> sika,1,0.028,2,96,Even-toed_ungulate__order,adaptation_topic
368,conj< ...,1,-0.003,1,96,Even-toed_ungulate__order,adaptation_topic
380,conj<conj> ...,1,0.105,7,96,Even-toed_ungulate__order,adaptation_topic
406,conj<obj< include,1,0.02,1,96,Even-toed_ungulate__order,adaptation_topic
407,conj<obj<nsubj> ...,1,0.013,1,96,Even-toed_ungulate__order,adaptation_topic
417,det> a,1,0.004,1,96,Even-toed_ungulate__order,adaptation_topic
418,det> the,1,0.061,6,96,Even-toed_ungulate__order,adaptation_topic
466,nsubj< ...,1,0.071,7,96,Even-toed_ungulate__order,adaptation_topic
468,nsubj< have,1,0.016,1,96,Even-toed_ungulate__order,adaptation_topic
484,nsubj<amod> ...,1,0.072,3,96,Even-toed_ungulate__order,adaptation_topic
486,nsubj<aux> can,1,0.013,1,96,Even-toed_ungulate__order,adaptation_topic
487,nsubj<aux> may,1,0.016,1,96,Even-toed_ungulate__order,adaptation_topic
488,nsubj<cc> and,1,0.045,2,96,Even-toed_ungulate__order,adaptation_topic
