,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,-0.001,1,899,Even-toed_ungulate__order,free_topic
3,acl:relcl>aux> have,0,0.001,1,899,Even-toed_ungulate__order,free_topic
4,acl:relcl>cop> be,0,0.001,1,899,Even-toed_ungulate__order,free_topic
6,acl:relcl>nsubj> which,0,-0.0,1,899,Even-toed_ungulate__order,free_topic
13,acl> weigh,0,0.004,2,899,Even-toed_ungulate__order,free_topic
15,acl>obj> kg,0,0.004,2,899,Even-toed_ungulate__order,free_topic
17,acl>obj>nummod> ...,0,0.003,2,899,Even-toed_ungulate__order,free_topic
25,advmod> ...,0,-0.0,1,899,Even-toed_ungulate__order,free_topic
26,amod> ...,0,0.008,26,899,Even-toed_ungulate__order,free_topic
27,amod> Bactrian,0,0.001,3,899,Even-toed_ungulate__order,free_topic
28,amod> common,0,0.002,2,899,Even-toed_ungulate__order,free_topic
32,amod> red,0,-0.0,1,899,Even-toed_ungulate__order,free_topic
33,amod> roe,0,0.0,1,899,Even-toed_ungulate__order,free_topic
34,amod> taile,0,-0.001,1,899,Even-toed_ungulate__order,free_topic
35,amod> toe,0,-0.001,1,899,Even-toed_ungulate__order,free_topic
36,amod> wild,0,-0.0,4,899,Even-toed_ungulate__order,free_topic
37,amod>advmod> ...,0,-0.0,1,899,Even-toed_ungulate__order,free_topic
38,amod>advmod> alongside,0,0.001,1,899,Even-toed_ungulate__order,free_topic
40,amod>advmod> even,0,-0.0,2,899,Even-toed_ungulate__order,free_topic
51,amod>obl:npmod> white,0,-0.001,1,899,Even-toed_ungulate__order,free_topic
52,appos< ...,0,0.002,5,899,Even-toed_ungulate__order,free_topic
55,appos< deer,0,0.001,1,899,Even-toed_ungulate__order,free_topic
56,appos< order,0,0.003,2,899,Even-toed_ungulate__order,free_topic
59,appos<amod> ...,0,-0.0,1,899,Even-toed_ungulate__order,free_topic
60,appos<amod> red,0,0.001,1,899,Even-toed_ungulate__order,free_topic
62,appos<amod>advmod> ...,0,0.002,1,899,Even-toed_ungulate__order,free_topic
64,appos<case> ...,0,0.002,2,899,Even-toed_ungulate__order,free_topic
65,appos<case> in,0,0.003,2,899,Even-toed_ungulate__order,free_topic
68,appos<cc> and,0,0.001,1,899,Even-toed_ungulate__order,free_topic
69,appos<compound> ...,0,-0.001,1,899,Even-toed_ungulate__order,free_topic
74,appos<conj< species,0,0.004,2,899,Even-toed_ungulate__order,free_topic
75,appos<conj<acl> know,0,0.004,2,899,Even-toed_ungulate__order,free_topic
76,appos<conj<acl> originate,0,0.004,2,899,Even-toed_ungulate__order,free_topic
78,appos<conj<amod> mammal,0,0.004,2,899,Even-toed_ungulate__order,free_topic
79,appos<conj<amod> several,0,0.004,2,899,Even-toed_ungulate__order,free_topic
80,appos<conj<appos> arcto,0,0.004,2,899,Even-toed_ungulate__order,free_topic
82,appos<conj<conj> ...,0,0.0,1,899,Even-toed_ungulate__order,free_topic
87,appos<conj<conj> deer,0,0.001,1,899,Even-toed_ungulate__order,free_topic
88,appos<conj<conj> reindeer,0,0.004,2,899,Even-toed_ungulate__order,free_topic
89,appos<conj<conj> spread,0,0.004,2,899,Even-toed_ungulate__order,free_topic
91,appos<conj<nmod> Europe,0,0.004,2,899,Even-toed_ungulate__order,free_topic
92,appos<conj<nmod> bear,0,0.004,2,899,Even-toed_ungulate__order,free_topic
93,appos<conj<nmod> bison,0,0.004,2,899,Even-toed_ungulate__order,free_topic
97,appos<conj> ...,0,0.005,4,899,Even-toed_ungulate__order,free_topic
98,appos<conj>appos> ...,0,0.002,1,899,Even-toed_ungulate__order,free_topic
99,appos<conj>appos> deer,0,0.004,2,899,Even-toed_ungulate__order,free_topic
101,appos<conj>cc> and,0,0.0,1,899,Even-toed_ungulate__order,free_topic
103,appos<det> ...,0,0.001,1,899,Even-toed_ungulate__order,free_topic
104,appos<det> a,0,0.001,1,899,Even-toed_ungulate__order,free_topic
105,appos<det> the,0,0.002,4,899,Even-toed_ungulate__order,free_topic
107,appos<nmod< ...,0,0.001,1,899,Even-toed_ungulate__order,free_topic
108,appos<nmod<amod> ...,0,0.001,1,899,Even-toed_ungulate__order,free_topic
109,appos<nmod> ...,0,0.002,2,899,Even-toed_ungulate__order,free_topic
111,appos<nmod>case> in,0,0.001,1,899,Even-toed_ungulate__order,free_topic
112,appos<nmod>case> with,0,0.001,1,899,Even-toed_ungulate__order,free_topic
114,appos<nmod>det> the,0,0.001,1,899,Even-toed_ungulate__order,free_topic
115,appos<nsubj< ...,0,0.0,1,899,Even-toed_ungulate__order,free_topic
116,appos<nsubj<cop> be,0,0.001,1,899,Even-toed_ungulate__order,free_topic
121,appos<obl< ...,0,0.0,1,899,Even-toed_ungulate__order,free_topic
122,appos<obl< place,0,0.004,2,899,Even-toed_ungulate__order,free_topic
123,appos<obl<aux:pass> be,0,0.003,2,899,Even-toed_ungulate__order,free_topic
124,appos<obl<nsubj:pass> ...,0,0.003,2,899,Even-toed_ungulate__order,free_topic
125,appos<obl<nsubj> ...,0,0.001,1,899,Even-toed_ungulate__order,free_topic
128,appos> ...,0,-0.001,5,899,Even-toed_ungulate__order,free_topic
135,appos>amod> ...,0,-0.0,1,899,Even-toed_ungulate__order,free_topic
137,appos>compound> ...,0,0.001,2,899,Even-toed_ungulate__order,free_topic
145,appos>det> ...,0,0.003,2,899,Even-toed_ungulate__order,free_topic
147,appos>nmod> ...,0,0.003,2,899,Even-toed_ungulate__order,free_topic
149,appos>nmod>case> of,0,0.004,2,899,Even-toed_ungulate__order,free_topic
150,case> 's,0,-0.0,1,899,Even-toed_ungulate__order,free_topic
151,case> ...,0,-0.002,2,899,Even-toed_ungulate__order,free_topic
