,feat,cluster,pw_entr,feat_n,N,group,relrole
11,acl> ...,0,0.0,2,792,Even-toed_ungulate__order,taxongroup_topic
12,acl>obl> ...,0,0.001,2,792,Even-toed_ungulate__order,taxongroup_topic
13,acl>obl>case> ...,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
14,acl>obl>case> from,0,0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
15,acl>obl>conj> ...,0,0.002,2,792,Even-toed_ungulate__order,taxongroup_topic
16,advcl> ...,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
17,advcl>mark> ...,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
18,amod> ...,0,0.006,20,792,Even-toed_ungulate__order,taxongroup_topic
19,amod> european,0,-0.001,2,792,Even-toed_ungulate__order,taxongroup_topic
21,amod> female,0,0.001,2,792,Even-toed_ungulate__order,taxongroup_topic
22,amod> modern,0,0.002,2,792,Even-toed_ungulate__order,taxongroup_topic
23,amod> native,0,0.006,4,792,Even-toed_ungulate__order,taxongroup_topic
25,amod> red,0,0.002,11,792,Even-toed_ungulate__order,taxongroup_topic
26,amod> scottish,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
27,amod> tail,0,-0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
28,amod> wild,0,-0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
32,amod>obl:npmod> white,0,-0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
33,appos< ...,0,0.006,9,792,Even-toed_ungulate__order,taxongroup_topic
35,appos<acl>obl> ...,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
36,appos<amod> ...,0,0.001,2,792,Even-toed_ungulate__order,taxongroup_topic
41,appos<case> ...,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
43,appos<case> of,0,0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
44,appos<case> with,0,0.003,2,792,Even-toed_ungulate__order,taxongroup_topic
45,appos<compound> ...,0,0.003,3,792,Even-toed_ungulate__order,taxongroup_topic
46,appos<conj< ...,0,0.002,2,792,Even-toed_ungulate__order,taxongroup_topic
47,appos<conj<appos> ...,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
49,appos<conj<conj> ...,0,0.004,3,792,Even-toed_ungulate__order,taxongroup_topic
50,appos<conj> ...,0,-0.001,2,792,Even-toed_ungulate__order,taxongroup_topic
52,appos<conj>appos> ...,0,-0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
54,appos<conj>cc> and,0,-0.0,2,792,Even-toed_ungulate__order,taxongroup_topic
55,appos<det> ...,0,0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
56,appos<det> the,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
57,appos<nmod< ...,0,0.001,2,792,Even-toed_ungulate__order,taxongroup_topic
58,appos<nmod<amod> ...,0,0.002,2,792,Even-toed_ungulate__order,taxongroup_topic
59,appos<nmod<appos> ...,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
61,appos<nmod> ...,0,-0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
62,appos<nmod>case> ...,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
65,appos<nsubj< ...,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
67,appos<obl< ...,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
68,appos> ...,0,-0.004,8,792,Even-toed_ungulate__order,taxongroup_topic
79,appos>amod> ...,0,-0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
84,appos>compound> ...,0,-0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
86,appos>compound> Cervus,0,0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
95,case> ...,0,0.008,7,792,Even-toed_ungulate__order,taxongroup_topic
96,case> as,0,0.0,2,792,Even-toed_ungulate__order,taxongroup_topic
97,case> by,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
98,case> for,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
99,case> in,0,0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
100,case> of,0,0.03,22,792,Even-toed_ungulate__order,taxongroup_topic
101,case> on,0,0.002,2,792,Even-toed_ungulate__order,taxongroup_topic
102,case> such,0,0.008,8,792,Even-toed_ungulate__order,taxongroup_topic
103,case> than,0,0.002,2,792,Even-toed_ungulate__order,taxongroup_topic
104,case> to,0,-0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
105,case> with,0,0.003,4,792,Even-toed_ungulate__order,taxongroup_topic
106,case>fixed> as,0,0.008,8,792,Even-toed_ungulate__order,taxongroup_topic
110,cc> and,0,-0.002,1,792,Even-toed_ungulate__order,taxongroup_topic
115,compound< ...,0,0.019,11,792,Even-toed_ungulate__order,taxongroup_topic
116,compound< Polka,0,0.003,2,792,Even-toed_ungulate__order,taxongroup_topic
117,compound< fawn,0,0.003,2,792,Even-toed_ungulate__order,taxongroup_topic
118,compound< herder,0,0.003,2,792,Even-toed_ungulate__order,taxongroup_topic
119,compound< population,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
120,compound< species,0,0.003,2,792,Even-toed_ungulate__order,taxongroup_topic
121,compound<amod> ...,0,0.017,10,792,Even-toed_ungulate__order,taxongroup_topic
122,compound<appos< ...,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
123,compound<case> ...,0,0.009,5,792,Even-toed_ungulate__order,taxongroup_topic
124,compound<case> of,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
125,compound<conj< ...,0,0.007,4,792,Even-toed_ungulate__order,taxongroup_topic
126,compound<conj<amod> ...,0,0.007,4,792,Even-toed_ungulate__order,taxongroup_topic
127,compound<conj<case> ...,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
128,compound<det> ...,0,0.002,1,792,Even-toed_ungulate__order,taxongroup_topic
129,compound<det> the,0,0.017,10,792,Even-toed_ungulate__order,taxongroup_topic
130,compound<nmod< ...,0,0.007,4,792,Even-toed_ungulate__order,taxongroup_topic
131,compound<nmod> ...,0,0.009,5,792,Even-toed_ungulate__order,taxongroup_topic
132,compound<nmod>case> ...,0,0.009,5,792,Even-toed_ungulate__order,taxongroup_topic
133,compound<nmod>det> the,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
134,compound<nsubj< ...,0,0.005,3,792,Even-toed_ungulate__order,taxongroup_topic
135,compound<nsubj<obl> ...,0,0.01,6,792,Even-toed_ungulate__order,taxongroup_topic
136,compound> ...,0,-0.001,4,792,Even-toed_ungulate__order,taxongroup_topic
140,compound> fallow,0,-0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
142,compound> roe,0,0.004,16,792,Even-toed_ungulate__order,taxongroup_topic
143,compound> sika,0,0.004,8,792,Even-toed_ungulate__order,taxongroup_topic
144,compound> term,0,0.002,2,792,Even-toed_ungulate__order,taxongroup_topic
145,compound> word,0,0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
146,compound>amod> ...,0,-0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
148,conj< ...,0,-0.002,1,792,Even-toed_ungulate__order,taxongroup_topic
162,conj<amod> ...,0,-0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
273,conj> ...,0,-0.003,1,792,Even-toed_ungulate__order,taxongroup_topic
275,conj> caribou,0,0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
292,conj>cc> and,0,-0.004,2,792,Even-toed_ungulate__order,taxongroup_topic
305,cop> be,0,-0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
306,det> ...,0,0.001,2,792,Even-toed_ungulate__order,taxongroup_topic
307,det> a,0,0.005,7,792,Even-toed_ungulate__order,taxongroup_topic
308,det> some,0,-0.0,1,792,Even-toed_ungulate__order,taxongroup_topic
309,det> the,0,0.016,31,792,Even-toed_ungulate__order,taxongroup_topic
311,flat< Genus,0,0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
312,flat<list> ...,0,0.002,1,792,Even-toed_ungulate__order,taxongroup_topic
313,flat<list> hippopotamuse,0,0.001,1,792,Even-toed_ungulate__order,taxongroup_topic
