feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> material,0.919,0.001,0.577,0.134,2,Fungus__kingdom,free_topic
conj> invertebrate,0.911,0.002,0.577,0.134,2,Fungus__kingdom,free_topic
conj> insect,0.908,0.002,0.764,0.027,3,Fungus__kingdom,free_topic
appos>amod> ...,0.904,0.002,0.577,0.134,3,Fungus__kingdom,free_topic
conj<conj>compound> plant,0.903,0.002,0.577,0.134,2,Fungus__kingdom,free_topic
nmod< species,0.899,0.002,0.764,0.027,8,Fungus__kingdom,free_topic
conj>cc> or,0.892,0.003,0.756,0.03,4,Fungus__kingdom,free_topic
conj<conj> lichen,0.879,0.004,0.546,0.162,4,Fungus__kingdom,free_topic
conj< animal,0.875,0.004,0.764,0.027,7,Fungus__kingdom,free_topic
conj<conj> moss,0.857,0.007,0.577,0.134,5,Fungus__kingdom,free_topic
obl<obj> ...,0.856,0.007,0.77,0.025,4,Fungus__kingdom,free_topic
appos<conj> ...,0.844,0.008,0.546,0.162,7,Fungus__kingdom,free_topic
conj>compound> plant,0.842,0.009,0.756,0.03,2,Fungus__kingdom,free_topic
nmod< example,0.841,0.009,0.577,0.134,3,Fungus__kingdom,free_topic
nmod>det> the,0.837,0.009,0.764,0.027,4,Fungus__kingdom,free_topic
conj<conj> insect,0.831,0.011,0.289,0.488,6,Fungus__kingdom,free_topic
nmod>nmod>case> ...,0.826,0.011,0.546,0.162,3,Fungus__kingdom,free_topic
conj<nmod<conj> ...,0.825,0.012,0.577,0.134,3,Fungus__kingdom,free_topic
nmod< ...,0.824,0.012,0.764,0.027,27,Fungus__kingdom,free_topic
conj<nmod< parasite,0.814,0.014,0.577,0.134,2,Fungus__kingdom,free_topic
conj<conj>cc> as,0.813,0.014,0.756,0.03,2,Fungus__kingdom,free_topic
conj> ...,0.813,0.014,0.275,0.509,39,Fungus__kingdom,free_topic
nmod>nmod> ...,0.806,0.016,0.764,0.027,3,Fungus__kingdom,free_topic
amod> entomopathogenic,0.805,0.016,0.577,0.134,2,Fungus__kingdom,free_topic
conj<conj>compound> ...,0.797,0.018,0.436,0.28,19,Fungus__kingdom,free_topic
conj<conj>cc> ...,0.795,0.018,0.577,0.134,1,Fungus__kingdom,free_topic
conj< insect,0.788,0.02,0.655,0.078,3,Fungus__kingdom,free_topic
conj< bacteria,0.776,0.024,0.464,0.247,17,Fungus__kingdom,free_topic
nmod>case> in,0.772,0.025,0.655,0.078,3,Fungus__kingdom,free_topic
nmod<det> a,0.772,0.025,0.577,0.134,9,Fungus__kingdom,free_topic
nmod<acl> ...,0.771,0.025,0.577,0.134,3,Fungus__kingdom,free_topic
conj<case> include,0.769,0.026,0.546,0.162,9,Fungus__kingdom,free_topic
case> on,0.768,0.026,0.639,0.088,8,Fungus__kingdom,free_topic
acl>obl>det> the,0.767,0.026,0.764,0.027,4,Fungus__kingdom,free_topic
conj> fern,0.767,0.026,0.756,0.03,2,Fungus__kingdom,free_topic
nmod<acl> find,0.765,0.027,0.577,0.134,2,Fungus__kingdom,free_topic
amod> other,0.761,0.028,0.655,0.078,3,Fungus__kingdom,free_topic
conj<conj> ...,0.755,0.03,0.12,0.776,146,Fungus__kingdom,free_topic
obl<mark> to,0.753,0.031,0.327,0.429,4,Fungus__kingdom,free_topic
conj< carrion,0.752,0.031,0.756,0.03,2,Fungus__kingdom,free_topic
