,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Aes-55d6_84_fungi-3,fungi,Fungus#kingdom,amod>,rot,VERB,2,amod> ...,0.41680125866163004,-0.15571603281803154,Fungus__kingdom,free_topic,3,30
3,Ancaf41_4_fungi-20,fungi,Fungus#kingdom,nmod<case>,along,ADP,14,nmod<case> ...,0.5220349851695762,-0.09846527276689235,Fungus__kingdom,free_topic,3,30
4,Ancaf41_4_fungi-20,fungi,Fungus#kingdom,nmod<case>,with,ADP,15,nmod<case> with,0.5065797117818357,-0.05446363398625702,Fungus__kingdom,free_topic,3,30
4,Ant-44b4_181_fungi-6,fungi,Fungus#kingdom,amod>,such,ADJ,5,amod> ...,0.6493448515381858,-0.440278313209035,Fungus__kingdom,free_topic,3,30
11,Ant-44b4_185_fungi-16,fungi,Fungus#kingdom,amod>,Antarctic,ADJ,15,amod> ...,0.5838914126960119,-0.36252336309760863,Fungus__kingdom,free_topic,3,30
1,Ant-44b4_186_fungi-6,fungi,Fungus#kingdom,nmod<case>,of,ADP,2,nmod<case> ...,0.6724641831997477,-0.10951147899744113,Fungus__kingdom,free_topic,3,30
4,Aph-1a7e_108_fungi-18,fungi,Fungus#kingdom,nmod<case>,by,ADP,13,nmod<case> ...,0.5962737726376967,0.16542193052833462,Fungus__kingdom,free_topic,3,30
4,Aph-1a7e_236_fungi-17,fungi,Fungus#kingdom,nmod<case>,with,ADP,13,nmod<case> with,0.5065797117818357,-0.05446363398625702,Fungus__kingdom,free_topic,3,30
7,Asc-4810_101_Ascomycota-14,Ascomycota,Ascomycota#phylum,amod>,mitosporic,ADJ,13,amod> ...,0.609374499965331,-0.7242825775508336,Fungus__kingdom,free_topic,3,30
3,Ase-acb4_49_fungi-11,fungi,Fungus#kingdom,nmod<case>,for,ADP,7,nmod<case> for,0.6020282612127191,0.22004728636184626,Fungus__kingdom,free_topic,3,30
6,Ase-acb4_49_fungi-11,fungi,Fungus#kingdom,amod>,conidial,ADJ,10,amod> ...,0.4602784196627698,-0.4152492023294446,Fungus__kingdom,free_topic,3,30
5,Bas-0015_124_Basidiomycota-16,Basidiomycota,Basidiomycota#phylum,amod>,dimorphic,ADJ,15,amod> dimorphic,0.5168397901493658,-0.22036746906084778,Fungus__kingdom,free_topic,3,30
1,Bas-0015_128_Basidiomycota-3,Basidiomycota,Basidiomycota#phylum,amod>,dimorphic,ADJ,2,amod> dimorphic,0.5168397901493658,-0.22036746906084778,Fungus__kingdom,free_topic,3,30
3,Bee-1811_363_fungi-13,fungi,Fungus#kingdom,nmod<case>,upon,ADP,8,nmod<case> ...,0.5125528750948163,0.09981381047601309,Fungus__kingdom,free_topic,3,30
3,Bio-20c0_210_fungi-11,fungi,Fungus#kingdom,nmod<case>,for,ADP,6,nmod<case> for,0.6020282612127191,0.22004728636184626,Fungus__kingdom,free_topic,3,30
4,Bog-cdf9_46_fungi-12,fungi,Fungus#kingdom,nmod<case>,through,ADP,7,nmod<case> ...,0.5765869934669307,0.13215958967046196,Fungus__kingdom,free_topic,3,30
8,Bog-cdf9_46_fungi-12,fungi,Fungus#kingdom,amod>,mycorrhizal,ADJ,11,amod> mycorrhizal,0.6122400213912386,-0.7083157492564794,Fungus__kingdom,free_topic,3,30
4,Fag-86d1_50_fungi-9,fungi,Fungus#kingdom,nmod<case>,with,ADP,5,nmod<case> with,0.5065797117818357,-0.05446363398625702,Fungus__kingdom,free_topic,3,30
8,Fun-7367_102_fungi-20,fungi,Fungus#kingdom,amod>,pathogenic,ADJ,19,amod> ...,0.6576009436030685,-0.575345936866696,Fungus__kingdom,free_topic,3,30
3,Fun-7367_106_fungi-27,fungi,Fungus#kingdom,nmod<case>,into,ADP,22,nmod<case> ...,0.4904829577201599,-0.03451564316037726,Fungus__kingdom,free_topic,3,30
2,Fun-7367_11_fungi-10,fungi,Fungus#kingdom,nmod<case>,to,ADP,6,nmod<case> to,0.6347134357957661,-0.003567249371056779,Fungus__kingdom,free_topic,3,30
5,Lea-7e84_51_fungi-8,fungi,Fungus#kingdom,amod>,commonly,ADJ,6,amod> ...,0.5925137048049368,-0.3287660828074827,Fungus__kingdom,free_topic,3,30
6,Lea-7e84_51_fungi-8,fungi,Fungus#kingdom,amod>,document,VERB,7,amod> ...,0.5483709612432658,-0.47156923829075453,Fungus__kingdom,free_topic,3,30
3,Mim-33dd_234_fungi-8,fungi,Fungus#kingdom,nmod<case>,in,ADP,5,nmod<case> ...,0.7186993931815633,-0.12169578811082263,Fungus__kingdom,free_topic,3,30
3,Oak-f2b6_8_fungi-9,fungi,Fungus#kingdom,nmod<case>,with,ADP,5,nmod<case> with,0.5065797117818357,-0.05446363398625702,Fungus__kingdom,free_topic,3,30
6,Oph-1439_17_fungi-8,fungi,Fungus#kingdom,amod>,symbiotic,ADJ,7,amod> ...,0.6812771805494651,-0.678285425132438,Fungus__kingdom,free_topic,3,30
7,Orc-0474_117_fungi-18,fungi,Fungus#kingdom,amod>,various,ADJ,15,amod> ...,0.6884136472257933,-0.564387070151464,Fungus__kingdom,free_topic,3,30
8,Orc-0474_117_fungi-18,fungi,Fungus#kingdom,amod>,mycorrhizal,ADJ,16,amod> mycorrhizal,0.6122400213912386,-0.7083157492564794,Fungus__kingdom,free_topic,3,30
9,Orc-0474_117_fungi-18,fungi,Fungus#kingdom,amod>,basidiomyceteous,ADJ,17,amod> ...,0.5625054364835651,-0.5434468818746315,Fungus__kingdom,free_topic,3,30
1,Orc-0474_185_fungi-2,fungi,Fungus#kingdom,amod>,involve,ADJ,3,amod> ...,0.5377493687363368,-0.3528024817696165,Fungus__kingdom,free_topic,3,30
10,Orc-0474_187_fungi-34,fungi,Fungus#kingdom,amod>,mycorrhizal,ADJ,33,amod> mycorrhizal,0.6122400213912386,-0.7083157492564794,Fungus__kingdom,free_topic,3,30
2,Pla-2751_139_fungi-8,fungi,Fungus#kingdom,nmod<case>,as,ADP,4,nmod<case> ...,0.5085678360196678,-0.03624575780933122,Fungus__kingdom,free_topic,3,30
5,Pla-2751_139_fungi-8,fungi,Fungus#kingdom,amod>,endophytic,ADJ,7,amod> ...,0.5662021098193633,-0.6456283156168654,Fungus__kingdom,free_topic,3,30
5,Poi-3a9d_103_fungi-10,fungi,Fungus#kingdom,amod>,edible,ADJ,9,amod> ...,0.5227480465951452,-0.3255014748937417,Fungus__kingdom,free_topic,3,30
5,Ter-605f_257_fungi-9,fungi,Fungus#kingdom,amod>,specialised,VERB,8,amod> ...,0.667355898505965,-0.4023008076531305,Fungus__kingdom,free_topic,3,30
6,Wes-8d71_322_fungi-39,fungi,Fungus#kingdom,nmod<case>,compare,VERB,32,nmod<case> ...,0.5009513936604056,-0.2092310376499232,Fungus__kingdom,free_topic,3,30
7,Wes-8d71_322_fungi-39,fungi,Fungus#kingdom,nmod<case>,to,ADP,33,nmod<case> to,0.6347134357957661,-0.003567249371056779,Fungus__kingdom,free_topic,3,30
2,Zyg-4cb9_11_fungi-38,fungi,Fungus#kingdom,nmod<case>,to,ADP,34,nmod<case> to,0.6347134357957661,-0.003567249371056779,Fungus__kingdom,free_topic,3,30
6,Ace-0af3_13_fungi-17,fungi,Fungus#kingdom,conj<,invertebrate,NOUN,15,conj< ...,-0.34433744248650416,-0.03366710110463722,Fungus__kingdom,free_topic,2,49
6,Ant-938d_306_fungi-22,fungi,Fungus#kingdom,conj<amod>,other,ADJ,12,conj<amod> other,-0.5385081592363968,0.5398440573217445,Fungus__kingdom,free_topic,2,49
8,Ant-938d_306_fungi-22,fungi,Fungus#kingdom,conj<,species,NOUN,14,conj< ...,-0.25182605751069465,0.06680146319536251,Fungus__kingdom,free_topic,2,49
6,Ant-938d_307_fungi-12,fungi,Fungus#kingdom,conj<amod>,many,ADJ,7,conj<amod> many,-0.5747482500712164,0.6028039618351528,Fungus__kingdom,free_topic,2,49
7,Ant-938d_307_fungi-12,fungi,Fungus#kingdom,conj<,animal,NOUN,8,conj< animal,-0.39723718328687097,0.020281125432407288,Fungus__kingdom,free_topic,2,49
10,Ant-938d_307_fungi-12,fungi,Fungus#kingdom,amod>,certain,ADJ,11,amod> ...,-0.5339561820508447,-0.13441287112299788,Fungus__kingdom,free_topic,2,49
5,Aph-1a7e_213_fungi-11,fungi,Fungus#kingdom,conj<,bacteria,NOUN,6,conj< bacteria,-0.29513027717050466,0.06164376397743935,Fungus__kingdom,free_topic,2,49
3,Ase-acb4_15_fungi-8,fungi,Fungus#kingdom,conj<,protist,NOUN,5,conj< ...,-0.3444760486704657,0.02432031171435777,Fungus__kingdom,free_topic,2,49
5,Ase-acb4_15_fungi-8,fungi,Fungus#kingdom,amod>,unicellular,ADJ,7,amod> ...,-0.44191478197311707,-0.031484474461100885,Fungus__kingdom,free_topic,2,49
7,Ast-c43d_134_fungi-17,fungi,Fungus#kingdom,conj<,alga,NOUN,15,conj< alga,-0.4080997557484406,-0.04243996943604618,Fungus__kingdom,free_topic,2,49
6,Bel-4321_424_fungi-25,fungi,Fungus#kingdom,conj<,viruse,NOUN,19,conj< viruse,-0.15162319479716108,0.12844842589366984,Fungus__kingdom,free_topic,2,49
6,Ben-a305_4_fungi-17,fungi,Fungus#kingdom,conj<,bacteria,NOUN,15,conj< bacteria,-0.29513027717050466,0.06164376397743935,Fungus__kingdom,free_topic,2,49
