feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> ant,0.968,0.0,0.577,0.134,3,Hymenoptera__order,taxongroup_comment
nsubj>compound> type,0.96,0.0,0.577,0.134,2,Hymenoptera__order,taxongroup_comment
conj> bumblebee,0.953,0.0,0.577,0.134,6,Hymenoptera__order,taxongroup_comment
conj> ...,0.951,0.0,0.42,0.3,18,Hymenoptera__order,taxongroup_comment
compound<det> some,0.94,0.001,0.577,0.134,2,Hymenoptera__order,taxongroup_comment
conj> be,0.939,0.001,-0.183,0.665,19,Hymenoptera__order,taxongroup_comment
compound<det> ...,0.937,0.001,0.577,0.134,1,Hymenoptera__order,taxongroup_comment
conj> Blattodea,0.936,0.001,0.577,0.134,2,Hymenoptera__order,taxongroup_comment
conj<case> between,0.932,0.001,0.764,0.027,3,Hymenoptera__order,taxongroup_comment
conj<case> include,0.929,0.001,0.764,0.027,5,Hymenoptera__order,taxongroup_comment
appos>conj>cc> and,0.923,0.001,0.784,0.021,5,Hymenoptera__order,taxongroup_comment
conj> prey,0.92,0.001,0.577,0.134,2,Hymenoptera__order,taxongroup_comment
conj<conj> fly,0.919,0.001,0.764,0.027,3,Hymenoptera__order,taxongroup_comment
conj<nmod<amod> ...,0.917,0.001,0.764,0.027,5,Hymenoptera__order,taxongroup_comment
compound<obl<advmod> ...,0.904,0.002,0.577,0.134,4,Hymenoptera__order,taxongroup_comment
conj> wasp,0.9,0.002,-0.183,0.665,9,Hymenoptera__order,taxongroup_comment
conj> hornet,0.9,0.002,0.436,0.28,4,Hymenoptera__order,taxongroup_comment
nmod>nmod> ...,0.896,0.003,0.764,0.027,5,Hymenoptera__order,taxongroup_comment
appos> ant,0.896,0.003,0.756,0.03,2,Hymenoptera__order,taxongroup_comment
nmod< group,0.89,0.003,0.764,0.027,4,Hymenoptera__order,taxongroup_comment
acl:relcl>obl>case> with,0.888,0.003,0.577,0.134,2,Hymenoptera__order,taxongroup_comment
amod>obl>case> ...,0.887,0.003,0.577,0.134,1,Hymenoptera__order,taxongroup_comment
nmod< Characteristics,0.886,0.003,0.577,0.134,2,Hymenoptera__order,taxongroup_comment
appos>conj> be,0.882,0.004,0.764,0.027,3,Hymenoptera__order,taxongroup_comment
nmod<nmod:poss> they,0.878,0.004,0.756,0.03,2,Hymenoptera__order,taxongroup_comment
conj<case> of,0.878,0.004,0.756,0.03,2,Hymenoptera__order,taxongroup_comment
acl:relcl>obl>case> ...,0.878,0.004,0.577,0.134,1,Hymenoptera__order,taxongroup_comment
nsubj<nmod>amod> ...,0.876,0.004,0.655,0.078,4,Hymenoptera__order,taxongroup_comment
nsubj:pass<conj> ...,0.875,0.004,0.577,0.134,3,Hymenoptera__order,taxongroup_comment
conj<conj> beetle,0.868,0.005,0.756,0.03,2,Hymenoptera__order,taxongroup_comment
nmod>case> like,0.867,0.005,0.756,0.03,2,Hymenoptera__order,taxongroup_comment
nsubj<obl>det> the,0.863,0.006,0.756,0.03,4,Hymenoptera__order,taxongroup_comment
nmod<conj> ...,0.861,0.006,0.875,0.004,11,Hymenoptera__order,taxongroup_comment
acl:relcl>obl>amod> ...,0.86,0.006,0.577,0.134,3,Hymenoptera__order,taxongroup_comment
nsubj:pass<obl>case> ...,0.86,0.006,0.577,0.134,2,Hymenoptera__order,taxongroup_comment
nsubj<obl>det> a,0.858,0.006,0.733,0.039,3,Hymenoptera__order,taxongroup_comment
conj<obl<nsubj> ...,0.854,0.007,0.764,0.027,3,Hymenoptera__order,taxongroup_comment
obl<obj> exoskeleton,0.851,0.007,0.756,0.03,2,Hymenoptera__order,taxongroup_comment
conj<obj>compound> honey,0.85,0.008,0.577,0.134,2,Hymenoptera__order,taxongroup_comment
nmod< ...,0.85,0.008,0.748,0.033,44,Hymenoptera__order,taxongroup_comment
appos<parataxis<nsubj> Bombini,0.849,0.008,0.756,0.03,2,Hymenoptera__order,taxongroup_comment
nsubj<parataxis>advmod> ...,0.845,0.008,0.822,0.012,5,Hymenoptera__order,taxongroup_comment
nmod>nmod>case> of,0.841,0.009,0.577,0.134,2,Hymenoptera__order,taxongroup_comment
nsubj:pass<obl>case> in,0.84,0.009,0.577,0.134,5,Hymenoptera__order,taxongroup_comment
nmod<conj<obl> ...,0.84,0.009,0.764,0.027,3,Hymenoptera__order,taxongroup_comment
conj<appos>compound> Potter,0.84,0.009,0.577,0.134,3,Hymenoptera__order,taxongroup_comment
nmod< genus,0.838,0.009,0.733,0.039,3,Hymenoptera__order,taxongroup_comment
appos>conj> ...,0.838,0.009,0.674,0.067,6,Hymenoptera__order,taxongroup_comment
nmod<obl<nsubj> ...,0.835,0.01,0.825,0.012,7,Hymenoptera__order,taxongroup_comment
conj<conj> be,0.833,0.01,0.577,0.134,11,Hymenoptera__order,taxongroup_comment
nmod>nmod>case> ...,0.833,0.01,0.546,0.162,3,Hymenoptera__order,taxongroup_comment
nmod<nmod> ...,0.829,0.011,0.682,0.062,10,Hymenoptera__order,taxongroup_comment
nmod>flat> ...,0.824,0.012,0.764,0.027,3,Hymenoptera__order,taxongroup_comment
nsubj<obl>case> as,0.822,0.012,0.756,0.03,2,Hymenoptera__order,taxongroup_comment
nsubj<conj>det> the,0.821,0.012,0.577,0.134,3,Hymenoptera__order,taxongroup_comment
case> in,0.821,0.013,0.894,0.003,9,Hymenoptera__order,taxongroup_comment
parataxis< widespread,0.82,0.013,0.756,0.03,2,Hymenoptera__order,taxongroup_comment
conj< be,0.82,0.013,0.764,0.027,11,Hymenoptera__order,taxongroup_comment
