,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
3,Wes-8d71_27_bee-3,bee,European_honey_bee#species,appos>,cycle,NOUN,6,appos> cycle,-0.23822698622994384,0.07087017912120222,Hymenoptera__order,adaptation_topic,0,24
1,Att-e7de_9_Atta-1,Atta,Atta_genus#genus,appos>,overview,PROPN,6,appos> ...,-0.31323354665624076,0.21410790577840574,Hymenoptera__order,adaptation_topic,0,24
4,Bla-af14_60_ant-3,ant,Black_garden_ant#species,appos>,queens,NOUN,8,appos> ...,-0.22829836027902267,-0.03179869955681543,Hymenoptera__order,adaptation_topic,0,24
2,Bla-af14_11_ant-3,ant,Black_garden_ant#species,appos>,appearance,PROPN,5,appos> ...,-0.2682585608263675,-0.014387214976966906,Hymenoptera__order,adaptation_topic,0,24
2,Bla-af14_65_ant-3,ant,Ant#family,appos>,Mutualisms,NOUN,5,appos> ...,-0.2983514962314904,0.26186512197268497,Hymenoptera__order,adaptation_topic,0,24
4,Eci-644a_111_burchellii-18,burchellii,Eciton_burchellii#species,compound<det>,the,DET,16,compound<det> the,-0.3479914438345489,-0.3306541171297184,Hymenoptera__order,adaptation_topic,0,24
1,Eci-644a_15_burchellii-2,burchellii,Eciton_burchellii#species,appos>,description,NOUN,4,appos> description,-0.309203410012536,0.15082468808401883,Hymenoptera__order,adaptation_topic,0,24
4,Pol-516e_149_bee-7,bee,European_honey_bee#species,compound<amod>,commercial,ADJ,5,compound<amod> ...,-0.13326205609780578,-0.2596135455750757,Hymenoptera__order,adaptation_topic,0,24
2,Wes-8d71_192_bee-3,bee,European_honey_bee#species,appos>,behavior,NOUN,5,appos> behavior,-0.2609827990167766,0.1370407834406238,Hymenoptera__order,adaptation_topic,0,24
3,Wes-8d71_192_bee-3,bee,European_honey_bee#species,appos>,communication,NOUN,7,appos> ...,-0.30937701632416864,0.08405786619525209,Hymenoptera__order,adaptation_topic,0,24
3,Wes-8d71_49_bee-3,bee,European_honey_bee#species,appos>,cycle,NOUN,6,appos> cycle,-0.23822698622994384,0.07087017912120222,Hymenoptera__order,adaptation_topic,0,24
7,Wes-8d71_49_bee-3,bee,European_honey_bee#species,appos>,cycle,NOUN,11,appos> cycle,-0.23822698622994384,0.07087017912120222,Hymenoptera__order,adaptation_topic,0,24
