,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Bom-c423_306_farmland-5,farmland,Arable_land#habitat,compound<nmod<,biodiversity,NOUN,3,compound<nmod< ...,-0.04331774175995702,-0.018985191640984514,Hymenoptera__order,location_comment,4,3
2,Bom-c423_306_farmland-5,farmland,Arable_land#habitat,compound<case>,in,ADP,4,compound<case> in,0.061462337637067314,-0.026690837733779463,Hymenoptera__order,location_comment,4,3
3,Bom-c423_306_farmland-5,farmland,Arable_land#habitat,compound<,area,NOUN,6,compound< area,0.24328052207054543,-0.08006490857315973,Hymenoptera__order,location_comment,4,3
2,Wes-8d71_20_desert-33,desert,Deserts_and_xeric_shrublands#habitat,compound<nmod<,behavior,NOUN,31,compound<nmod< ...,-0.010195086777895431,-0.04943650506982339,Hymenoptera__order,location_comment,4,3
3,Wes-8d71_20_desert-33,desert,Deserts_and_xeric_shrublands#habitat,compound<case>,in,ADP,32,compound<case> in,0.061462337637067314,-0.026690837733779463,Hymenoptera__order,location_comment,4,3
4,Wes-8d71_20_desert-33,desert,Deserts_and_xeric_shrublands#habitat,compound<,area,NOUN,34,compound< area,0.24328052207054543,-0.08006490857315973,Hymenoptera__order,location_comment,4,3
1,Des-000c_366_desert-2,desert,Deserts_and_xeric_shrublands#habitat,compound<,shrimp,NOUN,3,compound< ...,0.25747066944608893,-0.08314955721053799,Hymenoptera__order,location_comment,4,3
5,Des-000c_361_desert-13,desert,Deserts_and_xeric_shrublands#habitat,obl<,make,VERB,8,obl< ...,0.16897588135761807,0.35868217013536846,Hymenoptera__order,location_comment,1,3
7,Des-000c_361_desert-13,desert,Deserts_and_xeric_shrublands#habitat,obl<obj>,home,NOUN,10,obl<obj> ...,-0.15654259721314215,0.1577280138538235,Hymenoptera__order,location_comment,1,3
7,Eur-a59b_48_forest-32,forest,Temperate_coniferous_forest#habitat,obl<,find,VERB,28,obl< ...,0.060125283342674175,0.2192963467019536,Hymenoptera__order,location_comment,1,3
