,feat,cluster,pw_entr,feat_n,N,group,relrole
0,amod> ...,0,-0.006,1,166,Hymenoptera__order,adaptation_topic
2,amod> black,0,0.005,1,166,Hymenoptera__order,adaptation_topic
3,amod> bumble,0,0.007,1,166,Hymenoptera__order,adaptation_topic
5,amod> european,0,0.012,3,166,Hymenoptera__order,adaptation_topic
6,amod> many,0,0.007,1,166,Hymenoptera__order,adaptation_topic
8,amod> western,0,0.007,2,166,Hymenoptera__order,adaptation_topic
11,appos< ...,0,0.001,1,166,Hymenoptera__order,adaptation_topic
12,appos<amod> ...,0,0.003,1,166,Hymenoptera__order,adaptation_topic
14,appos<det> the,0,0.005,1,166,Hymenoptera__order,adaptation_topic
16,appos> ...,0,0.07,10,166,Hymenoptera__order,adaptation_topic
18,appos> behavior,0,0.022,2,166,Hymenoptera__order,adaptation_topic
19,appos> cycle,0,0.033,3,166,Hymenoptera__order,adaptation_topic
20,appos> description,0,0.022,2,166,Hymenoptera__order,adaptation_topic
21,appos> reference,0,0.022,2,166,Hymenoptera__order,adaptation_topic
22,appos>amod> ...,0,0.014,2,166,Hymenoptera__order,adaptation_topic
23,appos>appos> ...,0,0.033,3,166,Hymenoptera__order,adaptation_topic
24,appos>compound> ...,0,0.009,2,166,Hymenoptera__order,adaptation_topic
25,appos>compound> Life,0,0.022,2,166,Hymenoptera__order,adaptation_topic
38,compound< ...,0,0.035,5,166,Hymenoptera__order,adaptation_topic
39,compound< colony,0,0.028,3,166,Hymenoptera__order,adaptation_topic
40,compound< cycle,0,0.007,1,166,Hymenoptera__order,adaptation_topic
41,compound< health,0,0.007,1,166,Hymenoptera__order,adaptation_topic
42,compound< population,0,0.033,3,166,Hymenoptera__order,adaptation_topic
43,compound< species,0,0.012,3,166,Hymenoptera__order,adaptation_topic
44,compound<amod> ...,0,0.025,4,166,Hymenoptera__order,adaptation_topic
46,compound<amod> western,0,0.022,2,166,Hymenoptera__order,adaptation_topic
47,compound<appos< ...,0,0.033,3,166,Hymenoptera__order,adaptation_topic
48,compound<case> ...,0,0.007,2,166,Hymenoptera__order,adaptation_topic
50,compound<case> of,0,0.018,3,166,Hymenoptera__order,adaptation_topic
51,compound<case> on,0,0.007,1,166,Hymenoptera__order,adaptation_topic
52,compound<compound< ...,0,0.005,1,166,Hymenoptera__order,adaptation_topic
53,compound<compound> ...,0,0.005,1,166,Hymenoptera__order,adaptation_topic
55,compound<det> the,0,0.003,1,166,Hymenoptera__order,adaptation_topic
56,compound<nmod< ...,0,0.035,5,166,Hymenoptera__order,adaptation_topic
57,compound<nmod<amod> ...,0,0.011,2,166,Hymenoptera__order,adaptation_topic
58,compound<nmod<conj< ...,0,0.017,2,166,Hymenoptera__order,adaptation_topic
59,compound<nmod<det> ...,0,0.011,1,166,Hymenoptera__order,adaptation_topic
60,compound<nmod<det> the,0,0.017,2,166,Hymenoptera__order,adaptation_topic
61,compound<nmod> ...,0,0.001,1,166,Hymenoptera__order,adaptation_topic
62,compound<nmod>case> ...,0,0.001,1,166,Hymenoptera__order,adaptation_topic
63,compound<nsubj< ...,0,0.039,4,166,Hymenoptera__order,adaptation_topic
64,compound<nsubj<obl> ...,0,0.017,2,166,Hymenoptera__order,adaptation_topic
65,compound<obj< ...,0,0.017,2,166,Hymenoptera__order,adaptation_topic
66,compound<obl< ...,0,-0.001,1,166,Hymenoptera__order,adaptation_topic
67,compound<obl<aux:pass> be,0,0.005,1,166,Hymenoptera__order,adaptation_topic
70,compound<obl<nsubj:pass> ...,0,0.005,1,166,Hymenoptera__order,adaptation_topic
71,compound> ...,0,0.001,2,166,Hymenoptera__order,adaptation_topic
72,compound> Eciton,0,0.067,7,166,Hymenoptera__order,adaptation_topic
73,compound> Formica,0,0.033,3,166,Hymenoptera__order,adaptation_topic
74,compound> Spider,0,0.033,3,166,Hymenoptera__order,adaptation_topic
75,compound> army,0,-0.003,2,166,Hymenoptera__order,adaptation_topic
76,compound> garden,0,0.083,8,166,Hymenoptera__order,adaptation_topic
78,compound> giant,0,0.024,3,166,Hymenoptera__order,adaptation_topic
79,compound> honey,0,0.063,11,166,Hymenoptera__order,adaptation_topic
82,compound>amod> asian,0,0.033,3,166,Hymenoptera__order,adaptation_topic
83,compound>amod> black,0,0.078,7,166,Hymenoptera__order,adaptation_topic
84,compound>amod> western,0,0.017,2,166,Hymenoptera__order,adaptation_topic
85,compound>compound> ...,0,0.017,2,166,Hymenoptera__order,adaptation_topic
148,det> the,0,-0.01,1,166,Hymenoptera__order,adaptation_topic
183,nsubj< ...,0,-0.006,1,166,Hymenoptera__order,adaptation_topic
184,nsubj< eusocial,0,0.007,1,166,Hymenoptera__order,adaptation_topic
189,nsubj<appos> ...,0,0.003,1,166,Hymenoptera__order,adaptation_topic
190,nsubj<appos>compound> ...,0,0.005,1,166,Hymenoptera__order,adaptation_topic
192,nsubj<appos>det> a,0,0.007,1,166,Hymenoptera__order,adaptation_topic
193,nsubj<appos>nmod> ...,0,0.005,1,166,Hymenoptera__order,adaptation_topic
198,nsubj<conj> ...,0,-0.004,1,166,Hymenoptera__order,adaptation_topic
203,nsubj<conj>obl> ...,0,0.005,1,166,Hymenoptera__order,adaptation_topic
204,nsubj<cop> be,0,-0.003,1,166,Hymenoptera__order,adaptation_topic
222,nsubj<xcomp> ...,0,0.005,1,166,Hymenoptera__order,adaptation_topic
223,nsubj<xcomp>mark> to,0,0.005,1,166,Hymenoptera__order,adaptation_topic
224,obj< ...,0,0.011,2,166,Hymenoptera__order,adaptation_topic
258,amod> ...,1,0.029,10,267,Hymenoptera__order,adaptation_topic
259,amod> asian,1,0.005,2,267,Hymenoptera__order,adaptation_topic
260,amod> black,1,0.001,1,267,Hymenoptera__order,adaptation_topic
