,feat,cluster,pw_entr,feat_n,N,group,relrole
11,amod> asian,0,0.051,1,46,Hymenoptera__order,taxongroup_topic
118,compound> giant,0,0.055,1,46,Hymenoptera__order,taxongroup_topic
333,conj> ...,0,1.106,16,46,Hymenoptera__order,taxongroup_topic
337,conj> beetle,0,0.07,1,46,Hymenoptera__order,taxongroup_topic
342,conj> termite,0,0.041,1,46,Hymenoptera__order,taxongroup_topic
343,conj> wasp,0,0.025,1,46,Hymenoptera__order,taxongroup_topic
344,conj>amod> ...,0,0.043,1,46,Hymenoptera__order,taxongroup_topic
345,conj>amod> european,0,0.078,1,46,Hymenoptera__order,taxongroup_topic
346,conj>amod> other,0,0.127,2,46,Hymenoptera__order,taxongroup_topic
349,conj>cc> and,0,0.151,4,46,Hymenoptera__order,taxongroup_topic
352,conj>compound> ...,0,0.209,3,46,Hymenoptera__order,taxongroup_topic
355,conj>det> ...,0,0.093,1,46,Hymenoptera__order,taxongroup_topic
356,conj>det> some,0,0.078,1,46,Hymenoptera__order,taxongroup_topic
357,conj>nmod> ...,0,0.063,1,46,Hymenoptera__order,taxongroup_topic
359,conj>nmod>amod> ...,0,0.07,1,46,Hymenoptera__order,taxongroup_topic
360,conj>nmod>case> ...,0,0.093,1,46,Hymenoptera__order,taxongroup_topic
362,conj>nmod>det> the,0,0.07,1,46,Hymenoptera__order,taxongroup_topic
371,det> the,0,0.005,1,46,Hymenoptera__order,taxongroup_topic
608,obj< include,0,0.157,2,46,Hymenoptera__order,taxongroup_topic
628,obj<nsubj> ...,0,0.127,2,46,Hymenoptera__order,taxongroup_topic
629,obj<nsubj>amod> ...,0,0.063,1,46,Hymenoptera__order,taxongroup_topic
630,obj<nsubj>det> ...,0,0.07,1,46,Hymenoptera__order,taxongroup_topic
631,obj<nsubj>nmod> ...,0,0.07,1,46,Hymenoptera__order,taxongroup_topic
683,acl:relcl> ...,1,0.003,3,736,Hymenoptera__order,taxongroup_topic
684,acl:relcl>advmod> ...,1,0.001,1,736,Hymenoptera__order,taxongroup_topic
686,acl:relcl>nsubj> which,1,0.005,3,736,Hymenoptera__order,taxongroup_topic
687,acl:relcl>obj> ...,1,0.002,2,736,Hymenoptera__order,taxongroup_topic
689,acl:relcl>obj>det> the,1,0.001,1,736,Hymenoptera__order,taxongroup_topic
690,acl> ...,1,0.005,3,736,Hymenoptera__order,taxongroup_topic
691,advmod> ...,1,-0.0,2,736,Hymenoptera__order,taxongroup_topic
692,advmod>advmod> ...,1,0.001,1,736,Hymenoptera__order,taxongroup_topic
693,amod> ...,1,0.015,20,736,Hymenoptera__order,taxongroup_topic
694,amod> asian,1,0.003,3,736,Hymenoptera__order,taxongroup_topic
695,amod> australian,1,0.006,3,736,Hymenoptera__order,taxongroup_topic
