	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Hymenoptera__order	1988
1	adaptation_comment	adaptation_topic	0.4025474076623502	Hymenoptera__order	1988
2	adaptation_comment	free_topic	0.407760629088347	Hymenoptera__order	1988
3	adaptation_comment	location_comment	0.6427820186648775	Hymenoptera__order	1988
4	adaptation_comment	location_topic	0.5581937003264776	Hymenoptera__order	1988
5	adaptation_comment	taxongroup_comment	0.4230684774829404	Hymenoptera__order	1988
6	adaptation_comment	taxongroup_topic	0.47000207271245475	Hymenoptera__order	1988
7	adaptation_topic	adaptation_comment	0.4025474076623502	Hymenoptera__order	1988
8	adaptation_topic	adaptation_topic	0.0	Hymenoptera__order	1988
9	adaptation_topic	free_topic	0.3241331609058382	Hymenoptera__order	1988
10	adaptation_topic	location_comment	0.6182894264801269	Hymenoptera__order	1988
11	adaptation_topic	location_topic	0.46629491792233557	Hymenoptera__order	1988
12	adaptation_topic	taxongroup_comment	0.37721158786508585	Hymenoptera__order	1988
13	adaptation_topic	taxongroup_topic	0.34565973820309037	Hymenoptera__order	1988
14	free_topic	adaptation_comment	0.407760629088347	Hymenoptera__order	1988
15	free_topic	adaptation_topic	0.3241331609058382	Hymenoptera__order	1988
16	free_topic	free_topic	0.0	Hymenoptera__order	1988
17	free_topic	location_comment	0.5613071851665378	Hymenoptera__order	1988
18	free_topic	location_topic	0.4768841220587783	Hymenoptera__order	1988
19	free_topic	taxongroup_comment	0.21273054749426346	Hymenoptera__order	1988
20	free_topic	taxongroup_topic	0.21409580569997994	Hymenoptera__order	1988
21	location_comment	adaptation_comment	0.6427820186648775	Hymenoptera__order	1988
22	location_comment	adaptation_topic	0.6182894264801269	Hymenoptera__order	1988
23	location_comment	free_topic	0.5613071851665378	Hymenoptera__order	1988
24	location_comment	location_comment	0.0	Hymenoptera__order	1988
25	location_comment	location_topic	0.5894854764687067	Hymenoptera__order	1988
26	location_comment	taxongroup_comment	0.6084225084799372	Hymenoptera__order	1988
27	location_comment	taxongroup_topic	0.6113693164351266	Hymenoptera__order	1988
28	location_topic	adaptation_comment	0.5581937003264776	Hymenoptera__order	1988
29	location_topic	adaptation_topic	0.46629491792233557	Hymenoptera__order	1988
30	location_topic	free_topic	0.4768841220587783	Hymenoptera__order	1988
31	location_topic	location_comment	0.5894854764687067	Hymenoptera__order	1988
32	location_topic	location_topic	0.0	Hymenoptera__order	1988
33	location_topic	taxongroup_comment	0.5174959044903409	Hymenoptera__order	1988
34	location_topic	taxongroup_topic	0.5260554553084742	Hymenoptera__order	1988
35	taxongroup_comment	adaptation_comment	0.4230684774829404	Hymenoptera__order	1988
36	taxongroup_comment	adaptation_topic	0.37721158786508585	Hymenoptera__order	1988
37	taxongroup_comment	free_topic	0.21273054749426346	Hymenoptera__order	1988
38	taxongroup_comment	location_comment	0.6084225084799372	Hymenoptera__order	1988
39	taxongroup_comment	location_topic	0.5174959044903409	Hymenoptera__order	1988
40	taxongroup_comment	taxongroup_comment	0.0	Hymenoptera__order	1988
41	taxongroup_comment	taxongroup_topic	0.22156212654244178	Hymenoptera__order	1988
42	taxongroup_topic	adaptation_comment	0.47000207271245475	Hymenoptera__order	1988
43	taxongroup_topic	adaptation_topic	0.34565973820309037	Hymenoptera__order	1988
44	taxongroup_topic	free_topic	0.21409580569997994	Hymenoptera__order	1988
45	taxongroup_topic	location_comment	0.6113693164351266	Hymenoptera__order	1988
46	taxongroup_topic	location_topic	0.5260554553084742	Hymenoptera__order	1988
47	taxongroup_topic	taxongroup_comment	0.22156212654244178	Hymenoptera__order	1988
48	taxongroup_topic	taxongroup_topic	0.0	Hymenoptera__order	1988
