token	relrole	arcpath	lemma	upos	widx	token
Arm-33e3_180_Social-1	adaptation_comment	amod<	insects	NOUN	2	Arm-33e3_180_Social-1
Att-e7de_12_polymorphism-8	adaptation_comment	nmod<obj<nsubj>	spp.	NOUN	2	Att-e7de_12_polymorphism-8
Att-e7de_12_polymorphism-8	adaptation_comment	nmod<obj<	exhibit	VERB	3	Att-e7de_12_polymorphism-8
Att-e7de_12_polymorphism-8	adaptation_comment	nmod<det>	a	DET	4	Att-e7de_12_polymorphism-8
Att-e7de_12_polymorphism-8	adaptation_comment	nmod<amod>	high	ADJ	5	Att-e7de_12_polymorphism-8
Att-e7de_12_polymorphism-8	adaptation_comment	nmod<	degree	NOUN	6	Att-e7de_12_polymorphism-8
Att-e7de_12_polymorphism-8	adaptation_comment	case>	of	ADP	7	Att-e7de_12_polymorphism-8
Att-e7de_12_polymorphism-8	adaptation_comment	nmod<obj<advcl>	present	ADJ	14	Att-e7de_12_polymorphism-8
Att-e7de_12_polymorphism-8	adaptation_comment	nmod<obj<appos>	minim	NOUN	19	Att-e7de_12_polymorphism-8
Lea-7e84_28_polymorphism-10	adaptation_comment	nmod<obj<nsubj>	Acromyrmex	SYM	1	Lea-7e84_28_polymorphism-10
Lea-7e84_28_polymorphism-10	adaptation_comment	nmod<obj<	exhibit	VERB	4	Lea-7e84_28_polymorphism-10
Lea-7e84_28_polymorphism-10	adaptation_comment	nmod<det>	a	DET	5	Lea-7e84_28_polymorphism-10
Lea-7e84_28_polymorphism-10	adaptation_comment	nmod<amod>	high	ADJ	6	Lea-7e84_28_polymorphism-10
Lea-7e84_28_polymorphism-10	adaptation_comment	nmod<	degree	NOUN	7	Lea-7e84_28_polymorphism-10
Lea-7e84_28_polymorphism-10	adaptation_comment	case>	of	ADP	8	Lea-7e84_28_polymorphism-10
Lea-7e84_28_polymorphism-10	adaptation_comment	amod>	biological	ADJ	9	Lea-7e84_28_polymorphism-10
Lea-7e84_28_polymorphism-10	adaptation_comment	nmod<obj<advcl>	present	ADJ	15	Lea-7e84_28_polymorphism-10
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<det>	the	DET	1	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<amod>	high	ADJ	2	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<	degree	NOUN	3	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	case>	of	ADP	4	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<nmod>case>	in	ADP	6	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<nmod>det>	this	DET	7	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<nmod>	genus	NOUN	8	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<nsubj<cop>	be	AUX	9	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<nsubj<advmod>	also	ADV	10	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<nsubj<	suggestive	ADJ	11	Att-e7de_14_polymorphism-5
Att-e7de_14_polymorphism-5	adaptation_comment	nmod<nsubj<obl>	degree	NOUN	15	Att-e7de_14_polymorphism-5
Bla-af14_61_eusocial-37	adaptation_comment	amod<nmod<appos<	queens	NOUN	24	Bla-af14_61_eusocial-37
Bla-af14_61_eusocial-37	adaptation_comment	amod<nmod<det>	the	DET	31	Bla-af14_61_eusocial-37
Bla-af14_61_eusocial-37	adaptation_comment	amod<nmod<amod>	record	VERB	33	Bla-af14_61_eusocial-37
Bla-af14_61_eusocial-37	adaptation_comment	amod<nmod<	lifespan	NOUN	34	Bla-af14_61_eusocial-37
Bla-af14_61_eusocial-37	adaptation_comment	amod<case>	for	ADP	35	Bla-af14_61_eusocial-37
Bla-af14_61_eusocial-37	adaptation_comment	amod<det>	any	DET	36	Bla-af14_61_eusocial-37
Bla-af14_61_eusocial-37	adaptation_comment	amod<	insect	NOUN	38	Bla-af14_61_eusocial-37
Bla-af14_6_eusocial-18	adaptation_comment	amod<nmod<obj<	live	VERB	6	Bla-af14_6_eusocial-18
Bla-af14_6_eusocial-18	adaptation_comment	amod<nmod<det>	the	DET	12	Bla-af14_6_eusocial-18
Bla-af14_6_eusocial-18	adaptation_comment	amod<nmod<amod>	record	VERB	14	Bla-af14_6_eusocial-18
Bla-af14_6_eusocial-18	adaptation_comment	amod<nmod<	lifespan	NOUN	15	Bla-af14_6_eusocial-18
Bla-af14_6_eusocial-18	adaptation_comment	amod<case>	for	ADP	16	Bla-af14_6_eusocial-18
