feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod> Australia,0.978,0.0,0.577,0.134,2,Insect__class,taxongroup_topic
conj<conj> snail,0.973,0.0,0.577,0.134,5,Insect__class,taxongroup_topic
nmod>case> include,0.97,0.0,0.756,0.03,2,Insect__class,taxongroup_topic
case> include,0.96,0.0,0.932,0.001,7,Insect__class,taxongroup_topic
obj<obj> dng,0.957,0.0,0.577,0.134,2,Insect__class,taxongroup_topic
conj<conj> beetle,0.953,0.0,0.764,0.027,15,Insect__class,taxongroup_topic
nmod>case> with,0.946,0.0,0.764,0.027,6,Insect__class,taxongroup_topic
nmod> ...,0.931,0.001,0.472,0.237,23,Insect__class,taxongroup_topic
nmod>case> of,0.929,0.001,0.764,0.027,3,Insect__class,taxongroup_topic
nmod>amod> ...,0.926,0.001,0.655,0.078,8,Insect__class,taxongroup_topic
nmod>nmod>case> such,0.91,0.002,0.756,0.03,2,Insect__class,taxongroup_topic
nsubj:pass<conj>cc> and,0.909,0.002,0.655,0.078,6,Insect__class,taxongroup_topic
case> like,0.908,0.002,0.873,0.005,6,Insect__class,taxongroup_topic
case> in,0.905,0.002,0.873,0.005,12,Insect__class,taxongroup_topic
nsubj<det> a,0.902,0.002,0.549,0.159,15,Insect__class,taxongroup_topic
nsubj<obl>case> with,0.901,0.002,0.764,0.027,3,Insect__class,taxongroup_topic
conj<conj> spider,0.898,0.002,0.655,0.078,9,Insect__class,taxongroup_topic
conj<case> include,0.895,0.003,0.674,0.067,7,Insect__class,taxongroup_topic
nsubj:pass<conj>cc> ...,0.894,0.003,0.577,0.134,1,Insect__class,taxongroup_topic
case> for,0.894,0.003,0.866,0.005,10,Insect__class,taxongroup_topic
conj<nsubj> ...,0.888,0.003,0.702,0.052,9,Insect__class,taxongroup_topic
nmod>nmod>case> of,0.887,0.003,0.577,0.134,2,Insect__class,taxongroup_topic
nsubj<nmod>amod> ...,0.885,0.003,0.577,0.134,9,Insect__class,taxongroup_topic
case> of,0.88,0.004,0.873,0.005,49,Insect__class,taxongroup_topic
conj<nmod<conj> ...,0.879,0.004,0.764,0.027,3,Insect__class,taxongroup_topic
obj<obj> beetle,0.879,0.004,0.577,0.134,2,Insect__class,taxongroup_topic
nmod>compound>compound> ...,0.877,0.004,0.577,0.134,3,Insect__class,taxongroup_topic
nsubj<nmod>case> of,0.876,0.004,0.779,0.023,16,Insect__class,taxongroup_topic
nmod>case> ...,0.875,0.004,0.619,0.102,5,Insect__class,taxongroup_topic
conj<nmod<amod> Aquatic,0.873,0.005,0.577,0.134,2,Insect__class,taxongroup_topic
conj<nsubj<parataxis> ...,-0.872,0.005,-0.577,0.134,3,Insect__class,taxongroup_topic
conj< ant,0.868,0.005,0.846,0.008,13,Insect__class,taxongroup_topic
conj< ...,0.866,0.005,0.732,0.039,69,Insect__class,taxongroup_topic
conj<nsubj> insects,0.866,0.005,0.756,0.03,2,Insect__class,taxongroup_topic
nsubj<advmod> back,0.862,0.006,0.577,0.134,2,Insect__class,taxongroup_topic
cc> or,0.862,0.006,0.627,0.096,8,Insect__class,taxongroup_topic
nsubj<conj>amod> ...,0.861,0.006,0.756,0.03,4,Insect__class,taxongroup_topic
nsubj<det> the,0.852,0.007,0.289,0.488,7,Insect__class,taxongroup_topic
conj>advmod> also,0.851,0.007,0.756,0.03,2,Insect__class,taxongroup_topic
nmod<obl< ...,0.849,0.008,0.791,0.019,16,Insect__class,taxongroup_topic
conj<conj>conj> ...,-0.843,0.009,-0.577,0.134,3,Insect__class,taxongroup_topic
conj<conj> fly,0.84,0.009,0.764,0.027,7,Insect__class,taxongroup_topic
