,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
3,Des-78ef_244_desert-4,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,5,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
3,Des-78ef_258_desert-4,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,5,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
4,Ani-ab87_79_desert-6,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,7,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_159_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
5,Des-78ef_194_desert-18,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,19,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_199_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_168_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_19_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_1_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_152_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
6,Des-78ef_61_desert-29,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,30,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_206_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_212_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
5,Des-78ef_214_desert-6,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,7,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_121_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_150_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
2,Des-78ef_151_desert-9,desert,Deserts_and_xeric_shrublands#habitat,compound<compound<amod>,major,ADJ,8,compound<compound<amod> major,-0.19448770718467304,0.028273070596589144,Insect__class,location_comment,0,44
3,Des-78ef_151_desert-9,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,10,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
4,Des-78ef_151_desert-9,desert,Deserts_and_xeric_shrublands#habitat,compound<compound<,plague,NOUN,11,compound<compound< plague,0.024689731409814834,-0.0667843869741993,Insect__class,location_comment,0,44
0,Des-78ef_156_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
2,Des-78ef_169_desert-8,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,9,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
3,Des-78ef_169_desert-8,desert,Deserts_and_xeric_shrublands#habitat,compound<compound<,upsurge,NOUN,10,compound<compound< upsurge,0.2240675877538355,0.021557399709856706,Insect__class,location_comment,0,44
1,Des-78ef_11_desert-2,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,3,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
1,Des-78ef_5_desert-2,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,3,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_334_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_52_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
1,Des94f5_4_desert-2,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,3,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_81_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_87_desert-7,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,8,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
1,Des-78ef_87_desert-7,desert,Deserts_and_xeric_shrublands#habitat,compound<compound<,plague,NOUN,9,compound<compound< plague,0.024689731409814834,-0.0667843869741993,Insect__class,location_comment,0,44
0,Des-78ef_90_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
5,Des-78ef_94_desert-14,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,15,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_30_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
1,Des-78ef_2_desert-2,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,3,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_215_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_219_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
5,Des-78ef_281_desert-6,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,7,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_231_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
4,Des-78ef_249_desert-5,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,6,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
3,Des-78ef_253_desert-4,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,5,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_223_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
0,Des-78ef_230_Desert-1,Desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,2,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
1,Des-78ef_116_desert-2,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,3,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
5,Swa-27b4_247_desert-15,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,16,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
5,Des-78ef_283_desert-6,desert,Deserts_and_xeric_shrublands#habitat,compound<,locust,NOUN,7,compound< locust,0.2372540947864613,0.05798070467759142,Insect__class,location_comment,0,44
