,feat,cluster,pw_entr,feat_n,N,group,relrole
0,amod> ...,0,0.031,3,66,Insect__class,location_topic
17,case> of,0,0.064,4,66,Insect__class,location_topic
18,case> such,0,0.015,1,66,Insect__class,location_topic
19,case>fixed> as,0,0.015,1,66,Insect__class,location_topic
20,compound< ...,0,0.021,2,66,Insect__class,location_topic
21,compound< plague,0,0.015,1,66,Insect__class,location_topic
26,compound<appos> ...,0,0.029,2,66,Insect__class,location_topic
27,compound<appos>nummod> ...,0,0.015,1,66,Insect__class,location_topic
29,compound<case> of,0,0.021,1,66,Insect__class,location_topic
30,compound<conj> ...,0,0.071,3,66,Insect__class,location_topic
31,compound<conj>cc> and,0,0.094,3,66,Insect__class,location_topic
33,compound<det> the,0,0.035,2,66,Insect__class,location_topic
34,compound<nmod< ...,0,0.015,1,66,Insect__class,location_topic
35,compound<nmod> ...,0,0.015,1,66,Insect__class,location_topic
36,compound<nmod>case> ...,0,0.031,1,66,Insect__class,location_topic
38,compound<nsubj< ...,0,0.01,1,66,Insect__class,location_topic
39,compound<nsubj< be,0,0.021,1,66,Insect__class,location_topic
41,compound<nsubj<obl> ...,0,0.007,1,66,Insect__class,location_topic
42,compound<nummod> ...,0,0.035,2,66,Insect__class,location_topic
46,compound> desert,0,-0.031,4,66,Insect__class,location_topic
47,compound> diving,0,0.021,1,66,Insect__class,location_topic
48,compound> highland,0,0.021,1,66,Insect__class,location_topic
49,compound> spot,0,0.015,1,66,Insect__class,location_topic
69,det> the,0,-0.019,1,66,Insect__class,location_topic
70,nmod< ...,0,0.044,3,66,Insect__class,location_topic
72,nmod< description,0,0.021,1,66,Insect__class,location_topic
73,nmod< insect,0,0.015,1,66,Insect__class,location_topic
74,nmod<amod> ...,0,0.091,4,66,Insect__class,location_topic
76,nmod<amod> first,0,0.021,1,66,Insect__class,location_topic
77,nmod<amod> scientific,0,0.021,1,66,Insect__class,location_topic
78,nmod<case> ...,0,0.042,2,66,Insect__class,location_topic
79,nmod<conj> ...,0,0.004,1,66,Insect__class,location_topic
80,nmod<conj>cc> and,0,0.01,1,66,Insect__class,location_topic
81,nmod<det> ...,0,0.031,1,66,Insect__class,location_topic
82,nmod<det> the,0,0.05,2,66,Insect__class,location_topic
83,nmod<nmod> ...,0,-0.0,1,66,Insect__class,location_topic
84,nmod<nmod>case> ...,0,0.007,1,66,Insect__class,location_topic
87,nmod<nmod>det> the,0,0.015,1,66,Insect__class,location_topic
88,nmod<obj< ...,0,0.015,1,66,Insect__class,location_topic
89,nmod<obj< publish,0,0.021,1,66,Insect__class,location_topic
91,nmod<obj<nsubj> Mose,0,0.021,1,66,Insect__class,location_topic
93,nmod<obj<obl> 1780,0,0.021,1,66,Insect__class,location_topic
94,nmod<obl< ...,0,0.015,1,66,Insect__class,location_topic
120,amod> ...,1,-0.008,1,102,Insect__class,location_topic
129,appos> ...,1,0.134,10,102,Insect__class,location_topic
140,compound< ...,1,0.079,6,102,Insect__class,location_topic
141,compound< plague,1,0.005,1,102,Insect__class,location_topic
142,compound< species,1,0.032,2,102,Insect__class,location_topic
143,compound< upsurge,1,0.048,3,102,Insect__class,location_topic
144,compound<amod> ...,1,0.048,3,102,Insect__class,location_topic
145,compound<amod> major,1,0.032,2,102,Insect__class,location_topic
146,compound<appos> ...,1,0.048,4,102,Insect__class,location_topic
147,compound<appos>nummod> ...,1,0.024,2,102,Insect__class,location_topic
148,compound<case> ...,1,0.032,2,102,Insect__class,location_topic
149,compound<case> of,1,0.009,1,102,Insect__class,location_topic
150,compound<conj> ...,1,0.014,2,102,Insect__class,location_topic
152,compound<det> ...,1,0.032,2,102,Insect__class,location_topic
153,compound<det> the,1,0.033,3,102,Insect__class,location_topic
154,compound<nmod< ...,1,0.024,2,102,Insect__class,location_topic
155,compound<nmod> ...,1,0.024,2,102,Insect__class,location_topic
157,compound<nmod>case> in,1,0.032,2,102,Insect__class,location_topic
158,compound<nsubj< ...,1,0.018,2,102,Insect__class,location_topic
159,compound<nsubj< be,1,0.009,1,102,Insect__class,location_topic
160,compound<nsubj<conj> ...,1,-0.003,1,102,Insect__class,location_topic
161,compound<nsubj<obl> ...,1,0.033,3,102,Insect__class,location_topic
162,compound<nummod> ...,1,0.033,3,102,Insect__class,location_topic
163,compound> ...,1,0.002,1,102,Insect__class,location_topic
164,compound> Aeshna,1,0.048,3,102,Insect__class,location_topic
166,compound> desert,1,0.293,29,102,Insect__class,location_topic
168,compound> highland,1,0.009,1,102,Insect__class,location_topic
189,det> the,1,-0.016,1,102,Insect__class,location_topic
215,nsubj< ...,1,-0.007,1,102,Insect__class,location_topic
221,nsubj<cop> be,1,-0.002,1,102,Insect__class,location_topic
232,obj< ...,1,0.018,2,102,Insect__class,location_topic
233,obj<mark> ...,1,0.024,2,102,Insect__class,location_topic
238,parataxis> ...,1,0.009,1,102,Insect__class,location_topic
240,amod> ...,2,-0.008,1,124,Insect__class,location_topic
241,appos< ...,2,0.012,1,124,Insect__class,location_topic
243,appos<appos> ...,2,0.003,1,124,Insect__class,location_topic
245,appos<appos>conj> Culicoides,2,0.035,3,124,Insect__class,location_topic
246,appos<nmod>conj> ...,2,0.035,3,124,Insect__class,location_topic
249,appos> ...,2,-0.007,2,124,Insect__class,location_topic
250,appos> Schistocerca,2,-0.001,1,124,Insect__class,location_topic
251,appos>flat> gregaria,2,0.005,2,124,Insect__class,location_topic
252,case> 's,2,0.006,1,124,Insect__class,location_topic
253,case> ...,2,-0.001,1,124,Insect__class,location_topic
255,case> in,2,0.003,1,124,Insect__class,location_topic
283,compound> ...,2,0.012,2,124,Insect__class,location_topic
285,compound> Norfolk,2,0.006,1,124,Insect__class,location_topic
286,compound> desert,2,-0.024,9,124,Insect__class,location_topic
289,compound> spot,2,0.003,1,124,Insect__class,location_topic
304,conj> ...,2,-0.001,2,124,Insect__class,location_topic
306,conj>cc> and,2,0.008,2,124,Insect__class,location_topic
307,cop> be,2,0.028,3,124,Insect__class,location_topic
308,det> ...,2,0.006,1,124,Insect__class,location_topic
309,det> the,2,0.061,12,124,Insect__class,location_topic
311,nmod< behavior,2,0.003,1,124,Insect__class,location_topic
315,nmod<amod> Innate,2,0.006,1,124,Insect__class,location_topic
319,nmod<conj> ...,2,-0.003,1,124,Insect__class,location_topic
335,nsubj< ...,2,0.097,9,124,Insect__class,location_topic
336,nsubj<advmod> ...,2,0.035,3,124,Insect__class,location_topic
337,nsubj<appos>amod> ...,2,0.035,3,124,Insect__class,location_topic
338,nsubj<conj> ...,2,0.093,8,124,Insect__class,location_topic
339,nsubj<conj>cc> and,2,0.058,5,124,Insect__class,location_topic
