	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Insect__class	2265
1	adaptation_comment	adaptation_topic	0.4435302313722822	Insect__class	2265
2	adaptation_comment	free_topic	0.4012799561683127	Insect__class	2265
3	adaptation_comment	location_comment	0.5950210091447371	Insect__class	2265
4	adaptation_comment	location_topic	0.5213829400250192	Insect__class	2265
5	adaptation_comment	taxongroup_comment	0.3420800672507292	Insect__class	2265
6	adaptation_comment	taxongroup_topic	0.4120562606424007	Insect__class	2265
7	adaptation_topic	adaptation_comment	0.4435302313722822	Insect__class	2265
8	adaptation_topic	adaptation_topic	0.0	Insect__class	2265
9	adaptation_topic	free_topic	0.367761330238034	Insect__class	2265
10	adaptation_topic	location_comment	0.5595702678990515	Insect__class	2265
11	adaptation_topic	location_topic	0.398073230436776	Insect__class	2265
12	adaptation_topic	taxongroup_comment	0.41221634715700173	Insect__class	2265
13	adaptation_topic	taxongroup_topic	0.36345159552665585	Insect__class	2265
14	free_topic	adaptation_comment	0.4012799561683127	Insect__class	2265
15	free_topic	adaptation_topic	0.367761330238034	Insect__class	2265
16	free_topic	free_topic	0.0	Insect__class	2265
17	free_topic	location_comment	0.5171416199845003	Insect__class	2265
18	free_topic	location_topic	0.39594110704130736	Insect__class	2265
19	free_topic	taxongroup_comment	0.18244726295114455	Insect__class	2265
20	free_topic	taxongroup_topic	0.16523165636768933	Insect__class	2265
21	location_comment	adaptation_comment	0.5950210091447371	Insect__class	2265
22	location_comment	adaptation_topic	0.5595702678990515	Insect__class	2265
23	location_comment	free_topic	0.5171416199845003	Insect__class	2265
24	location_comment	location_comment	0.0	Insect__class	2265
25	location_comment	location_topic	0.5532234683513497	Insect__class	2265
26	location_comment	taxongroup_comment	0.5379413018432754	Insect__class	2265
27	location_comment	taxongroup_topic	0.5278294115359236	Insect__class	2265
28	location_topic	adaptation_comment	0.5213829400250192	Insect__class	2265
29	location_topic	adaptation_topic	0.398073230436776	Insect__class	2265
30	location_topic	free_topic	0.39594110704130736	Insect__class	2265
31	location_topic	location_comment	0.5532234683513497	Insect__class	2265
32	location_topic	location_topic	0.0	Insect__class	2265
33	location_topic	taxongroup_comment	0.4832180992811939	Insect__class	2265
34	location_topic	taxongroup_topic	0.4629298271789626	Insect__class	2265
35	taxongroup_comment	adaptation_comment	0.3420800672507292	Insect__class	2265
36	taxongroup_comment	adaptation_topic	0.41221634715700173	Insect__class	2265
37	taxongroup_comment	free_topic	0.18244726295114455	Insect__class	2265
38	taxongroup_comment	location_comment	0.5379413018432754	Insect__class	2265
39	taxongroup_comment	location_topic	0.4832180992811939	Insect__class	2265
40	taxongroup_comment	taxongroup_comment	0.0	Insect__class	2265
41	taxongroup_comment	taxongroup_topic	0.16197619047058803	Insect__class	2265
42	taxongroup_topic	adaptation_comment	0.4120562606424007	Insect__class	2265
43	taxongroup_topic	adaptation_topic	0.36345159552665585	Insect__class	2265
44	taxongroup_topic	free_topic	0.16523165636768933	Insect__class	2265
45	taxongroup_topic	location_comment	0.5278294115359236	Insect__class	2265
46	taxongroup_topic	location_topic	0.4629298271789626	Insect__class	2265
47	taxongroup_topic	taxongroup_comment	0.16197619047058803	Insect__class	2265
48	taxongroup_topic	taxongroup_topic	0.0	Insect__class	2265
