feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound<nmod> ...,-0.923,0.001,-0.577,0.134,3,Lepidoptera__order,adaptation_comment
amod< behaviour,0.836,0.01,0.577,0.134,3,Lepidoptera__order,adaptation_comment
nsubj> ...,0.787,0.021,0.577,0.134,1,Lepidoptera__order,adaptation_comment
nmod< ...,0.771,0.025,0.913,0.002,12,Lepidoptera__order,adaptation_comment
compound<amod> ...,-0.737,0.037,-0.577,0.134,1,Lepidoptera__order,adaptation_comment
nmod:poss> its,0.735,0.038,0.756,0.03,2,Lepidoptera__order,adaptation_comment
case> for,0.734,0.038,0.73,0.04,6,Lepidoptera__order,adaptation_comment
nmod<obl<mark> ...,-0.726,0.041,-0.655,0.078,3,Lepidoptera__order,adaptation_comment
nmod<amod> ...,0.724,0.042,0.627,0.096,6,Lepidoptera__order,adaptation_comment
obj< ...,-0.721,0.043,-0.183,0.665,9,Lepidoptera__order,adaptation_comment
nsubj:pass<obl>amod> ...,0.702,0.052,0.546,0.162,3,Lepidoptera__order,adaptation_comment
nmod<det> a,0.7,0.053,0.764,0.027,3,Lepidoptera__order,adaptation_comment
amod<obj< eat,-0.699,0.054,-0.577,0.134,3,Lepidoptera__order,adaptation_comment
amod<obj<acl:relcl< predator,-0.645,0.084,-0.577,0.134,3,Lepidoptera__order,adaptation_comment
nmod< form,0.637,0.089,0.756,0.03,2,Lepidoptera__order,adaptation_comment
case> during,0.636,0.09,0.756,0.03,2,Lepidoptera__order,adaptation_comment
nsubj:pass<obl> ...,0.633,0.092,0.481,0.227,4,Lepidoptera__order,adaptation_comment
obj< use,-0.599,0.116,-0.504,0.203,2,Lepidoptera__order,adaptation_comment
case> in,0.598,0.118,0.77,0.025,5,Lepidoptera__order,adaptation_comment
nmod> ...,0.595,0.12,0.546,0.162,4,Lepidoptera__order,adaptation_comment
case> ...,0.582,0.13,0.664,0.073,9,Lepidoptera__order,adaptation_comment
case> of,0.578,0.133,0.655,0.078,4,Lepidoptera__order,adaptation_comment
nmod<det> the,0.571,0.139,0.655,0.078,4,Lepidoptera__order,adaptation_comment
nsubj<advmod> typically,0.568,0.142,0.577,0.134,2,Lepidoptera__order,adaptation_comment
compound<nmod:poss> lady,0.561,0.148,0.577,0.134,2,Lepidoptera__order,adaptation_comment
cop> be,0.554,0.154,0.784,0.021,5,Lepidoptera__order,adaptation_comment
appos< ...,-0.547,0.16,-0.577,0.134,3,Lepidoptera__order,adaptation_comment
nsubj> species,0.538,0.169,0.504,0.203,2,Lepidoptera__order,adaptation_comment
obl<nsubj> ...,0.532,0.174,0.678,0.065,7,Lepidoptera__order,adaptation_comment
obl<obj> ...,0.528,0.178,0.394,0.334,3,Lepidoptera__order,adaptation_comment
obl<obl> ...,0.527,0.18,0.546,0.162,3,Lepidoptera__order,adaptation_comment
appos>compound> ...,0.526,0.18,0.592,0.122,3,Lepidoptera__order,adaptation_comment
obl<cop> be,0.524,0.182,0.655,0.078,3,Lepidoptera__order,adaptation_comment
amod> acoustic,0.518,0.189,0.577,0.134,2,Lepidoptera__order,adaptation_comment
nmod<obl<nsubj> ...,0.509,0.197,0.577,0.134,1,Lepidoptera__order,adaptation_comment
nmod<case> on,0.503,0.204,0.504,0.203,2,Lepidoptera__order,adaptation_comment
nsubj<advmod> ...,0.494,0.214,0.412,0.31,1,Lepidoptera__order,adaptation_comment
nmod<det> ...,0.49,0.217,0.577,0.134,1,Lepidoptera__order,adaptation_comment
det> this,-0.486,0.222,-0.378,0.356,2,Lepidoptera__order,adaptation_comment
det> a,0.485,0.224,0.639,0.088,5,Lepidoptera__order,adaptation_comment
obl<obl> year,0.484,0.225,0.504,0.203,2,Lepidoptera__order,adaptation_comment
nmod>case> from,0.481,0.228,0.577,0.134,2,Lepidoptera__order,adaptation_comment
nmod>det> the,0.472,0.238,0.412,0.31,5,Lepidoptera__order,adaptation_comment
obl<nsubj>det> ...,0.472,0.238,0.577,0.134,3,Lepidoptera__order,adaptation_comment
obl<obl>case> ...,0.47,0.24,0.546,0.162,5,Lepidoptera__order,adaptation_comment
case> from,0.469,0.241,0.577,0.134,2,Lepidoptera__order,adaptation_comment
nmod<case> ...,0.463,0.247,0.577,0.134,4,Lepidoptera__order,adaptation_comment
obj<advcl>mark> ...,0.463,0.248,0.218,0.604,4,Lepidoptera__order,adaptation_comment
nmod> butterfly,0.457,0.255,0.378,0.356,2,Lepidoptera__order,adaptation_comment
compound> enter,0.456,0.256,0.504,0.203,2,Lepidoptera__order,adaptation_comment
obj<nsubj> ...,-0.431,0.286,-0.382,0.351,6,Lepidoptera__order,adaptation_comment
conj> ...,0.424,0.295,0.196,0.642,6,Lepidoptera__order,adaptation_comment
compound>compound> ...,0.423,0.296,0.247,0.555,3,Lepidoptera__order,adaptation_comment
nsubj:pass< see,0.42,0.301,0.504,0.203,2,Lepidoptera__order,adaptation_comment
compound> batch,0.419,0.301,0.504,0.203,2,Lepidoptera__order,adaptation_comment
nmod>case> ...,0.414,0.308,0.55,0.158,4,Lepidoptera__order,adaptation_comment
obl>conj> ...,0.413,0.309,0.412,0.31,4,Lepidoptera__order,adaptation_comment
amod< butterfly,0.413,0.309,0.412,0.31,2,Lepidoptera__order,adaptation_comment
acl>obl>case> ...,0.41,0.312,0.483,0.225,4,Lepidoptera__order,adaptation_comment
nmod:poss> ...,0.408,0.315,0.412,0.31,1,Lepidoptera__order,adaptation_comment
