feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
appos<appos> butterfly,0.907,0.002,0.577,0.134,2,Lepidoptera__order,adaptation_topic
appos<appos> white,0.895,0.003,0.577,0.134,2,Lepidoptera__order,adaptation_topic
conj<conj> ...,0.886,0.003,0.577,0.134,3,Lepidoptera__order,adaptation_topic
obj<nsubj> ...,0.861,0.006,0.764,0.027,3,Lepidoptera__order,adaptation_topic
nmod< ...,0.814,0.014,0.764,0.027,8,Lepidoptera__order,adaptation_topic
appos<appos> erroneously,0.789,0.02,0.577,0.134,2,Lepidoptera__order,adaptation_topic
conj>cc> and,0.783,0.021,0.845,0.008,3,Lepidoptera__order,adaptation_topic
appos>appos> ...,-0.775,0.024,-0.577,0.134,5,Lepidoptera__order,adaptation_topic
nsubj<nmod> Nymphalidae,-0.775,0.024,-0.756,0.03,2,Lepidoptera__order,adaptation_topic
nsubj<advmod> ...,0.771,0.025,0.784,0.021,5,Lepidoptera__order,adaptation_topic
appos> Reproduction,0.769,0.026,0.577,0.134,2,Lepidoptera__order,adaptation_topic
nmod<amod> ...,0.765,0.027,0.655,0.078,4,Lepidoptera__order,adaptation_topic
nsubj<advcl> ...,0.764,0.027,0.674,0.067,7,Lepidoptera__order,adaptation_topic
conj< ...,0.762,0.028,0.617,0.103,6,Lepidoptera__order,adaptation_topic
nmod>case> in,0.743,0.035,0.756,0.03,4,Lepidoptera__order,adaptation_topic
nmod<nmod< ...,0.74,0.036,0.655,0.078,3,Lepidoptera__order,adaptation_topic
nsubj< have,-0.726,0.042,-0.62,0.101,3,Lepidoptera__order,adaptation_topic
nsubj<obj>amod> ...,0.723,0.043,0.845,0.008,3,Lepidoptera__order,adaptation_topic
appos>compound> ...,0.722,0.043,0.733,0.039,3,Lepidoptera__order,adaptation_topic
conj> ...,0.721,0.044,0.702,0.052,11,Lepidoptera__order,adaptation_topic
nsubj<det> a,0.715,0.046,0.733,0.039,3,Lepidoptera__order,adaptation_topic
appos<det> the,0.709,0.049,0.756,0.03,2,Lepidoptera__order,adaptation_topic
nmod<case> ...,0.709,0.049,0.577,0.134,2,Lepidoptera__order,adaptation_topic
nmod:poss<compound> ...,0.696,0.055,0.577,0.134,1,Lepidoptera__order,adaptation_topic
appos<appos>compound> ...,-0.677,0.065,-0.577,0.134,1,Lepidoptera__order,adaptation_topic
nsubj<conj>cc> and,0.676,0.066,0.866,0.005,4,Lepidoptera__order,adaptation_topic
