feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
appos<appos> white,0.904,0.002,0.577,0.134,4,Lepidoptera__order,location_topic
conj>cc> and,0.888,0.003,0.845,0.008,3,Lepidoptera__order,location_topic
appos<conj>case> in,0.871,0.005,0.577,0.134,3,Lepidoptera__order,location_topic
appos<appos> butterfly,0.858,0.006,0.577,0.134,2,Lepidoptera__order,location_topic
appos<amod> painted,0.843,0.009,0.756,0.03,2,Lepidoptera__order,location_topic
appos<amod> ...,0.818,0.013,0.577,0.134,2,Lepidoptera__order,location_topic
nmod< ...,0.815,0.014,0.655,0.078,8,Lepidoptera__order,location_topic
conj< ...,0.811,0.015,0.756,0.03,2,Lepidoptera__order,location_topic
appos>compound> V.,0.804,0.016,0.655,0.078,3,Lepidoptera__order,location_topic
appos<appos> erroneously,0.804,0.016,0.577,0.134,3,Lepidoptera__order,location_topic
appos<flat> brassica,0.802,0.017,0.577,0.134,3,Lepidoptera__order,location_topic
compound< distribution,0.799,0.017,0.756,0.03,2,Lepidoptera__order,location_topic
appos<nsubj<det> a,0.797,0.018,0.577,0.134,3,Lepidoptera__order,location_topic
conj> ...,0.743,0.035,0.901,0.002,9,Lepidoptera__order,location_topic
nmod<obj< ...,0.737,0.037,0.577,0.134,3,Lepidoptera__order,location_topic
nmod<case> of,0.721,0.044,0.577,0.134,2,Lepidoptera__order,location_topic
compound> cabbage,0.713,0.047,0.577,0.134,2,Lepidoptera__order,location_topic
nmod<case> to,0.701,0.053,0.577,0.134,2,Lepidoptera__order,location_topic
appos<nsubj<nmod> Pierida,-0.695,0.056,-0.577,0.134,3,Lepidoptera__order,location_topic
nsubj> ...,0.692,0.057,0.764,0.027,4,Lepidoptera__order,location_topic
case> of,0.681,0.063,0.764,0.027,8,Lepidoptera__order,location_topic
nmod< rest,0.68,0.063,0.577,0.134,2,Lepidoptera__order,location_topic
nmod<nmod< ...,0.665,0.072,0.577,0.134,3,Lepidoptera__order,location_topic
appos< lady,0.657,0.077,0.756,0.03,2,Lepidoptera__order,location_topic
nmod<det> the,0.656,0.077,0.655,0.078,3,Lepidoptera__order,location_topic
nsubj<obl>case> throughout,0.655,0.078,0.577,0.134,2,Lepidoptera__order,location_topic
amod> ...,0.651,0.08,0.741,0.036,8,Lepidoptera__order,location_topic
appos<appos>det> the,0.642,0.086,0.577,0.134,4,Lepidoptera__order,location_topic
compound<appos> Taxonomy,0.642,0.086,0.577,0.134,5,Lepidoptera__order,location_topic
appos> ...,0.641,0.087,0.551,0.157,8,Lepidoptera__order,location_topic
appos<list>compound> cabbage,0.639,0.088,0.577,0.134,3,Lepidoptera__order,location_topic
det> the,0.622,0.1,0.79,0.02,26,Lepidoptera__order,location_topic
case> to,0.615,0.104,0.577,0.134,2,Lepidoptera__order,location_topic
compound<det> a,-0.606,0.111,-0.504,0.203,2,Lepidoptera__order,location_topic
obl< ...,0.603,0.114,0.655,0.078,3,Lepidoptera__order,location_topic
appos<appos>amod> large,0.594,0.121,0.577,0.134,4,Lepidoptera__order,location_topic
compound<appos> ...,0.587,0.126,0.577,0.134,1,Lepidoptera__order,location_topic
nsubj>appos> ...,0.583,0.129,0.577,0.134,2,Lepidoptera__order,location_topic
appos<nsubj<cop> be,-0.576,0.135,-0.577,0.134,3,Lepidoptera__order,location_topic
nmod<appos>conj> ...,0.571,0.139,0.577,0.134,3,Lepidoptera__order,location_topic
conj>compound> ...,0.566,0.143,0.655,0.078,3,Lepidoptera__order,location_topic
case> ...,0.55,0.158,0.495,0.212,5,Lepidoptera__order,location_topic
nsubj<obl>case> ...,0.544,0.164,0.592,0.122,3,Lepidoptera__order,location_topic
conj< gatekeeper,0.532,0.175,0.504,0.203,2,Lepidoptera__order,location_topic
nmod<compound> ...,-0.513,0.193,-0.577,0.134,3,Lepidoptera__order,location_topic
cc> ...,0.505,0.202,0.577,0.134,1,Lepidoptera__order,location_topic
compound< butterfly,0.503,0.203,0.192,0.648,9,Lepidoptera__order,location_topic
nsubj>appos> white,0.501,0.206,0.577,0.134,2,Lepidoptera__order,location_topic
compound> ...,-0.499,0.208,0.0,1.0,5,Lepidoptera__order,location_topic
appos<list> moth,0.489,0.219,0.577,0.134,3,Lepidoptera__order,location_topic
compound> Vanessa,0.487,0.221,-0.096,0.821,18,Lepidoptera__order,location_topic
appos>compound> ...,-0.486,0.222,-0.577,0.134,1,Lepidoptera__order,location_topic
nsubj<obl>conj> ...,0.476,0.233,0.514,0.192,3,Lepidoptera__order,location_topic
compound> Pieris,0.471,0.238,0.577,0.134,2,Lepidoptera__order,location_topic
