feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
list<list> swallowtail,0.977,0.0,0.577,0.134,4,Lepidoptera__order,taxongroup_comment
list<list> Linnaeus,0.972,0.0,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
list<list> Papilio,0.969,0.0,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
conj<conj> Felder,0.963,0.0,0.577,0.134,3,Lepidoptera__order,taxongroup_comment
compound<list<flat> Matsumura,0.961,0.0,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
list<list> ...,0.96,0.0,0.577,0.134,12,Lepidoptera__order,taxongroup_comment
compound<appos>compound> galathea,-0.958,0.0,-0.577,0.134,2,Lepidoptera__order,taxongroup_comment
conj<conj> Nicéville,0.954,0.0,0.577,0.134,3,Lepidoptera__order,taxongroup_comment
conj<appos> 1865,0.952,0.0,0.577,0.134,3,Lepidoptera__order,taxongroup_comment
compound<appos>compound> Melanargia,-0.951,0.0,-0.577,0.134,2,Lepidoptera__order,taxongroup_comment
compound<list<list> Papilio,0.95,0.0,0.764,0.027,5,Lepidoptera__order,taxongroup_comment
compound<list<flat> Gray,0.948,0.0,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
list<list> Suffert,0.945,0.0,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
list<list> species,0.945,0.0,0.764,0.027,6,Lepidoptera__order,taxongroup_comment
conj<conj> Elwes,0.943,0.0,0.577,0.134,3,Lepidoptera__order,taxongroup_comment
compound<list<flat> Papilio,0.939,0.001,0.577,0.134,7,Lepidoptera__order,taxongroup_comment
compound<list<flat> Felder,0.937,0.001,0.764,0.027,6,Lepidoptera__order,taxongroup_comment
conj<appos> 1779,0.935,0.001,0.577,0.134,3,Lepidoptera__order,taxongroup_comment
compound<list<list> swallowtail,0.928,0.001,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
compound<list<list> 1893,0.928,0.001,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
compound<list<flat> Leech,0.928,0.001,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
compound<list<flat> ...,0.927,0.001,0.577,0.134,12,Lepidoptera__order,taxongroup_comment
list<list> sataspe,0.927,0.001,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
flat<list> 1893,0.927,0.001,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
compound<list<list> ...,0.926,0.001,0.577,0.134,16,Lepidoptera__order,taxongroup_comment
appos<flat> swallowtail,0.926,0.001,0.577,0.134,7,Lepidoptera__order,taxongroup_comment
compound<list<list> 1857,0.924,0.001,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
conj<conj> Helen,0.919,0.001,0.577,0.134,3,Lepidoptera__order,taxongroup_comment
flat<appos> ...,0.918,0.001,0.546,0.162,8,Lepidoptera__order,taxongroup_comment
compound<list<list> Röber,0.917,0.001,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
appos<flat> lormieri,0.916,0.001,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
flat<appos> 1859,0.914,0.001,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
flat<list> Doubleday,0.912,0.002,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
flat<appos> swallowtail,0.912,0.002,0.577,0.134,5,Lepidoptera__order,taxongroup_comment
flat<appos> 1845,0.911,0.002,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
flat<appos> 1836,0.911,0.002,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
flat<flat> dialis,0.911,0.002,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
flat<appos> Hübner,0.911,0.002,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
appos<flat> ...,0.911,0.002,0.546,0.162,23,Lepidoptera__order,taxongroup_comment
list<flat> ...,0.91,0.002,0.764,0.027,6,Lepidoptera__order,taxongroup_comment
flat<flat> chikae,0.91,0.002,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
compound<list<flat> dialis,0.909,0.002,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
flat<appos> Papilio,0.907,0.002,0.577,0.134,12,Lepidoptera__order,taxongroup_comment
flat<list> page,0.905,0.002,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
flat<appos> peacock,0.903,0.002,0.577,0.134,2,Lepidoptera__order,taxongroup_comment
