feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<appos> ...,0.931,0.001,0.627,0.096,14,Lepidoptera__order,taxongroup_topic
conj<conj> Papilio,0.923,0.001,0.733,0.039,7,Lepidoptera__order,taxongroup_topic
list<conj>cc> or,0.911,0.002,0.764,0.027,3,Lepidoptera__order,taxongroup_topic
appos<nmod> Ward,0.91,0.002,0.577,0.134,3,Lepidoptera__order,taxongroup_topic
conj<conj>amod> bande,0.908,0.002,0.577,0.134,3,Lepidoptera__order,taxongroup_topic
appos<conj>compound> Papilio,0.896,0.003,0.577,0.134,2,Lepidoptera__order,taxongroup_topic
conj<appos>nummod> ...,0.892,0.003,0.764,0.027,4,Lepidoptera__order,taxongroup_topic
appos<appos> erroneously,0.888,0.003,0.577,0.134,3,Lepidoptera__order,taxongroup_topic
appos<appos> butterfly,0.886,0.003,0.577,0.134,2,Lepidoptera__order,taxongroup_topic
appos<conj>compound> ...,0.879,0.004,0.764,0.027,8,Lepidoptera__order,taxongroup_topic
compound<flat<flat> ...,0.87,0.005,0.436,0.28,13,Lepidoptera__order,taxongroup_topic
compound<flat<flat> Felder,0.869,0.005,0.577,0.134,2,Lepidoptera__order,taxongroup_topic
appos<conj>compound> swallowtail,0.855,0.007,0.577,0.134,3,Lepidoptera__order,taxongroup_topic
appos<appos> white,0.855,0.007,0.577,0.134,4,Lepidoptera__order,taxongroup_topic
appos>compound> Papilio,0.855,0.007,0.577,0.134,2,Lepidoptera__order,taxongroup_topic
list<list>compound> Papilio,0.853,0.007,0.577,0.134,2,Lepidoptera__order,taxongroup_topic
appos< swallowtail,0.85,0.008,0.764,0.027,3,Lepidoptera__order,taxongroup_topic
list<nmod>case> ...,0.841,0.009,0.577,0.134,4,Lepidoptera__order,taxongroup_topic
conj<conj> ...,0.835,0.01,0.546,0.162,40,Lepidoptera__order,taxongroup_topic
compound<conj<list> ...,0.835,0.01,0.655,0.078,6,Lepidoptera__order,taxongroup_topic
list<list>compound> swallowtail,0.834,0.01,0.577,0.134,3,Lepidoptera__order,taxongroup_topic
appos<conj> ...,0.833,0.01,0.764,0.027,12,Lepidoptera__order,taxongroup_topic
nmod<nmod< ...,-0.832,0.01,-0.577,0.134,3,Lepidoptera__order,taxongroup_topic
nmod>case> in,0.822,0.012,0.577,0.134,5,Lepidoptera__order,taxongroup_topic
appos<flat> brassica,0.813,0.014,0.577,0.134,3,Lepidoptera__order,taxongroup_topic
nmod>case> of,0.811,0.015,0.577,0.134,2,Lepidoptera__order,taxongroup_topic
conj> ...,0.809,0.015,0.779,0.023,29,Lepidoptera__order,taxongroup_topic
appos>compound> ...,0.808,0.015,0.577,0.134,1,Lepidoptera__order,taxongroup_topic
