,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Par-e8bc_141_mimicry-15,mimicry,Mimicry#adaptation,amod>,ant,ADJ,14,amod> ...,-0.12784727308260976,-0.12203894212760759,Lepidoptera__order,adaptation_comment,1,7
5,Pie-14e4_100_migration-20,migration,Animal_migration#adaptation,case>,due,ADP,18,case> due,-0.27003285055941717,-0.22299133728624987,Lepidoptera__order,adaptation_comment,1,7
4,Fly-ac51_20_metamorphosis-9,metamorphosis,Metamorphosis#adaptation,amod>,radical,ADJ,8,amod> ...,-0.2529231158531849,0.019282208396467267,Lepidoptera__order,adaptation_comment,1,7
4,Pie-14e4_106_migration-21,migration,Animal_migration#adaptation,amod>,little,ADJ,19,amod> ...,-0.27481720357880784,-0.22690024127944816,Lepidoptera__order,adaptation_comment,1,7
2,Lep-f8ec_377_poisonous-4,poisonous,Poison#adaptation,amod<obj<,eat,VERB,3,amod<obj< eat,-0.19620016719197306,0.016593519306790108,Lepidoptera__order,adaptation_comment,1,7
2,Ins-960c_386_poisonous-4,poisonous,Poison#adaptation,amod<obj<,eat,VERB,3,amod<obj< eat,-0.19620016719197306,0.016593519306790108,Lepidoptera__order,adaptation_comment,1,7
4,Lep-f8ec_378_poisonous-8,poisonous,Poison#adaptation,amod<obj<,eat,VERB,6,amod<obj< eat,-0.19620016719197306,0.016593519306790108,Lepidoptera__order,adaptation_comment,1,7
5,Met-e231_42_metamorphosis-9,metamorphosis,Metamorphosis#adaptation,case>,in,ADP,7,case> in,-0.577308867017921,0.16690789606767692,Lepidoptera__order,adaptation_comment,0,15
4,Gon-9ae6_27_hibernation-20,hibernation,Hibernation#adaptation,case>,during,ADP,19,case> during,-0.5289380053069337,0.10108821240524969,Lepidoptera__order,adaptation_comment,0,15
6,Gon-9ae6_168_hibernation-24,hibernation,Hibernation#adaptation,case>,from,ADP,23,case> from,-0.6021656952642697,0.22869442503112736,Lepidoptera__order,adaptation_comment,0,15
5,Mar-9812_4_hibernation-17,hibernation,Hibernation#adaptation,case>,of,ADP,16,case> of,-0.568901148001801,0.16112378165328392,Lepidoptera__order,adaptation_comment,0,15
19,Mar-9812_6_layers-46,layers,Oviparity#adaptation,case>,for,ADP,42,case> for,-0.468217625770552,0.08160990872675701,Lepidoptera__order,adaptation_comment,0,15
1,Lar-fa32_129_mimicry-3,mimicry,Mimicry#adaptation,case>,with,ADP,2,case> ...,-0.4623548570035053,0.15054988316603804,Lepidoptera__order,adaptation_comment,0,15
9,Lar-fa32_110_mimicry-16,mimicry,Mimicry#adaptation,case>,of,ADP,14,case> of,-0.568901148001801,0.16112378165328392,Lepidoptera__order,adaptation_comment,0,15
4,Mon-6a24_62_metamorphosis-8,metamorphosis,Metamorphosis#adaptation,case>,undergo,ADP,6,case> undergo,-0.4997596827870689,0.04877665492141355,Lepidoptera__order,adaptation_comment,0,15
4,Van-b9b9_37_migration-6,migration,Animal_migration#adaptation,case>,of,ADP,5,case> of,-0.568901148001801,0.16112378165328392,Lepidoptera__order,adaptation_comment,0,15
5,Swa-32cf_104_polymorphisms-12,polymorphisms,Polymorphism_biology#adaptation,case>,for,ADP,11,case> for,-0.468217625770552,0.08160990872675701,Lepidoptera__order,adaptation_comment,0,15
4,Van-b9b9_141_migration-8,migration,Animal_migration#adaptation,case>,into,ADP,6,case> ...,-0.6283813829958449,0.23001191495654674,Lepidoptera__order,adaptation_comment,0,15
4,Van-b9b9_45_migration-6,migration,Animal_migration#adaptation,case>,to,ADP,5,case> ...,-0.5065078813784483,0.10697778315994139,Lepidoptera__order,adaptation_comment,0,15
7,Gon-252b_11_hibernation-18,hibernation,Hibernation#adaptation,case>,in,ADP,17,case> in,-0.577308867017921,0.16690789606767692,Lepidoptera__order,adaptation_comment,0,15
5,Gon-9ae6_145_hibernation-7,hibernation,Hibernation#adaptation,case>,from,ADP,6,case> from,-0.6021656952642697,0.22869442503112736,Lepidoptera__order,adaptation_comment,0,15
10,Gon-252b_12_hibernation-14,hibernation,Hibernation#adaptation,case>,in,ADP,13,case> in,-0.577308867017921,0.16690789606767692,Lepidoptera__order,adaptation_comment,0,15
4,Lep-f8ec_10_metamorphosis-16,metamorphosis,Metamorphosis#adaptation,nsubj>,they,PRON,13,nsubj> they,0.18528898587170128,-0.09773657022910211,Lepidoptera__order,adaptation_comment,5,7
6,Lep-f8ec_10_metamorphosis-16,metamorphosis,Metamorphosis#adaptation,amod>,complete,ADJ,15,amod> complete,-0.18629874384946987,-0.06206072422125675,Lepidoptera__order,adaptation_comment,5,7
