,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
7,Ado-9717_2_Lycaenidae-20,Lycaenidae,Lycaenidae#family,case>,in,ADP,17,case> in,0.2601847481361254,-0.4593117775087857,Lepidoptera__order,free_topic,0,80
19,All-1935_173_Lepidoptera-23,Lepidoptera,Lepidoptera#order,conj<conj>,moth,NOUN,39,conj<conj> moth,0.3436556143714339,0.027521451264074244,Lepidoptera__order,free_topic,0,80
4,Arg-a0b3_11_Argynnis-8,Argynnis,Argynnis#genus,case>,of,ADP,5,case> of,0.2574316051338621,-0.46431531986156255,Lepidoptera__order,free_topic,0,80
7,Bee-f189_93_Lepidoptera-12,Lepidoptera,Lepidoptera#order,case>,of,ADP,11,case> of,0.2574316051338621,-0.46431531986156255,Lepidoptera__order,free_topic,0,80
5,Bog1805_12_butterfly-16,butterfly,Large_Blue_butterfly#species,case>,for,ADP,11,case> for,0.30184133151125725,-0.352694472568292,Lepidoptera__order,free_topic,0,80
6,Bro-acd0_37_Lepidoptera-13,Lepidoptera,Lepidoptera#order,case>,in,ADP,11,case> in,0.2601847481361254,-0.4593117775087857,Lepidoptera__order,free_topic,0,80
3,Calecc8_5_butterflies-17,butterflies,Large_Blue_butterfly#species,case>,include,VERB,14,case> ...,0.14892099493010943,-0.4155595781877618,Lepidoptera__order,free_topic,0,80
8,Cam-4bd8_89_butterflies-10,butterflies,Lepidoptera#order,case>,for,ADP,9,case> for,0.30184133151125725,-0.352694472568292,Lepidoptera__order,free_topic,0,80
7,Com-7fbd_121_butterflies-9,butterflies,Lepidoptera#order,case>,of,ADP,8,case> of,0.2574316051338621,-0.46431531986156255,Lepidoptera__order,free_topic,0,80
8,Com-f597_77_butterflies-20,butterflies,Lepidoptera#order,case>,of,ADP,19,case> of,0.2574316051338621,-0.46431531986156255,Lepidoptera__order,free_topic,0,80
