,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
0,Pie-14e4_17_white-3,white,Large_White#species,compound<det>,the,DET,1,compound<det> the,-0.25763849364061503,0.029969713425310747,Lepidoptera__order,location_topic,5,4
2,Pie-14e4_17_white-3,white,Large_White#species,compound<,ova,NOUN,4,compound< ...,0.116224463552911,-0.14944619317939897,Lepidoptera__order,location_topic,5,4
4,Lep-f8ec_331_lady-10,lady,Vanessa_cardui#species,det>,the,DET,8,det> the,-0.2249027477723449,0.36345500525488295,Lepidoptera__order,location_topic,5,4
2,Swa-71c0_51_cosmopolitan-6,cosmopolitan,Vanessa_cardui#species,compound<det>,a,DET,4,compound<det> a,-0.29999783481291376,0.03164914253959463,Lepidoptera__order,location_topic,5,4
4,Swa-71c0_51_cosmopolitan-6,cosmopolitan,Vanessa_cardui#species,compound<,distribution,NOUN,7,compound< distribution,0.18725660082265205,-0.17677303429437013,Lepidoptera__order,location_topic,5,4
4,Swa-32cf_12_swallowtail-13,swallowtail,Old_World_Swallowtail#species,compound<,butterfly,NOUN,14,compound< butterfly,0.24549016738327678,-0.1834360824164742,Lepidoptera__order,location_topic,5,4
0,Gat7338_7_butterfly-5,butterfly,Gatekeeper_Butterfly#species,det>,the,DET,1,det> the,0.2809137407775929,-0.1165120476950989,Lepidoptera__order,location_topic,4,9
2,Gat7338_7_butterfly-5,butterfly,Gatekeeper_Butterfly#species,conj>cc>,and,CCONJ,6,conj>cc> and,0.26311202895442265,-0.2426878959744644,Lepidoptera__order,location_topic,4,9
0,Pie-14e4_6_white-3,white,Large_White#species,det>,the,DET,1,det> the,0.2809137407775929,-0.1165120476950989,Lepidoptera__order,location_topic,4,9
4,Pie-14e4_6_white-3,white,Large_White#species,nsubj<obl>case>,throughout,ADP,6,nsubj<obl>case> throughout,0.2171867619409924,-0.18035270138771464,Lepidoptera__order,location_topic,4,9
8,Pie-14e4_6_white-3,white,Large_White#species,nsubj<obl>case>,to,ADP,14,nsubj<obl>case> ...,0.24322773996938515,-0.26507898169157573,Lepidoptera__order,location_topic,4,9
0,Pie-14e4_8_white-3,white,Large_White#species,det>,the,DET,1,det> the,0.2809137407775929,-0.1165120476950989,Lepidoptera__order,location_topic,4,9
0,Pie-14e4_4_white-3,white,Large_White#species,det>,the,DET,1,det> the,0.2809137407775929,-0.1165120476950989,Lepidoptera__order,location_topic,4,9
4,Pie-14e4_4_white-3,white,Large_White#species,nsubj<obl>case>,throughout,ADP,6,nsubj<obl>case> throughout,0.2171867619409924,-0.18035270138771464,Lepidoptera__order,location_topic,4,9
4,Pie-14e4_15_white-30,white,Large_White#species,det>,the,DET,28,det> the,0.2809137407775929,-0.1165120476950989,Lepidoptera__order,location_topic,4,9
1,Van-b9b9_39_lady-8,lady,Vanessa_cardui#species,det>,the,DET,6,det> the,0.2809137407775929,-0.1165120476950989,Lepidoptera__order,location_topic,4,9
0,Gat-a3f4_58_butterfly-3,butterfly,Gatekeeper_Butterfly#species,det>,the,DET,1,det> the,0.2809137407775929,-0.1165120476950989,Lepidoptera__order,location_topic,4,9
2,Gat-a3f4_5_butterfly-14,butterfly,Gatekeeper_Butterfly#species,det>,the,DET,12,det> the,0.2809137407775929,-0.1165120476950989,Lepidoptera__order,location_topic,4,9
4,Van-b9b9_3_lady-7,lady,Vanessa_cardui#species,det>,the,DET,5,det> the,0.2809137407775929,-0.1165120476950989,Lepidoptera__order,location_topic,4,9
2,Swa-32cf_7_swallowtail-32,swallowtail,Old_World_Swallowtail#species,nmod<,rise,NOUN,27,nmod< ...,-0.32959738894351653,-0.06394554541804207,Lepidoptera__order,location_topic,7,11
3,Swa-32cf_7_swallowtail-32,swallowtail,Old_World_Swallowtail#species,case>,to,ADP,28,case> to,-0.5894535238758983,-0.22890776045984013,Lepidoptera__order,location_topic,7,11
3,Ada-f37b_25_moth-9,moth,Macroglossum_stellatarum#species,case>,by,ADP,4,case> ...,-0.6407185856336359,-0.16758778914603636,Lepidoptera__order,location_topic,7,11
1,Pie-14e4_9_white-6,white,Large_White#species,nmod<,report,NOUN,2,nmod< ...,-0.5022516883347711,-0.07340396539856348,Lepidoptera__order,location_topic,7,11
2,Pie-14e4_9_white-6,white,Large_White#species,case>,of,ADP,3,case> of,-0.647888629794411,-0.12096784275524892,Lepidoptera__order,location_topic,7,11
2,Ant-938d_319_Lycaenidae-12,Lycaenidae,Lycaenidae#family,nmod<,caterpillar,NOUN,7,nmod< ...,-0.16089501958165756,-0.06481040865915967,Lepidoptera__order,location_topic,7,11
3,Ant-938d_319_Lycaenidae-12,Lycaenidae,Lycaenidae#family,case>,of,ADP,8,case> of,-0.647888629794411,-0.12096784275524892,Lepidoptera__order,location_topic,7,11
4,Van-b9b9_141_cardui-19,cardui,Vanessa_cardui#species,nmod<case>,of,ADP,13,nmod<case> of,-0.3768266407970354,0.009972930993303767,Lepidoptera__order,location_topic,7,11
7,Van-b9b9_141_cardui-19,cardui,Vanessa_cardui#species,nmod<,observation,NOUN,16,nmod< ...,-0.37246054324417566,-0.10916511399248843,Lepidoptera__order,location_topic,7,11
8,Van-b9b9_141_cardui-19,cardui,Vanessa_cardui#species,case>,of,ADP,17,case> of,-0.647888629794411,-0.12096784275524892,Lepidoptera__order,location_topic,7,11
5,Dro-4d9f_124_cosmopolitan-7,cosmopolitan,Vanessa_cardui#species,case>,as,ADP,6,case> ...,-0.6126783848035363,-0.12969234631362087,Lepidoptera__order,location_topic,7,11
1,Gat-a3f4_77_butterflies-5,butterflies,Gatekeeper_Butterfly#species,nmod<,generation,NOUN,2,nmod< ...,-0.2906908552276106,-0.10312305337149305,Lepidoptera__order,location_topic,7,11
2,Gat-a3f4_77_butterflies-5,butterflies,Gatekeeper_Butterfly#species,case>,of,ADP,3,case> of,-0.647888629794411,-0.12096784275524892,Lepidoptera__order,location_topic,7,11
3,Swa-32cf_9_swallowtails-18,swallowtails,Old_World_Swallowtail#species,nmod<case>,of,ADP,13,nmod<case> of,-0.3768266407970354,0.009972930993303767,Lepidoptera__order,location_topic,7,11
5,Swa-32cf_9_swallowtails-18,swallowtails,Old_World_Swallowtail#species,nmod<,figure,NOUN,15,nmod< ...,-0.307724438488646,-0.01827132633445819,Lepidoptera__order,location_topic,7,11
6,Swa-32cf_9_swallowtails-18,swallowtails,Old_World_Swallowtail#species,case>,to,ADP,16,case> to,-0.5894535238758983,-0.22890776045984013,Lepidoptera__order,location_topic,7,11
3,Swa-32cf_53_swallowtails-29,swallowtails,Old_World_Swallowtail#species,nmod<case>,to,ADP,24,nmod<case> to,-0.2583829141368601,-0.026828565254438504,Lepidoptera__order,location_topic,7,11
5,Swa-32cf_53_swallowtails-29,swallowtails,Old_World_Swallowtail#species,nmod<,rest,NOUN,26,nmod< rest,-0.2899634783794398,-0.08100150048615201,Lepidoptera__order,location_topic,7,11
6,Swa-32cf_53_swallowtails-29,swallowtails,Old_World_Swallowtail#species,case>,of,ADP,27,case> of,-0.647888629794411,-0.12096784275524892,Lepidoptera__order,location_topic,7,11
5,Swa-32cf_54_swallowtails-38,swallowtails,Old_World_Swallowtail#species,nmod<case>,to,ADP,33,nmod<case> to,-0.2583829141368601,-0.026828565254438504,Lepidoptera__order,location_topic,7,11
7,Swa-32cf_54_swallowtails-38,swallowtails,Old_World_Swallowtail#species,nmod<,rest,NOUN,35,nmod< rest,-0.2899634783794398,-0.08100150048615201,Lepidoptera__order,location_topic,7,11
8,Swa-32cf_54_swallowtails-38,swallowtails,Old_World_Swallowtail#species,case>,of,ADP,36,case> of,-0.647888629794411,-0.12096784275524892,Lepidoptera__order,location_topic,7,11
4,Old0ecc_6_swallowtails-7,swallowtails,Old_World_Swallowtail#species,nmod<,race,NOUN,5,nmod< ...,-0.45843162236619417,-0.10666866233913719,Lepidoptera__order,location_topic,7,11
5,Old0ecc_6_swallowtails-7,swallowtails,Old_World_Swallowtail#species,case>,of,ADP,6,case> of,-0.647888629794411,-0.12096784275524892,Lepidoptera__order,location_topic,7,11
0,Swa-32cf_23_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<,butterfly,NOUN,2,compound< butterfly,0.1276411827146275,0.13786250223675672,Lepidoptera__order,location_topic,0,8
1,Swa-32cf_23_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<appos>,Taxonomy,NOUN,4,compound<appos> Taxonomy,0.08719287817091735,-0.03166587957984869,Lepidoptera__order,location_topic,0,8
0,Swa-32cf_35_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<,butterfly,NOUN,2,compound< butterfly,0.1276411827146275,0.13786250223675672,Lepidoptera__order,location_topic,0,8
1,Swa-32cf_35_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<appos>,Taxonomy,NOUN,4,compound<appos> Taxonomy,0.08719287817091735,-0.03166587957984869,Lepidoptera__order,location_topic,0,8
0,Swa-32cf_17_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<,butterfly,NOUN,2,compound< butterfly,0.1276411827146275,0.13786250223675672,Lepidoptera__order,location_topic,0,8
0,Swa-32cf_14_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<,butterfly,NOUN,2,compound< butterfly,0.1276411827146275,0.13786250223675672,Lepidoptera__order,location_topic,0,8
1,Swa-32cf_14_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<appos>,Taxonomy,NOUN,4,compound<appos> Taxonomy,0.08719287817091735,-0.03166587957984869,Lepidoptera__order,location_topic,0,8
0,Swa-32cf_13_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<,butterfly,NOUN,2,compound< butterfly,0.1276411827146275,0.13786250223675672,Lepidoptera__order,location_topic,0,8
1,Swa-32cf_13_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<appos>,Taxonomy,NOUN,4,compound<appos> Taxonomy,0.08719287817091735,-0.03166587957984869,Lepidoptera__order,location_topic,0,8
0,Swa-32cf_39_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<,butterfly,NOUN,2,compound< butterfly,0.1276411827146275,0.13786250223675672,Lepidoptera__order,location_topic,0,8
1,Swa-32cf_39_Swallowtail-1,Swallowtail,Old_World_Swallowtail#species,compound<appos>,Taxonomy,NOUN,4,compound<appos> Taxonomy,0.08719287817091735,-0.03166587957984869,Lepidoptera__order,location_topic,0,8
