,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
3,Arc-d09d_99_Arctiidae-5,Arctiidae,Arctiidae#family,compound<,Lepidoptera,PROPN,7,compound< ...,-0.256146784065242,0.05939347111172605,Lepidoptera__order,taxongroup_topic,5,39
5,Arc-d09d_123_Arctiidae-23,Arctiidae,Arctiidae#family,appos<,Lepidoptera,PROPN,21,appos< Lepidoptera,0.29201614244673557,0.2901556523701681,Lepidoptera__order,taxongroup_topic,5,39
5,Arc-d09d_126_Arctiidae-16,Arctiidae,Arctiidae#family,appos<,Lepidoptera,PROPN,14,appos< Lepidoptera,0.29201614244673557,0.2901556523701681,Lepidoptera__order,taxongroup_topic,5,39
5,Arc-d09d_129_Arctiidae-13,Arctiidae,Arctiidae#family,appos<,Lepidoptera,PROPN,11,appos< Lepidoptera,0.29201614244673557,0.2901556523701681,Lepidoptera__order,taxongroup_topic,5,39
3,Arc-d09d_91_Arctiidae-10,Arctiidae,Arctiidae#family,appos<,Lepidoptera,PROPN,8,appos< Lepidoptera,0.29201614244673557,0.2901556523701681,Lepidoptera__order,taxongroup_topic,5,39
0,Pol-516e_46_Butterflies-3,Butterflies,Lepidoptera#order,appos<,insects,NOUN,1,appos< ...,0.23073375741856558,0.3383519033876684,Lepidoptera__order,taxongroup_topic,5,39
4,Mel-ddca_9_galathea-26,galathea,Marbled_White#species,compound<,magdalena,NOUN,27,compound< ...,-0.22994892054071983,0.27082356740370556,Lepidoptera__order,taxongroup_topic,5,39
5,Eup-d14d_6_Nymphalidae-10,Nymphalidae,Nymphalidae#family,appos<,Lepidoptera,PROPN,8,appos< Lepidoptera,0.29201614244673557,0.2901556523701681,Lepidoptera__order,taxongroup_topic,5,39
4,Pie-14e4_158_brassicae-34,brassicae,Large_White#species,compound<list<flat>,Gray,PROPN,30,compound<list<flat> Gray,-0.3309873597407434,0.27704313450656176,Lepidoptera__order,taxongroup_topic,5,39
7,Pie-14e4_158_brassicae-34,brassicae,Large_White#species,compound<,ottonis,NOUN,35,compound< ...,-0.16920316492541862,0.28173886751498645,Lepidoptera__order,taxongroup_topic,5,39
5,Pie-14e4_157_brassicae-8,brassicae,Large_White#species,compound<,brassica,NOUN,9,compound< ...,-0.19434822353096146,0.19368333676807786,Lepidoptera__order,taxongroup_topic,5,39
4,Pie-14e4_158_brassicae-40,brassicae,Large_White#species,compound<list<flat>,Gray,PROPN,30,compound<list<flat> Gray,-0.3309873597407434,0.27704313450656176,Lepidoptera__order,taxongroup_topic,5,39
9,Pie-14e4_158_brassicae-40,brassicae,Large_White#species,compound<,subtaeniata,NOUN,41,compound< ...,-0.35504660563364837,0.06726647258598335,Lepidoptera__order,taxongroup_topic,5,39
2,Pie-14e4_158_brassicae-54,brassicae,Large_White#species,appos<,Oberthür,PROPN,50,appos< Oberthür,0.332144277709775,-0.040428394945898206,Lepidoptera__order,taxongroup_topic,5,39
6,Pie-14e4_158_brassicae-60,brassicae,Large_White#species,compound<,wollastoni,NOUN,61,compound< ...,-0.28744036696380787,0.20479293725754094,Lepidoptera__order,taxongroup_topic,5,39
1,Swa-32cf_106_swallowtail-9,swallowtail,Old_World_Swallowtail#species,appos<,example,NOUN,2,appos< ...,0.3010803908960769,0.27028371908772153,Lepidoptera__order,taxongroup_topic,5,39
2,Pap-75c9_34_swallowtail-12,swallowtail,Old_World_Swallowtail#species,compound<list<flat>,cyproeofila,PROPN,3,compound<list<flat> ...,-0.2536714039150781,0.23809757213370364,Lepidoptera__order,taxongroup_topic,5,39
3,Pap-75c9_34_swallowtail-12,swallowtail,Old_World_Swallowtail#species,compound<list<flat>,Butler,PROPN,4,compound<list<flat> ...,-0.26056026147560696,0.2814820828373463,Lepidoptera__order,taxongroup_topic,5,39
8,Pap-75c9_34_swallowtail-12,swallowtail,Old_World_Swallowtail#species,compound<,Papilio,PROPN,13,compound< Papilio,-0.11750278854468932,0.29454687845505223,Lepidoptera__order,taxongroup_topic,5,39
20,Pap-75c9_34_swallowtail-12,swallowtail,Old_World_Swallowtail#species,compound<list<flat>,Papilio,PROPN,51,compound<list<flat> ...,-0.2963285739682331,0.28699168426252364,Lepidoptera__order,taxongroup_topic,5,39
