,feat,cluster,pw_entr,feat_n,N,group,relrole
5,advmod> ...,0,0.044,3,89,Lepidoptera__order,adaptation_comment
13,amod> ...,0,-0.018,1,89,Lepidoptera__order,adaptation_comment
15,amod> complete,0,0.002,1,89,Lepidoptera__order,adaptation_comment
20,case> ...,0,0.017,3,89,Lepidoptera__order,adaptation_comment
23,case> during,0,0.01,1,89,Lepidoptera__order,adaptation_comment
24,case> for,0,0.011,2,89,Lepidoptera__order,adaptation_comment
25,case> from,0,0.036,2,89,Lepidoptera__order,adaptation_comment
26,case> in,0,0.037,3,89,Lepidoptera__order,adaptation_comment
27,case> of,0,0.044,3,89,Lepidoptera__order,adaptation_comment
28,case> undergo,0,0.01,1,89,Lepidoptera__order,adaptation_comment
30,cc> and,0,-0.002,1,89,Lepidoptera__order,adaptation_comment
46,compound> ...,0,-0.004,1,89,Lepidoptera__order,adaptation_comment
48,compound> butterfly,0,0.006,1,89,Lepidoptera__order,adaptation_comment
51,compound>amod> ...,0,0.006,1,89,Lepidoptera__order,adaptation_comment
53,conj< ...,0,-0.004,1,89,Lepidoptera__order,adaptation_comment
58,cop> be,0,0.015,2,89,Lepidoptera__order,adaptation_comment
60,det> the,0,-0.007,1,89,Lepidoptera__order,adaptation_comment
61,det> this,0,0.01,1,89,Lepidoptera__order,adaptation_comment
64,nmod< ...,0,0.133,9,89,Lepidoptera__order,adaptation_comment
65,nmod< form,0,0.01,1,89,Lepidoptera__order,adaptation_comment
66,nmod<amod> ...,0,0.031,3,89,Lepidoptera__order,adaptation_comment
67,nmod<case> ...,0,0.072,4,89,Lepidoptera__order,adaptation_comment
68,nmod<case> after,0,0.036,2,89,Lepidoptera__order,adaptation_comment
69,nmod<case> on,0,0.01,1,89,Lepidoptera__order,adaptation_comment
70,nmod<compound> ...,0,0.054,4,89,Lepidoptera__order,adaptation_comment
71,nmod<det> ...,0,0.018,1,89,Lepidoptera__order,adaptation_comment
72,nmod<det> a,0,0.027,2,89,Lepidoptera__order,adaptation_comment
73,nmod<det> the,0,0.044,3,89,Lepidoptera__order,adaptation_comment
74,nmod<obl< ...,0,0.062,4,89,Lepidoptera__order,adaptation_comment
75,nmod<obl<mark> ...,0,0.027,2,89,Lepidoptera__order,adaptation_comment
76,nmod<obl<nsubj> ...,0,0.018,1,89,Lepidoptera__order,adaptation_comment
77,nmod<obl<nsubj> it,0,0.036,2,89,Lepidoptera__order,adaptation_comment
78,nmod> ...,0,0.002,1,89,Lepidoptera__order,adaptation_comment
79,nmod> butterfly,0,0.01,1,89,Lepidoptera__order,adaptation_comment
80,nmod> mimicry,0,0.01,1,89,Lepidoptera__order,adaptation_comment
81,nmod>case> ...,0,0.02,2,89,Lepidoptera__order,adaptation_comment
83,nmod>case> in,0,0.01,1,89,Lepidoptera__order,adaptation_comment
84,nmod>det> the,0,0.015,2,89,Lepidoptera__order,adaptation_comment
86,nsubj:pass< see,0,0.01,1,89,Lepidoptera__order,adaptation_comment
87,nsubj:pass<aux:pass> be,0,0.002,1,89,Lepidoptera__order,adaptation_comment
88,nsubj:pass<obl> ...,0,0.002,1,89,Lepidoptera__order,adaptation_comment
90,nsubj:pass<obl>case> in,0,0.002,1,89,Lepidoptera__order,adaptation_comment
97,nsubj> they,0,0.01,1,89,Lepidoptera__order,adaptation_comment
107,obl< ...,0,-0.0,3,89,Lepidoptera__order,adaptation_comment
108,obl<advmod> ...,0,0.006,1,89,Lepidoptera__order,adaptation_comment
111,obl<cop> be,0,0.006,1,89,Lepidoptera__order,adaptation_comment
112,obl<mark> ...,0,0.01,1,89,Lepidoptera__order,adaptation_comment
114,obl<nsubj> ...,0,-0.004,1,89,Lepidoptera__order,adaptation_comment
115,obl<nsubj> it,0,0.006,1,89,Lepidoptera__order,adaptation_comment
129,amod< ...,1,0.039,2,85,Lepidoptera__order,adaptation_comment
130,amod< behaviour,1,0.058,3,85,Lepidoptera__order,adaptation_comment
131,amod< butterfly,1,0.039,2,85,Lepidoptera__order,adaptation_comment
132,amod<obj< eat,1,0.058,3,85,Lepidoptera__order,adaptation_comment
133,amod<obj<acl:relcl< predator,1,0.058,3,85,Lepidoptera__order,adaptation_comment
134,amod<obj<nsubj> ...,1,0.019,1,85,Lepidoptera__order,adaptation_comment
135,amod<obj<nsubj> that,1,0.039,2,85,Lepidoptera__order,adaptation_comment
136,amod> ...,1,-0.015,3,85,Lepidoptera__order,adaptation_comment
139,appos< ...,1,0.058,3,85,Lepidoptera__order,adaptation_comment
140,appos> ...,1,0.017,2,85,Lepidoptera__order,adaptation_comment
145,case> due,1,0.011,1,85,Lepidoptera__order,adaptation_comment
153,cc> and,1,0.034,3,85,Lepidoptera__order,adaptation_comment
154,compound< ...,1,0.077,5,85,Lepidoptera__order,adaptation_comment
155,compound< patterns,1,0.011,1,85,Lepidoptera__order,adaptation_comment
156,compound< route,1,0.039,2,85,Lepidoptera__order,adaptation_comment
157,compound<amod> ...,1,0.019,1,85,Lepidoptera__order,adaptation_comment
159,compound<case> ...,1,0.058,3,85,Lepidoptera__order,adaptation_comment
160,compound<compound> ...,1,0.011,1,85,Lepidoptera__order,adaptation_comment
161,compound<compound> butterfly,1,0.011,1,85,Lepidoptera__order,adaptation_comment
162,compound<det> ...,1,0.019,1,85,Lepidoptera__order,adaptation_comment
163,compound<det> the,1,0.039,2,85,Lepidoptera__order,adaptation_comment
164,compound<nmod:poss> ...,1,0.019,1,85,Lepidoptera__order,adaptation_comment
165,compound<nmod:poss> lady,1,0.039,2,85,Lepidoptera__order,adaptation_comment
166,compound<nmod> ...,1,0.058,3,85,Lepidoptera__order,adaptation_comment
167,compound<nmod>case> ...,1,0.058,3,85,Lepidoptera__order,adaptation_comment
168,compound<obl< ...,1,0.058,3,85,Lepidoptera__order,adaptation_comment
169,compound> ...,1,0.051,4,85,Lepidoptera__order,adaptation_comment
171,compound> butterfly,1,0.006,1,85,Lepidoptera__order,adaptation_comment
173,compound> return,1,0.039,2,85,Lepidoptera__order,adaptation_comment
174,compound>amod> ...,1,0.006,1,85,Lepidoptera__order,adaptation_comment
176,conj< ...,1,-0.004,1,85,Lepidoptera__order,adaptation_comment
177,conj< flight,1,0.039,2,85,Lepidoptera__order,adaptation_comment
178,conj<case> ...,1,0.003,1,85,Lepidoptera__order,adaptation_comment
