,feat,cluster,pw_entr,feat_n,N,group,relrole
1,amod> ...,0,0.003,3,144,Lepidoptera__order,taxongroup_topic
2,amod> ban,0,0.005,1,144,Lepidoptera__order,taxongroup_topic
13,amod>advmod> green,0,0.014,1,144,Lepidoptera__order,taxongroup_topic
119,appos> Papilio,0,0.003,1,144,Lepidoptera__order,taxongroup_topic
137,appos>flat> ...,0,0.002,1,144,Lepidoptera__order,taxongroup_topic
148,compound< ...,0,0.048,5,144,Lepidoptera__order,taxongroup_topic
149,compound< Papilio,0,0.036,5,144,Lepidoptera__order,taxongroup_topic
151,compound< species,0,0.015,2,144,Lepidoptera__order,taxongroup_topic
153,compound<amod> ban,0,0.014,1,144,Lepidoptera__order,taxongroup_topic
157,compound<appos< ...,0,0.054,4,144,Lepidoptera__order,taxongroup_topic
158,compound<appos< Papilio,0,0.096,5,144,Lepidoptera__order,taxongroup_topic
159,compound<appos< galathea,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
160,compound<appos< group,0,0.014,1,144,Lepidoptera__order,taxongroup_topic
161,compound<appos<appos> ...,0,0.231,12,144,Lepidoptera__order,taxongroup_topic
162,compound<appos<appos> 1773,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
163,compound<appos<appos> 1836,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
164,compound<appos<appos> Europe,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
165,compound<appos<appos> Herbst,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
166,compound<appos<appos> Papilio,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
167,compound<appos<appos> Rambur,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
168,compound<appos<appos> Turati,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
169,compound<appos<compound< ...,0,0.019,1,144,Lepidoptera__order,taxongroup_topic
170,compound<appos<compound< group,0,0.077,4,144,Lepidoptera__order,taxongroup_topic
171,compound<appos<compound> ...,0,0.052,3,144,Lepidoptera__order,taxongroup_topic
172,compound<appos<compound> Melanargia,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
173,compound<appos<compound> galathea,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
174,compound<appos<conj> ...,0,0.014,1,144,Lepidoptera__order,taxongroup_topic
175,compound<appos<conj> Urals,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
176,compound<appos<flat> ...,0,0.173,9,144,Lepidoptera__order,taxongroup_topic
177,compound<appos<flat> Oberthür,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
178,compound<appos<flat> distant,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
179,compound<appos<flat> lormieri,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
180,compound<appos<list> ...,0,0.173,9,144,Lepidoptera__order,taxongroup_topic
181,compound<appos<list> 1874,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
182,compound<appos<list> Reichl,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
183,compound<appos<list> species,0,0.038,2,144,Lepidoptera__order,taxongroup_topic
184,compound<appos<nummod> ...,0,0.012,1,144,Lepidoptera__order,taxongroup_topic
185,compound<appos<obj< brassica,0,0.033,2,144,Lepidoptera__order,taxongroup_topic
204,compound<compound> Melanargia,0,0.033,2,144,Lepidoptera__order,taxongroup_topic
205,compound<compound> Pieris,0,0.023,2,144,Lepidoptera__order,taxongroup_topic
228,compound<flat> ...,0,0.014,3,144,Lepidoptera__order,taxongroup_topic
