feat	count	weight	rel_role	group_name
case> ...	36.0	0.733	adaptation_comment	Lepidoptera__order
amod> ...	30.0	0.357	adaptation_comment	Lepidoptera__order
compound> ...	16.0	0.249	adaptation_comment	Lepidoptera__order
det> ...	16.0	0.637	adaptation_comment	Lepidoptera__order
obl< ...	15.0	0.317	adaptation_comment	Lepidoptera__order
nmod< ...	14.0	0.412	adaptation_comment	Lepidoptera__order
obj< ...	13.0	0.141	adaptation_comment	Lepidoptera__order
compound< ...	11.0	0.519	adaptation_comment	Lepidoptera__order
obl<nsubj> ...	10.0	0.291	adaptation_comment	Lepidoptera__order
det> the	9.0	0.649	adaptation_comment	Lepidoptera__order
conj< ...	9.0	0.269	adaptation_comment	Lepidoptera__order
obj<nsubj> ...	8.0	0.445	adaptation_comment	Lepidoptera__order
nmod<case> ...	8.0	0.52	adaptation_comment	Lepidoptera__order
nmod>case> ...	8.0	0.438	adaptation_comment	Lepidoptera__order
nmod<det> ...	8.0	0.424	adaptation_comment	Lepidoptera__order
nmod> ...	8.0	0.326	adaptation_comment	Lepidoptera__order
cc> ...	8.0	0.409	adaptation_comment	Lepidoptera__order
amod< ...	7.0	0.232	adaptation_comment	Lepidoptera__order
conj> ...	6.0	0.488	adaptation_comment	Lepidoptera__order
cc> and	6.0	0.539	adaptation_comment	Lepidoptera__order
nmod<amod> ...	6.0	0.363	adaptation_comment	Lepidoptera__order
nsubj< ...	6.0	0.343	adaptation_comment	Lepidoptera__order
case> for	6.0	0.704	adaptation_comment	Lepidoptera__order
nmod<compound> ...	6.0	0.289	adaptation_comment	Lepidoptera__order
cop> ...	5.0	0.418	adaptation_comment	Lepidoptera__order
case> in	5.0	0.785	adaptation_comment	Lepidoptera__order
nsubj<cop> ...	5.0	0.388	adaptation_comment	Lepidoptera__order
appos> ...	5.0	0.402	adaptation_comment	Lepidoptera__order
det> a	5.0	0.65	adaptation_comment	Lepidoptera__order
nsubj<cop> be	5.0	0.388	adaptation_comment	Lepidoptera__order
nsubj> ...	5.0	0.205	adaptation_comment	Lepidoptera__order
nmod<obl< ...	5.0	0.238	adaptation_comment	Lepidoptera__order
nmod>det> ...	5.0	0.331	adaptation_comment	Lepidoptera__order
obj<nsubj>det> ...	5.0	0.222	adaptation_comment	Lepidoptera__order
obl<obl> ...	5.0	0.353	adaptation_comment	Lepidoptera__order
nmod>det> the	5.0	0.331	adaptation_comment	Lepidoptera__order
cop> be	5.0	0.347	adaptation_comment	Lepidoptera__order
obl<obl>case> ...	5.0	0.307	adaptation_comment	Lepidoptera__order
obl<mark> ...	4.0	0.35	adaptation_comment	Lepidoptera__order
obl<conj< ...	4.0	0.418	adaptation_comment	Lepidoptera__order
acl>obl>case> ...	4.0	0.413	adaptation_comment	Lepidoptera__order
nsubj:pass<aux:pass> be	4.0	0.323	adaptation_comment	Lepidoptera__order
advmod> ...	4.0	0.326	adaptation_comment	Lepidoptera__order
obl<nsubj>amod> ...	4.0	0.143	adaptation_comment	Lepidoptera__order
conj>cc> ...	4.0	0.419	adaptation_comment	Lepidoptera__order
conj<case> ...	4.0	0.24	adaptation_comment	Lepidoptera__order
nsubj:pass<obl>case> ...	4.0	0.281	adaptation_comment	Lepidoptera__order
nsubj:pass<obl> ...	4.0	0.264	adaptation_comment	Lepidoptera__order
conj>cc> and	4.0	0.591	adaptation_comment	Lepidoptera__order
obj<advcl>mark> ...	4.0	0.294	adaptation_comment	Lepidoptera__order
nsubj:pass<aux:pass> ...	4.0	0.323	adaptation_comment	Lepidoptera__order
compound<compound> ...	4.0	0.303	adaptation_comment	Lepidoptera__order
nsubj:pass<obl>case> in	4.0	0.257	adaptation_comment	Lepidoptera__order
nsubj:pass< ...	4.0	0.237	adaptation_comment	Lepidoptera__order
case> of	4.0	0.752	adaptation_comment	Lepidoptera__order
obl>conj> ...	4.0	0.365	adaptation_comment	Lepidoptera__order
case> as	4.0	0.774	adaptation_comment	Lepidoptera__order
nmod<det> the	4.0	0.451	adaptation_comment	Lepidoptera__order
nsubj<advmod> ...	3.0	0.261	adaptation_comment	Lepidoptera__order
obl<cop> ...	3.0	0.394	adaptation_comment	Lepidoptera__order
obl<cop> be	3.0	0.394	adaptation_comment	Lepidoptera__order
acl:relcl>obl> ...	3.0	0.219	adaptation_comment	Lepidoptera__order
acl:relcl>obl>case> ...	3.0	0.365	adaptation_comment	Lepidoptera__order
compound>amod> ...	3.0	0.318	adaptation_comment	Lepidoptera__order
nmod<det> a	3.0	0.438	adaptation_comment	Lepidoptera__order
nsubj:pass<obl>amod> ...	3.0	0.284	adaptation_comment	Lepidoptera__order
compound<nmod:poss> ...	3.0	0.283	adaptation_comment	Lepidoptera__order
nmod:poss> ...	3.0	0.335	adaptation_comment	Lepidoptera__order
amod<obj<acl:relcl< ...	3.0	0.535	adaptation_comment	Lepidoptera__order
amod<obj<nsubj> ...	3.0	0.338	adaptation_comment	Lepidoptera__order
obj<advcl> ...	3.0	0.238	adaptation_comment	Lepidoptera__order
amod<obj< ...	3.0	0.503	adaptation_comment	Lepidoptera__order
obl<advmod> ...	3.0	0.359	adaptation_comment	Lepidoptera__order
obl<nsubj> it	3.0	0.364	adaptation_comment	Lepidoptera__order
obl<obj> ...	3.0	0.339	adaptation_comment	Lepidoptera__order
obl<nsubj>det> ...	3.0	0.351	adaptation_comment	Lepidoptera__order
amod<obj<acl:relcl< predator	3.0	0.535	adaptation_comment	Lepidoptera__order
compound<case> ...	3.0	0.172	adaptation_comment	Lepidoptera__order
compound<obl< ...	3.0	0.327	adaptation_comment	Lepidoptera__order
appos< ...	3.0	0.43	adaptation_comment	Lepidoptera__order
compound<amod> ...	3.0	0.177	adaptation_comment	Lepidoptera__order
appos>conj> ...	3.0	0.194	adaptation_comment	Lepidoptera__order
obl<conj<nsubj> ...	3.0	0.475	adaptation_comment	Lepidoptera__order
acl> ...	3.0	0.351	adaptation_comment	Lepidoptera__order
nmod<obl<nsubj> ...	3.0	0.196	adaptation_comment	Lepidoptera__order
compound>compound> ...	3.0	0.411	adaptation_comment	Lepidoptera__order
acl>obl> ...	3.0	0.217	adaptation_comment	Lepidoptera__order
nmod<obl<mark> ...	3.0	0.211	adaptation_comment	Lepidoptera__order
compound<det> ...	3.0	0.375	adaptation_comment	Lepidoptera__order
compound<nmod>case> ...	3.0	0.435	adaptation_comment	Lepidoptera__order
obj<nsubj>det> the	3.0	0.276	adaptation_comment	Lepidoptera__order
amod< behaviour	3.0	0.197	adaptation_comment	Lepidoptera__order
compound<nmod> ...	3.0	0.25	adaptation_comment	Lepidoptera__order
amod<obj< eat	3.0	0.503	adaptation_comment	Lepidoptera__order
appos>compound> ...	3.0	0.499	adaptation_comment	Lepidoptera__order
nmod:poss> its	2.0	0.441	adaptation_comment	Lepidoptera__order
case>fixed> to	2.0	0.54	adaptation_comment	Lepidoptera__order
compound<obj<nmod> ...	2.0	0.381	adaptation_comment	Lepidoptera__order
compound<obj< ...	2.0	0.343	adaptation_comment	Lepidoptera__order
obl<advcl<nsubj> ...	2.0	0.277	adaptation_comment	Lepidoptera__order
compound>flat> ...	2.0	0.414	adaptation_comment	Lepidoptera__order
compound<nmod:poss>case> ...	2.0	0.339	adaptation_comment	Lepidoptera__order
compound<nmod:poss>amod> ...	2.0	0.317	adaptation_comment	Lepidoptera__order
compound<nsubj<advmod> ...	2.0	0.287	adaptation_comment	Lepidoptera__order
compound<nmod:poss>det> ...	2.0	0.285	adaptation_comment	Lepidoptera__order
appos>appos> ...	2.0	0.237	adaptation_comment	Lepidoptera__order
compound<obl<nsubj> ...	2.0	0.27	adaptation_comment	Lepidoptera__order
flat> ...	2.0	0.76	adaptation_comment	Lepidoptera__order
compound<obl<obj> ...	2.0	0.287	adaptation_comment	Lepidoptera__order
obl<cc> ...	2.0	0.349	adaptation_comment	Lepidoptera__order
obj<conj<cop> be	2.0	0.436	adaptation_comment	Lepidoptera__order
case> from	2.0	0.846	adaptation_comment	Lepidoptera__order
nmod<case> on	2.0	0.521	adaptation_comment	Lepidoptera__order
compound<nsubj< ...	2.0	0.504	adaptation_comment	Lepidoptera__order
obj<nsubj> butterfly	2.0	0.354	adaptation_comment	Lepidoptera__order
obj<acl< ...	2.0	0.233	adaptation_comment	Lepidoptera__order
obj<advcl< ...	2.0	0.13	adaptation_comment	Lepidoptera__order
obl<advcl< ...	2.0	0.234	adaptation_comment	Lepidoptera__order
obj<mark> ...	2.0	0.601	adaptation_comment	Lepidoptera__order
nmod<obj<cc> and	2.0	0.274	adaptation_comment	Lepidoptera__order
amod<cc> ...	2.0	0.457	adaptation_comment	Lepidoptera__order
nsubj:pass< see	2.0	0.298	adaptation_comment	Lepidoptera__order
obj<advmod> also	2.0	0.478	adaptation_comment	Lepidoptera__order
nsubj> species	2.0	0.395	adaptation_comment	Lepidoptera__order
amod<compound>compound> ...	2.0	0.145	adaptation_comment	Lepidoptera__order
amod<det> ...	2.0	0.402	adaptation_comment	Lepidoptera__order
acl>obl>det> ...	2.0	0.356	adaptation_comment	Lepidoptera__order
amod<conj< ...	2.0	0.238	adaptation_comment	Lepidoptera__order
amod<conj<amod> ...	2.0	0.305	adaptation_comment	Lepidoptera__order
nmod<nsubj:pass<obl> ...	2.0	0.47	adaptation_comment	Lepidoptera__order
nmod<nsubj:pass< ...	2.0	0.414	adaptation_comment	Lepidoptera__order
obj< use	2.0	0.234	adaptation_comment	Lepidoptera__order
