feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj< ...,0.859,0.006,0.845,0.008,5,Life__life,taxongroup_comment
conj> ...,0.848,0.008,0.764,0.027,8,Life__life,taxongroup_comment
conj<appos>conj> ...,0.842,0.009,0.764,0.027,7,Life__life,taxongroup_comment
nmod< ...,0.824,0.012,0.655,0.078,3,Life__life,taxongroup_comment
case> of,0.817,0.013,0.756,0.03,4,Life__life,taxongroup_comment
case> as,0.807,0.016,0.577,0.134,2,Life__life,taxongroup_comment
compound<case> ...,0.763,0.028,0.577,0.134,1,Life__life,taxongroup_comment
case> to,0.753,0.031,0.63,0.094,2,Life__life,taxongroup_comment
conj<conj> ...,0.752,0.031,0.729,0.04,5,Life__life,taxongroup_comment
nsubj< ...,0.748,0.033,0.577,0.134,3,Life__life,taxongroup_comment
conj<appos> ...,0.733,0.039,0.764,0.027,11,Life__life,taxongroup_comment
nmod<amod> ...,0.725,0.042,0.436,0.28,4,Life__life,taxongroup_comment
compound<case> of,0.709,0.049,0.577,0.134,2,Life__life,taxongroup_comment
conj>cc> ...,0.705,0.051,0.577,0.134,1,Life__life,taxongroup_comment
conj>cc> and,0.7,0.053,0.733,0.039,3,Life__life,taxongroup_comment
obj<parataxis>advmod> ...,0.659,0.075,0.577,0.134,3,Life__life,taxongroup_comment
nmod>case> ...,0.622,0.1,0.62,0.101,3,Life__life,taxongroup_comment
compound> weasel,-0.604,0.113,-0.577,0.134,2,Life__life,taxongroup_comment
amod> ...,0.586,0.127,0.409,0.314,7,Life__life,taxongroup_comment
det> the,0.553,0.155,0.643,0.086,10,Life__life,taxongroup_comment
cc> ...,0.549,0.159,0.412,0.31,1,Life__life,taxongroup_comment
compound<det> the,0.546,0.161,0.327,0.429,4,Life__life,taxongroup_comment
obl< ...,0.525,0.182,0.55,0.158,4,Life__life,taxongroup_comment
nsubj:pass<obl> ...,0.475,0.234,0.483,0.225,3,Life__life,taxongroup_comment
nmod< member,0.475,0.234,0.504,0.203,2,Life__life,taxongroup_comment
compound< ...,0.447,0.267,0.483,0.225,5,Life__life,taxongroup_comment
compound> ...,0.443,0.272,0.412,0.31,2,Life__life,taxongroup_comment
case> ...,0.397,0.331,0.504,0.203,2,Life__life,taxongroup_comment
nmod> ...,0.28,0.503,0.282,0.499,3,Life__life,taxongroup_comment
appos> ...,0.143,0.735,0.247,0.555,4,Life__life,taxongroup_comment
obl<nsubj> ...,0.08,0.851,-0.056,0.895,3,Life__life,taxongroup_comment
cc> and,0.076,0.858,0.056,0.895,3,Life__life,taxongroup_comment
compound> family,0.016,0.97,0.047,0.912,3,Life__life,taxongroup_comment
