,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Tas-3df1_130_Badger-3,Badger,European_Badger#species,compound<,island,PROPN,4,compound< ...,-0.19107100716421793,-0.045076626559148736,Life__life,adaptation_topic,3,7
5,Tas-3df1_129_Badger-6,Badger,European_Badger#species,compound<,Island,PROPN,7,compound< ...,-0.29488797697381547,-0.05253653557439949,Life__life,adaptation_topic,3,7
1,Eur-3123_124_badger-5,badger,European_Badger#species,compound<,territory,NOUN,6,compound< ...,-0.19441322819177578,0.027743604485975425,Life__life,adaptation_topic,3,7
0,Eur-3123_120_badger-2,badger,European_Badger#species,amod>,european,ADJ,1,amod> european,-0.36690979639630583,-0.27591889586070006,Life__life,adaptation_topic,3,7
0,Eur-3123_118_badger-2,badger,European_Badger#species,amod>,european,ADJ,1,amod> european,-0.36690979639630583,-0.27591889586070006,Life__life,adaptation_topic,3,7
4,Ann-6efb_199_badgers-23,badgers,European_Badger#species,case>,to,ADP,22,case> to,-0.25860717511139786,-0.5262800365575209,Life__life,adaptation_topic,3,7
4,Bur-08d7_61_badger-9,badger,European_Badger#species,compound<,tunnel,NOUN,10,compound< ...,-0.13433680751104,-0.0985442114011504,Life__life,adaptation_topic,3,7
6,Eur-3123_122_badgers-8,badgers,European_Badger#species,case>,of,ADP,7,case> of,-0.6266094643978465,-0.18497616285123059,Life__life,adaptation_topic,0,6
1,Eur-3123_135_badgers-3,badgers,European_Badger#species,case>,among,ADP,2,case> among,-0.4931331507418238,-0.17168376135641641,Life__life,adaptation_topic,0,6
6,Bad-5841_49_badger-12,badger,European_Badger#species,case>,of,ADP,8,case> of,-0.6266094643978465,-0.18497616285123059,Life__life,adaptation_topic,0,6
7,Bad-5841_49_badger-12,badger,European_Badger#species,det>,a,DET,9,det> ...,-0.30270729481059006,0.23242359746797125,Life__life,adaptation_topic,0,6
7,Coy-1bf1_218_badgers-10,badgers,European_Badger#species,case>,with,ADP,8,case> ...,-0.5705177414181113,-0.2298847221326969,Life__life,adaptation_topic,0,6
0,Dom-6f87_315_badgers-3,badgers,European_Badger#species,case>,in,ADP,1,case> ...,-0.5945414259997461,-0.1859651920025615,Life__life,adaptation_topic,0,6
7,Syn-38d5_143_badger-17,badger,European_Badger#species,case>,to,ADP,15,case> to,-0.5529934857671138,-0.2184558491779689,Life__life,adaptation_topic,0,6
8,Syn-38d5_143_badger-17,badger,European_Badger#species,det>,the,DET,16,det> the,-0.298548307264411,0.23861074496738505,Life__life,adaptation_topic,0,6
5,Eur-3123_127_badgers-10,badgers,European_Badger#species,case>,among,ADP,9,case> among,0.40446676009032356,-0.34719203050959857,Life__life,adaptation_topic,1,4
6,Eur-3123_127_badgers-10,badgers,European_Badger#species,conj>cc>,and,CCONJ,11,conj>cc> and,-0.3573459112139242,-0.18164912995068533,Life__life,adaptation_topic,1,4
9,Eur-3123_127_badgers-10,badgers,European_Badger#species,conj>,boar,NOUN,14,conj> ...,-0.7497625643163983,-0.32484116872515006,Life__life,adaptation_topic,1,4
6,Bad-5841_51_badgers-8,badgers,European_Badger#species,conj>cc>,and,CCONJ,9,conj>cc> and,-0.3573459112139242,-0.18164912995068533,Life__life,adaptation_topic,1,4
8,Bad-5841_51_badgers-8,badgers,European_Badger#species,conj>,versa,ADV,11,conj> ...,-0.6313864036407829,-0.3797505812425368,Life__life,adaptation_topic,1,4
9,Bad-5841_51_badgers-8,badgers,European_Badger#species,conj>cc>,but,CCONJ,13,conj>cc> ...,-0.33356620339650456,-0.12770312002113998,Life__life,adaptation_topic,1,4
13,Bad-5841_51_badgers-8,badgers,European_Badger#species,conj>,seem,VERB,19,conj> ...,-0.7414107569632021,-0.37949875080030504,Life__life,adaptation_topic,1,4
13,Nomef04_20_badgers-18,badgers,European_Badger#species,case>,like,ADP,17,case> ...,0.45308595383334005,-0.35250765636825016,Life__life,adaptation_topic,1,4
14,Nomef04_20_badgers-18,badgers,European_Badger#species,conj>cc>,or,CCONJ,20,conj>cc> ...,-0.2585499934104466,-0.25806444188765854,Life__life,adaptation_topic,1,4
18,Nomef04_20_badgers-18,badgers,European_Badger#species,conj>,phase,NOUN,24,conj> ...,-0.48829004049707253,-0.338985030390442,Life__life,adaptation_topic,1,4
3,Mam-3742_399_badgers-4,badgers,European_Badger#species,conj>cc>,and,CCONJ,6,conj>cc> and,-0.3573459112139242,-0.18164912995068533,Life__life,adaptation_topic,1,4
6,Mam-3742_399_badgers-4,badgers,European_Badger#species,conj>,rats,NOUN,10,conj> rats,-0.6289666268394817,-0.38956702215987193,Life__life,adaptation_topic,1,4
0,Eur-3123_122_badgers-2,badgers,European_Badger#species,amod>,european,ADJ,1,amod> european,0.14649304219317336,0.15302514287608374,Life__life,adaptation_topic,4,2
6,Eur-3123_122_badgers-2,badgers,European_Badger#species,nsubj<obl>,badger,NOUN,8,nsubj<obl> ...,0.05045429918066034,-0.02386900616484157,Life__life,adaptation_topic,4,2
6,Eur-3123_163_badgers-15,badgers,European_Badger#species,obl<,use,VERB,13,obl< ...,0.20656928667096325,0.14045765701081198,Life__life,adaptation_topic,4,2
7,Eur-3123_163_badgers-15,badgers,European_Badger#species,case>,by,ADP,14,case> ...,0.565553185119768,0.04590442646583719,Life__life,adaptation_topic,4,2
