,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
14,Apo-f97b_31_badgers-25,badgers,European_Badger#species,case>,in,ADP,23,case> in,-0.2930195475644449,0.0150762020105452,Life__life,free_topic,6,8
8,Bla-4edd_105_badger-5,badger,European_Badger#species,nsubj<obj>nmod>,venom,NOUN,12,nsubj<obj>nmod> ...,0.3632808241464382,0.23766001339291706,Life__life,free_topic,6,8
6,Coc1cba_2_coccolithophores-2,coccolithophores,Coccolithophore#order,nsubj<obj>nmod>,planet,NOUN,10,nsubj<obj>nmod> ...,0.34222537697605204,0.12723843172916185,Life__life,free_topic,6,8
7,Coc1cba_2_coccolithophores-2,coccolithophores,Coccolithophore#order,nsubj<obj>nmod>,time,NOUN,12,nsubj<obj>nmod> ...,0.20890907261284866,0.039468595038777005,Life__life,free_topic,6,8
7,Coc1cba_6_coccoliths-5,coccoliths,Coccolithophore#order,nsubj<obj>nmod>,dioxide,NOUN,15,nsubj<obj>nmod> ...,0.36488948748709815,0.26177034390724796,Life__life,free_topic,6,8
0,Eur-1ed4_107_badgers-4,badgers,European_Badger#species,case>,in,ADP,1,case> in,-0.2930195475644449,0.0150762020105452,Life__life,free_topic,6,8
4,Mac-cb88_170_Macrocystis-24,Macrocystis,Macrocystis#genus,conj<case>,of,ADP,20,conj<case> of,-0.3271744071602015,0.3872475789790469,Life__life,free_topic,6,8
5,Noc4077_26_badger-6,badger,European_Badger#species,case>,'s,PART,7,case> ...,-0.10100486821402518,-0.0326549758403165,Life__life,free_topic,6,8
4,Wil-a4b1_71_badger-25,badger,European_Badger#species,compound<conj<,fox,NOUN,17,compound<conj< ...,0.23443523626690116,-0.059635698952546536,Life__life,free_topic,6,8
7,Wil-a4b1_71_badger-25,badger,European_Badger#species,case>,in,ADP,23,case> in,-0.2930195475644449,0.0150762020105452,Life__life,free_topic,6,8
5,Bad-5841_101_badger-4,badger,European_Badger#species,compound<nsubj:pass<conj>,ingredient,NOUN,27,compound<nsubj:pass<conj> ...,-0.3105174492166799,0.21850543420303237,Life__life,free_topic,4,5
4,Chrac69_4_Chromista-7,Chromista,Chromista#kingdom,compound<det>,the,DET,6,compound<det> the,0.45317730589268745,-0.1710600468984944,Life__life,free_topic,4,5
0,Eur-3123_105_badger-2,badger,European_Badger#species,amod>,european,ADJ,1,amod> european,-0.1876737904012567,0.01907762670807322,Life__life,free_topic,4,5
0,Eurf4d7_11_badgers-2,badgers,European_Badger#species,amod>,Predatory,ADJ,1,amod> Predatory,-0.02062047611016826,0.10699234555105253,Life__life,free_topic,4,5
0,Pre10d6_41_badgers-2,badgers,European_Badger#species,amod>,Predatory,ADJ,1,amod> Predatory,-0.02062047611016826,0.10699234555105253,Life__life,free_topic,4,5
3,Ame-86f0_78_badgers-13,badgers,European_Badger#species,conj<case>,by,ADP,10,conj<case> by,0.39667198025502554,-0.05880123601963966,Life__life,free_topic,3,21
4,Ame-86f0_78_badgers-13,badgers,European_Badger#species,conj<,muskrat,NOUN,11,conj< ...,0.6115207521956162,0.07843400903505157,Life__life,free_topic,3,21
5,Bla-30a4_36_badger-27,badger,European_Badger#species,conj<case>,such,ADJ,15,conj<case> such,0.4733128643303387,0.028688436454184955,Life__life,free_topic,3,21
