,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Coc-c9dc_204_Coccolithophores-1,Coccolithophores,Coccolithophore#order,nsubj<det>,the,DET,3,nsubj<det> the,-0.18885208541215165,0.22130360406781555,Life__life,taxongroup_topic,5,6
4,Coc-c9dc_138_Coccolithophorids-1,Coccolithophorids,Coccolithophore#order,nsubj:pass<obl>amod>,single,ADJ,6,nsubj:pass<obl>amod> ...,-0.2064270493665466,0.25997213428380234,Life__life,taxongroup_topic,5,6
5,Coc-c9dc_138_Coccolithophorids-1,Coccolithophorids,Coccolithophore#order,nsubj:pass<obl>amod>,free,ADJ,8,nsubj:pass<obl>amod> ...,-0.18245798798277355,0.09958910363338912,Life__life,taxongroup_topic,5,6
6,Coc-c9dc_138_Coccolithophorids-1,Coccolithophorids,Coccolithophore#order,nsubj:pass<obl>amod>,float,VERB,10,nsubj:pass<obl>amod> ...,-0.1629312265704441,0.11089287597646381,Life__life,taxongroup_topic,5,6
7,Coc-c9dc_138_Coccolithophorids-1,Coccolithophorids,Coccolithophore#order,nsubj:pass<obl>amod>,haploid,ADJ,11,nsubj:pass<obl>amod> ...,-0.48436431534340885,0.21918439250210048,Life__life,taxongroup_topic,5,6
1,Coc-c9dc_200_Coccoliths-1,Coccoliths,Coccolithophore#order,nsubj<det>,the,DET,3,nsubj<det> the,-0.18885208541215165,0.22130360406781555,Life__life,taxongroup_topic,5,6
2,Bad-5841_7_badgers-7,badgers,European_Badger#species,nmod<,species,NOUN,3,nmod< ...,0.16627932586520572,-0.11849733481392932,Life__life,taxongroup_topic,5,6
3,Bad-5841_7_badgers-7,badgers,European_Badger#species,case>,of,ADP,4,case> of,0.5967734687607743,0.11287014464877235,Life__life,taxongroup_topic,5,6
6,Bad-5841_6_badger-10,badger,European_Badger#species,nsubj<det>,the,DET,12,nsubj<det> the,-0.18885208541215165,0.22130360406781555,Life__life,taxongroup_topic,5,6
5,Coc-c9dc_209_coccolith-3,coccolith,Coccolithophore#order,nsubj<det>,a,DET,9,nsubj<det> ...,-0.24033184461518675,0.2749496176261905,Life__life,taxongroup_topic,5,6
