,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl>obj> ...,0,0.037,2,93,Life__life,free_topic
1,acl> ...,0,0.011,1,93,Life__life,free_topic
2,acl> dig,0,0.015,1,93,Life__life,free_topic
3,acl>obj> ...,0,0.008,1,93,Life__life,free_topic
4,amod> ...,0,-0.006,1,93,Life__life,free_topic
7,amod> american,0,0.006,1,93,Life__life,free_topic
8,amod> european,0,0.019,2,93,Life__life,free_topic
9,appos> ...,0,0.011,1,93,Life__life,free_topic
10,appos> mele,0,0.015,1,93,Life__life,free_topic
11,appos> taxus,0,0.015,1,93,Life__life,free_topic
12,appos>compound> ...,0,0.023,1,93,Life__life,free_topic
13,appos>compound> Mele,0,0.011,1,93,Life__life,free_topic
14,appos>compound> Taxidea,0,0.015,1,93,Life__life,free_topic
15,case> ...,0,0.031,2,93,Life__life,free_topic
23,compound< ...,0,0.027,3,93,Life__life,free_topic
25,compound<amod> ...,0,0.037,2,93,Life__life,free_topic
28,compound<conj< ...,0,0.011,1,93,Life__life,free_topic
30,compound<det> the,0,0.037,2,93,Life__life,free_topic
35,compound> honey,0,-0.002,1,93,Life__life,free_topic
37,conj< coyote,0,0.011,1,93,Life__life,free_topic
44,conj<appos> ...,0,0.037,2,93,Life__life,free_topic
52,conj<conj> ...,0,-0.026,2,93,Life__life,free_topic
56,conj<conj> eagle,0,0.011,1,93,Life__life,free_topic
58,conj<conj> hawk,0,0.031,2,93,Life__life,free_topic
63,conj<conj>amod> ...,0,0.002,2,93,Life__life,free_topic
65,conj<conj>amod> ferruginous,0,0.015,1,93,Life__life,free_topic
66,conj<conj>amod> golden,0,0.015,1,93,Life__life,free_topic
67,conj<conj>amod> red,0,0.011,1,93,Life__life,free_topic
68,conj<conj>appos> ...,0,0.059,3,93,Life__life,free_topic
70,conj<conj>cc> and,0,-0.013,1,93,Life__life,free_topic
75,conj<cop> be,0,0.011,1,93,Life__life,free_topic
109,conj> ...,0,0.133,9,93,Life__life,free_topic
111,conj>cc> ...,0,0.023,1,93,Life__life,free_topic
112,conj>cc> and,0,0.104,6,93,Life__life,free_topic
115,det> the,0,0.041,4,93,Life__life,free_topic
130,nsubj< ...,0,-0.006,1,93,Life__life,free_topic
138,nsubj<advmod> why,0,0.015,1,93,Life__life,free_topic
155,obj< ...,0,0.056,4,93,Life__life,free_topic
156,obj< include,0,0.015,1,93,Life__life,free_topic
157,obj<appos>appos> ...,0,0.091,4,93,Life__life,free_topic
158,obj<appos>conj> ...,0,0.091,4,93,Life__life,free_topic
159,obj<conj> ...,0,0.011,1,93,Life__life,free_topic
160,obj<conj>cc> ...,0,0.023,1,93,Life__life,free_topic
162,obj<conj>obj> ...,0,0.011,1,93,Life__life,free_topic
163,obj<nsubj> ...,0,0.067,4,93,Life__life,free_topic
164,obj<nsubj> predator,0,0.015,1,93,Life__life,free_topic
165,obj<nsubj>amod> ...,0,0.074,4,93,Life__life,free_topic
166,obl< ...,0,0.006,1,93,Life__life,free_topic
169,obl>case> ...,0,0.011,1,93,Life__life,free_topic
205,compound> honey,1,0.001,2,143,Life__life,free_topic
206,conj< ...,1,0.05,9,143,Life__life,free_topic
207,conj< coyote,1,0.004,1,143,Life__life,free_topic
210,conj< raccoon,1,0.024,2,143,Life__life,free_topic
217,conj<case> include,1,0.025,3,143,Life__life,free_topic
219,conj<case> such,1,-0.004,1,143,Life__life,free_topic
220,conj<case>fixed> as,1,-0.004,1,143,Life__life,free_topic
222,conj<conj> ...,1,0.352,38,143,Life__life,free_topic
223,conj<conj> bird,1,0.018,2,143,Life__life,free_topic
224,conj<conj> coyote,1,0.011,2,143,Life__life,free_topic
225,conj<conj> crow,1,0.047,4,143,Life__life,free_topic
226,conj<conj> eagle,1,0.004,1,143,Life__life,free_topic
227,conj<conj> fox,1,0.071,7,143,Life__life,free_topic
229,conj<conj> hedgehog,1,0.036,4,143,Life__life,free_topic
230,conj<conj> marten,1,0.036,3,143,Life__life,free_topic
231,conj<conj> pig,1,0.036,3,143,Life__life,free_topic
232,conj<conj> skunk,1,0.029,3,143,Life__life,free_topic
233,conj<conj>amod> ...,1,0.01,4,143,Life__life,free_topic
234,conj<conj>amod> domestic,1,0.024,2,143,Life__life,free_topic
238,conj<conj>appos> ...,1,0.002,1,143,Life__life,free_topic
240,conj<conj>cc> and,1,0.116,15,143,Life__life,free_topic
