,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,0.012,1,51,Life__life,taxongroup_topic
1,amod> ...,0,0.0,2,51,Life__life,taxongroup_topic
6,appos> ...,0,-0.002,1,51,Life__life,taxongroup_topic
7,case> ...,0,0.02,1,51,Life__life,taxongroup_topic
8,case> of,0,0.249,8,51,Life__life,taxongroup_topic
34,det> the,0,-0.005,1,51,Life__life,taxongroup_topic
35,nmod< ...,0,0.249,8,51,Life__life,taxongroup_topic
36,nmod<amod> ...,0,0.167,5,51,Life__life,taxongroup_topic
37,nmod<case> ...,0,0.201,6,51,Life__life,taxongroup_topic
38,nmod<det> a,0,0.067,2,51,Life__life,taxongroup_topic
39,nmod<det> the,0,0.149,5,51,Life__life,taxongroup_topic
40,nmod<nmod< ...,0,0.134,4,51,Life__life,taxongroup_topic
41,nmod<nmod<amod> ...,0,0.067,2,51,Life__life,taxongroup_topic
42,nmod<nmod<amod> overall,0,0.067,2,51,Life__life,taxongroup_topic
43,nmod<nmod<det> the,0,0.1,3,51,Life__life,taxongroup_topic
84,cc> and,1,0.124,1,17,Life__life,taxongroup_topic
85,cc> or,1,0.124,1,17,Life__life,taxongroup_topic
86,compound< ...,1,0.051,1,17,Life__life,taxongroup_topic
93,compound<det> the,1,0.083,1,17,Life__life,taxongroup_topic
98,conj< ...,1,0.201,2,17,Life__life,taxongroup_topic
107,conj<nsubj< ...,1,0.1,1,17,Life__life,taxongroup_topic
109,det> the,1,0.183,2,17,Life__life,taxongroup_topic
126,nsubj< ...,1,0.141,2,17,Life__life,taxongroup_topic
127,nsubj< mele,1,0.33,2,17,Life__life,taxongroup_topic
130,nsubj<appos> ...,1,0.1,1,17,Life__life,taxongroup_topic
144,nsubj<obj> ...,1,0.373,3,17,Life__life,taxongroup_topic
152,appos< ...,2,0.1,1,17,Life__life,taxongroup_topic
153,appos<appos> ...,2,1.29,9,17,Life__life,taxongroup_topic
154,appos<appos>conj> ...,2,0.825,5,17,Life__life,taxongroup_topic
155,appos<conj> ...,2,0.201,2,17,Life__life,taxongroup_topic
227,appos< ...,3,0.034,1,32,Life__life,taxongroup_topic
228,appos<appos> ...,3,0.124,4,32,Life__life,taxongroup_topic
230,appos<conj> ...,3,0.221,4,32,Life__life,taxongroup_topic
248,conj< ...,3,0.067,2,32,Life__life,taxongroup_topic
249,conj< weasel,3,0.136,2,32,Life__life,taxongroup_topic
250,conj<conj> ...,3,0.407,6,32,Life__life,taxongroup_topic
251,conj<conj> J.,3,0.136,2,32,Life__life,taxongroup_topic
252,conj<conj> mink,3,0.136,2,32,Life__life,taxongroup_topic
253,conj<conj>cc> and,3,0.272,4,32,Life__life,taxongroup_topic
254,conj<conj>flat> ...,3,0.068,1,32,Life__life,taxongroup_topic
255,conj<conj>flat> E.,3,0.136,2,32,Life__life,taxongroup_topic
256,conj<conj>flat> Gray,3,0.136,2,32,Life__life,taxongroup_topic
351,nsubj< ...,4,0.127,1,9,Life__life,taxongroup_topic
357,nsubj<conj> ...,4,0.228,1,9,Life__life,taxongroup_topic
358,nsubj<conj>advmod> ...,4,0.26,1,9,Life__life,taxongroup_topic
360,nsubj<conj>cc> and,4,0.305,1,9,Life__life,taxongroup_topic
361,nsubj<conj>obl> ...,4,0.228,1,9,Life__life,taxongroup_topic
362,nsubj<cop> be,4,0.166,1,9,Life__life,taxongroup_topic
365,nsubj<nmod> ...,4,0.183,1,9,Life__life,taxongroup_topic
367,nsubj<nmod>case> of,4,0.204,1,9,Life__life,taxongroup_topic
368,nsubj<nmod>det> the,4,0.26,1,9,Life__life,taxongroup_topic
375,acl:relcl> ...,5,-0.001,1,102,Life__life,taxongroup_topic
376,amod> ...,5,0.072,9,102,Life__life,taxongroup_topic
377,appos< ...,5,-0.001,1,102,Life__life,taxongroup_topic
381,appos> ...,5,-0.008,1,102,Life__life,taxongroup_topic
383,case> of,5,-0.012,1,102,Life__life,taxongroup_topic
409,det> the,5,0.018,4,102,Life__life,taxongroup_topic
410,nmod< ...,5,-0.012,1,102,Life__life,taxongroup_topic
414,nmod<det> the,5,-0.008,1,102,Life__life,taxongroup_topic
419,nsubj:pass< ...,5,0.02,2,102,Life__life,taxongroup_topic
420,nsubj:pass< find,5,0.02,2,102,Life__life,taxongroup_topic
421,nsubj:pass<aux:pass> be,5,0.04,4,102,Life__life,taxongroup_topic
422,nsubj:pass<obl> ...,5,0.02,2,102,Life__life,taxongroup_topic
423,nsubj:pass<obl> cell,5,0.02,2,102,Life__life,taxongroup_topic
424,nsubj:pass<obl>amod> ...,5,0.04,4,102,Life__life,taxongroup_topic
425,nsubj:pass<obl>case> ...,5,0.04,4,102,Life__life,taxongroup_topic
426,nsubj< ...,5,0.045,7,102,Life__life,taxongroup_topic
428,nsubj< reach,5,0.02,2,102,Life__life,taxongroup_topic
429,nsubj<amod> ...,5,0.06,6,102,Life__life,taxongroup_topic
430,nsubj<appos> ...,5,0.012,2,102,Life__life,taxongroup_topic
431,nsubj<appos>amod> ...,5,0.03,3,102,Life__life,taxongroup_topic
432,nsubj<conj> ...,5,0.021,3,102,Life__life,taxongroup_topic
433,nsubj<conj>advmod> ...,5,0.012,2,102,Life__life,taxongroup_topic
434,nsubj<conj>cc> ...,5,0.01,1,102,Life__life,taxongroup_topic
435,nsubj<conj>cc> and,5,0.003,1,102,Life__life,taxongroup_topic
436,nsubj<conj>obl> ...,5,0.021,3,102,Life__life,taxongroup_topic
437,nsubj<cop> be,5,0.051,6,102,Life__life,taxongroup_topic
438,nsubj<det> ...,5,0.01,1,102,Life__life,taxongroup_topic
439,nsubj<det> the,5,0.03,3,102,Life__life,taxongroup_topic
440,nsubj<nmod> ...,5,0.041,5,102,Life__life,taxongroup_topic
441,nsubj<nmod>case> ...,5,0.01,1,102,Life__life,taxongroup_topic
442,nsubj<nmod>case> of,5,0.031,4,102,Life__life,taxongroup_topic
443,nsubj<nmod>det> the,5,0.012,2,102,Life__life,taxongroup_topic
444,nsubj<obj> ...,5,0.009,3,102,Life__life,taxongroup_topic
445,obj< ...,5,0.012,2,102,Life__life,taxongroup_topic
446,obj< produce,5,0.012,2,102,Life__life,taxongroup_topic
447,obj<advmod> ...,5,0.006,2,102,Life__life,taxongroup_topic
449,obj<nsubj> ...,5,0.006,2,102,Life__life,taxongroup_topic
