	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Life__life	304
1	adaptation_comment	adaptation_topic	0.6426198364049904	Life__life	304
2	adaptation_comment	free_topic	0.5971961186299924	Life__life	304
3	adaptation_comment	location_comment	0.6931471805599453	Life__life	304
4	adaptation_comment	location_topic	0.6233490618916652	Life__life	304
5	adaptation_comment	taxongroup_comment	0.6270913975532665	Life__life	304
6	adaptation_comment	taxongroup_topic	0.6390632417146755	Life__life	304
7	adaptation_topic	adaptation_comment	0.6426198364049904	Life__life	304
8	adaptation_topic	adaptation_topic	0.0	Life__life	304
9	adaptation_topic	free_topic	0.6172964945545818	Life__life	304
10	adaptation_topic	location_comment	0.6512683093589773	Life__life	304
11	adaptation_topic	location_topic	0.576581243816569	Life__life	304
12	adaptation_topic	taxongroup_comment	0.6210579997206845	Life__life	304
13	adaptation_topic	taxongroup_topic	0.6216187334708678	Life__life	304
14	free_topic	adaptation_comment	0.5971961186299924	Life__life	304
15	free_topic	adaptation_topic	0.6172964945545818	Life__life	304
16	free_topic	free_topic	0.0	Life__life	304
17	free_topic	location_comment	0.6480756076220651	Life__life	304
18	free_topic	location_topic	0.6800374308810776	Life__life	304
19	free_topic	taxongroup_comment	0.5787976548362745	Life__life	304
20	free_topic	taxongroup_topic	0.5357888640127407	Life__life	304
21	location_comment	adaptation_comment	0.6931471805599453	Life__life	304
22	location_comment	adaptation_topic	0.6512683093589773	Life__life	304
23	location_comment	free_topic	0.6480756076220651	Life__life	304
24	location_comment	location_comment	0.0	Life__life	304
25	location_comment	location_topic	0.6931471805599453	Life__life	304
26	location_comment	taxongroup_comment	0.6931471805599454	Life__life	304
27	location_comment	taxongroup_topic	0.5873438164749867	Life__life	304
28	location_topic	adaptation_comment	0.6233490618916652	Life__life	304
29	location_topic	adaptation_topic	0.576581243816569	Life__life	304
30	location_topic	free_topic	0.6800374308810776	Life__life	304
31	location_topic	location_comment	0.6931471805599453	Life__life	304
32	location_topic	location_topic	0.0	Life__life	304
33	location_topic	taxongroup_comment	0.6601974549111895	Life__life	304
34	location_topic	taxongroup_topic	0.6059110933771392	Life__life	304
35	taxongroup_comment	adaptation_comment	0.6270913975532665	Life__life	304
36	taxongroup_comment	adaptation_topic	0.6210579997206845	Life__life	304
37	taxongroup_comment	free_topic	0.5787976548362745	Life__life	304
38	taxongroup_comment	location_comment	0.6931471805599454	Life__life	304
39	taxongroup_comment	location_topic	0.6601974549111895	Life__life	304
40	taxongroup_comment	taxongroup_comment	0.0	Life__life	304
41	taxongroup_comment	taxongroup_topic	0.6485763370607737	Life__life	304
42	taxongroup_topic	adaptation_comment	0.6390632417146755	Life__life	304
43	taxongroup_topic	adaptation_topic	0.6216187334708678	Life__life	304
44	taxongroup_topic	free_topic	0.5357888640127407	Life__life	304
45	taxongroup_topic	location_comment	0.5873438164749867	Life__life	304
46	taxongroup_topic	location_topic	0.6059110933771392	Life__life	304
47	taxongroup_topic	taxongroup_comment	0.6485763370607737	Life__life	304
48	taxongroup_topic	taxongroup_topic	0.0	Life__life	304
