feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj>amod> ...,0.96,0.0,0.756,0.03,6,Lizard__suborder,adaptation_topic
nsubj<obl>case> in,0.938,0.001,0.764,0.027,8,Lizard__suborder,adaptation_topic
nsubj<obl>case> to,0.928,0.001,0.764,0.027,3,Lizard__suborder,adaptation_topic
conj>amod> common,0.915,0.001,0.756,0.03,2,Lizard__suborder,adaptation_topic
nsubj<obj>amod> active,0.912,0.002,0.756,0.03,2,Lizard__suborder,adaptation_topic
nsubj<obj> change,0.897,0.003,0.756,0.03,2,Lizard__suborder,adaptation_topic
nmod> ...,0.896,0.003,0.577,0.134,6,Lizard__suborder,adaptation_topic
nmod>case> in,0.89,0.003,0.577,0.134,4,Lizard__suborder,adaptation_topic
nsubj<obl>compound> ...,0.887,0.003,0.764,0.027,3,Lizard__suborder,adaptation_topic
nsubj<obl>case> ...,0.868,0.005,0.577,0.134,5,Lizard__suborder,adaptation_topic
nmod>case> ...,0.862,0.006,0.577,0.134,2,Lizard__suborder,adaptation_topic
nsubj:pass<aux:pass> be,0.839,0.009,0.577,0.134,9,Lizard__suborder,adaptation_topic
conj> lizard,0.824,0.012,0.764,0.027,5,Lizard__suborder,adaptation_topic
conj>cc> and,0.818,0.013,0.764,0.027,5,Lizard__suborder,adaptation_topic
conj> monitor,0.813,0.014,0.764,0.027,4,Lizard__suborder,adaptation_topic
nsubj<obl>case> from,0.79,0.02,0.577,0.134,2,Lizard__suborder,adaptation_topic
nsubj<cop> be,0.781,0.022,0.385,0.346,10,Lizard__suborder,adaptation_topic
nsubj<amod> ...,-0.778,0.023,-0.546,0.162,4,Lizard__suborder,adaptation_topic
conj< lizard,0.772,0.025,0.577,0.134,2,Lizard__suborder,adaptation_topic
nsubj< have,0.771,0.025,0.845,0.008,3,Lizard__suborder,adaptation_topic
conj< ...,0.768,0.026,0.674,0.067,4,Lizard__suborder,adaptation_topic
conj<conj> H.,0.757,0.03,0.577,0.134,4,Lizard__suborder,adaptation_topic
acl:relcl>obl>conj> iguana,0.754,0.031,0.577,0.134,2,Lizard__suborder,adaptation_topic
compound> thorny,-0.754,0.031,-0.577,0.134,5,Lizard__suborder,adaptation_topic
nsubj:pass<obl>case> ...,0.741,0.036,0.577,0.134,3,Lizard__suborder,adaptation_topic
nsubj< use,0.741,0.036,0.845,0.008,3,Lizard__suborder,adaptation_topic
obj<nsubj>flat> ...,-0.739,0.036,-0.577,0.134,1,Lizard__suborder,adaptation_topic
cc> or,0.734,0.038,0.577,0.134,2,Lizard__suborder,adaptation_topic
conj<conj> gibbon,0.732,0.039,0.577,0.134,6,Lizard__suborder,adaptation_topic
obj<nsubj> John,0.731,0.039,0.577,0.134,2,Lizard__suborder,adaptation_topic
nmod:poss>case> 's,-0.73,0.04,-0.732,0.039,3,Lizard__suborder,adaptation_topic
conj<appos> gibbon,0.729,0.04,0.577,0.134,2,Lizard__suborder,adaptation_topic
acl:relcl>obl>conj> ...,0.723,0.043,0.577,0.134,1,Lizard__suborder,adaptation_topic
nmod>amod> ...,0.714,0.047,0.577,0.134,3,Lizard__suborder,adaptation_topic
conj<conj<conj> etc,0.708,0.05,0.577,0.134,3,Lizard__suborder,adaptation_topic
nsubj<obl> cm,0.696,0.055,0.577,0.134,2,Lizard__suborder,adaptation_topic
nsubj<obj>amod> ...,0.685,0.061,0.729,0.04,6,Lizard__suborder,adaptation_topic
nsubj< lay,0.683,0.062,0.756,0.03,4,Lizard__suborder,adaptation_topic
nsubj<obl>nmod> ...,0.679,0.064,0.546,0.162,3,Lizard__suborder,adaptation_topic
compound> slow,-0.677,0.065,-0.577,0.134,4,Lizard__suborder,adaptation_topic
nsubj<obl> ...,0.675,0.066,0.546,0.162,12,Lizard__suborder,adaptation_topic
