feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
cc> as,0.967,0.0,0.866,0.005,4,Lizard__suborder,free_topic
nsubj<advmod> ...,0.956,0.0,0.749,0.033,20,Lizard__suborder,free_topic
xcomp< ...,0.95,0.0,0.756,0.03,2,Lizard__suborder,free_topic
nsubj<obl>case> for,0.928,0.001,0.756,0.03,2,Lizard__suborder,free_topic
conj< ...,0.926,0.001,0.611,0.108,78,Lizard__suborder,free_topic
conj< earthworm,0.916,0.001,0.764,0.027,3,Lizard__suborder,free_topic
conj< rodent,0.914,0.001,0.764,0.027,5,Lizard__suborder,free_topic
nsubj<obj> ability,0.913,0.002,0.577,0.134,2,Lizard__suborder,free_topic
conj> ...,0.912,0.002,0.33,0.425,62,Lizard__suborder,free_topic
conj< mammal,0.911,0.002,0.764,0.027,6,Lizard__suborder,free_topic
nmod< ...,0.91,0.002,0.674,0.067,66,Lizard__suborder,free_topic
nmod< those,0.909,0.002,0.655,0.078,6,Lizard__suborder,free_topic
nsubj<obl>case> on,0.909,0.002,0.764,0.027,5,Lizard__suborder,free_topic
nsubj<obl>case> ...,0.908,0.002,0.764,0.027,12,Lizard__suborder,free_topic
nsubj<obl>det> a,0.906,0.002,0.577,0.134,2,Lizard__suborder,free_topic
conj>amod> small,0.905,0.002,0.764,0.027,8,Lizard__suborder,free_topic
nsubj<obl>nummod> ...,0.904,0.002,0.577,0.134,5,Lizard__suborder,free_topic
obj<nsubj>amod> generic,-0.901,0.002,-0.577,0.134,2,Lizard__suborder,free_topic
nmod< group,0.899,0.002,0.577,0.134,4,Lizard__suborder,free_topic
nsubj<obl>case> to,0.899,0.002,0.639,0.088,7,Lizard__suborder,free_topic
conj<nmod<conj> ...,0.899,0.002,0.577,0.134,3,Lizard__suborder,free_topic
conj> rodent,0.898,0.002,0.764,0.027,3,Lizard__suborder,free_topic
conj< snake,0.898,0.002,0.764,0.027,13,Lizard__suborder,free_topic
conj> snake,0.891,0.003,0.464,0.247,15,Lizard__suborder,free_topic
nsubj<obl>det> the,0.89,0.003,0.627,0.096,10,Lizard__suborder,free_topic
conj<conj< ...,0.887,0.003,0.577,0.134,5,Lizard__suborder,free_topic
conj> mammal,0.886,0.003,0.764,0.027,6,Lizard__suborder,free_topic
nsubj<obl>case> in,0.884,0.004,0.577,0.134,10,Lizard__suborder,free_topic
