feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
case> in,0.895,0.003,0.866,0.005,7,Lizard__suborder,location_comment
conj> ...,0.894,0.003,0.822,0.012,6,Lizard__suborder,location_comment
appos<appos> ...,0.885,0.003,0.577,0.134,6,Lizard__suborder,location_comment
appos<appos> agama,0.818,0.013,0.577,0.134,3,Lizard__suborder,location_comment
appos<appos>compound> ...,0.791,0.019,0.577,0.134,3,Lizard__suborder,location_comment
conj<conj> ...,0.769,0.026,0.655,0.078,9,Lizard__suborder,location_comment
cc> and,0.758,0.029,0.577,0.134,3,Lizard__suborder,location_comment
nmod< ...,0.753,0.031,0.546,0.162,4,Lizard__suborder,location_comment
conj<case> in,0.731,0.039,0.577,0.134,2,Lizard__suborder,location_comment
obl< ...,0.693,0.057,0.66,0.075,5,Lizard__suborder,location_comment
amod> open,0.639,0.088,0.577,0.134,2,Lizard__suborder,location_comment
conj>cc> and,0.639,0.088,0.732,0.039,3,Lizard__suborder,location_comment
conj<conj>cc> and,-0.518,0.188,-0.436,0.28,3,Lizard__suborder,location_comment
conj< ...,0.452,0.261,0.409,0.314,6,Lizard__suborder,location_comment
obj< ...,0.438,0.278,0.282,0.499,3,Lizard__suborder,location_comment
compound<case> ...,-0.42,0.3,-0.412,0.31,6,Lizard__suborder,location_comment
det> the,0.386,0.346,0.327,0.429,7,Lizard__suborder,location_comment
conj>cc> ...,-0.36,0.381,-0.412,0.31,1,Lizard__suborder,location_comment
compound< ...,0.35,0.395,0.412,0.31,9,Lizard__suborder,location_comment
amod> dry,0.344,0.404,0.378,0.356,2,Lizard__suborder,location_comment
appos<appos>amod> ...,0.261,0.533,0.247,0.555,4,Lizard__suborder,location_comment
case> ...,0.12,0.777,0.412,0.31,2,Lizard__suborder,location_comment
compound<det> ...,0.113,0.79,0.247,0.555,1,Lizard__suborder,location_comment
conj<case> ...,-0.103,0.809,-0.126,0.766,2,Lizard__suborder,location_comment
compound> ...,0.095,0.823,0.0,1.0,4,Lizard__suborder,location_comment
compound<det> the,0.088,0.835,0.082,0.846,2,Lizard__suborder,location_comment
amod> ...,0.029,0.945,0.056,0.895,3,Lizard__suborder,location_comment
