feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj< have,0.912,0.002,0.756,0.03,2,Lizard__suborder,location_topic
nsubj<nmod> ...,0.901,0.002,0.577,0.134,3,Lizard__suborder,location_topic
case> of,0.899,0.002,0.873,0.005,9,Lizard__suborder,location_topic
nmod<det> a,0.897,0.003,0.764,0.027,3,Lizard__suborder,location_topic
nsubj< ...,0.888,0.003,0.846,0.008,10,Lizard__suborder,location_topic
conj> ...,0.869,0.005,0.772,0.025,6,Lizard__suborder,location_topic
nmod<amod> ...,0.835,0.01,0.577,0.134,5,Lizard__suborder,location_topic
conj<case> as,0.835,0.01,0.577,0.134,4,Lizard__suborder,location_topic
conj<case> ...,0.834,0.01,0.577,0.134,1,Lizard__suborder,location_topic
nmod< ...,0.831,0.011,0.702,0.052,10,Lizard__suborder,location_topic
nsubj:pass<obl>case> ...,0.796,0.018,0.756,0.03,2,Lizard__suborder,location_topic
nmod< species,0.791,0.019,0.756,0.03,2,Lizard__suborder,location_topic
nsubj<obj>amod> ...,0.789,0.02,0.764,0.027,3,Lizard__suborder,location_topic
nsubj:pass<obl>conj> ...,0.785,0.021,0.764,0.027,15,Lizard__suborder,location_topic
case> in,0.782,0.022,0.756,0.03,2,Lizard__suborder,location_topic
cc> ...,0.772,0.025,0.577,0.134,1,Lizard__suborder,location_topic
nsubj<obl>det> ...,0.77,0.025,0.764,0.027,3,Lizard__suborder,location_topic
conj> lizard,0.77,0.025,0.732,0.039,3,Lizard__suborder,location_topic
conj< ...,0.767,0.026,0.577,0.134,2,Lizard__suborder,location_topic
nmod>case> in,0.761,0.028,0.577,0.134,3,Lizard__suborder,location_topic
conj>cc> and,0.756,0.03,0.733,0.039,4,Lizard__suborder,location_topic
nmod>case> ...,0.755,0.03,0.577,0.134,1,Lizard__suborder,location_topic
nmod<case> ...,0.748,0.033,0.577,0.134,5,Lizard__suborder,location_topic
cc> or,0.745,0.034,0.577,0.134,2,Lizard__suborder,location_topic
conj< devil,0.744,0.034,0.577,0.134,3,Lizard__suborder,location_topic
nsubj<obl>case> in,0.741,0.035,0.733,0.039,3,Lizard__suborder,location_topic
nsubj<obj>amod> active,0.74,0.036,0.577,0.134,2,Lizard__suborder,location_topic
nsubj<advcl> ...,0.74,0.036,0.546,0.162,3,Lizard__suborder,location_topic
nsubj:pass<aux:pass> be,0.726,0.041,0.764,0.027,8,Lizard__suborder,location_topic
nsubj< species,0.712,0.047,0.577,0.134,2,Lizard__suborder,location_topic
conj>amod> ...,0.71,0.048,0.481,0.227,5,Lizard__suborder,location_topic
nsubj< lizard,0.704,0.051,0.63,0.094,2,Lizard__suborder,location_topic
conj> shingleback,0.703,0.052,0.577,0.134,2,Lizard__suborder,location_topic
nsubj<advmod> ...,0.701,0.053,0.764,0.027,5,Lizard__suborder,location_topic
conj>cc> or,0.699,0.054,0.678,0.065,5,Lizard__suborder,location_topic
nmod<det> the,0.682,0.062,0.577,0.134,2,Lizard__suborder,location_topic
appos>flat> vivipara,0.663,0.073,0.577,0.134,2,Lizard__suborder,location_topic
nsubj:pass<obl>case> for,0.661,0.074,0.577,0.134,2,Lizard__suborder,location_topic
conj<conj>amod> thorny,-0.66,0.075,-0.577,0.134,4,Lizard__suborder,location_topic
appos> Varanus,0.655,0.078,0.577,0.134,2,Lizard__suborder,location_topic
nsubj<obj> ...,0.654,0.078,0.396,0.332,9,Lizard__suborder,location_topic
nmod> ...,0.651,0.08,0.577,0.134,4,Lizard__suborder,location_topic
nsubj< use,0.651,0.081,0.655,0.078,3,Lizard__suborder,location_topic
nsubj<obl>case> ...,0.648,0.082,0.733,0.039,4,Lizard__suborder,location_topic
conj< lizard,0.645,0.084,0.577,0.134,2,Lizard__suborder,location_topic
appos>flat> ...,0.643,0.085,0.577,0.134,3,Lizard__suborder,location_topic
nsubj<obj> change,0.642,0.086,0.577,0.134,2,Lizard__suborder,location_topic
nsubj>amod> ...,0.633,0.092,0.218,0.604,3,Lizard__suborder,location_topic
nsubj:pass< ...,0.625,0.097,0.546,0.162,6,Lizard__suborder,location_topic
nsubj<obl> ...,0.611,0.108,0.592,0.122,7,Lizard__suborder,location_topic
nsubj<conj> ...,0.603,0.113,0.507,0.2,6,Lizard__suborder,location_topic
nmod:poss>case> 's,-0.601,0.115,-0.436,0.28,3,Lizard__suborder,location_topic
nsubj:pass<obl>case> in,0.596,0.119,0.577,0.134,4,Lizard__suborder,location_topic
nsubj<conj>det> the,0.595,0.12,0.63,0.094,2,Lizard__suborder,location_topic
appos<conj>det> ...,0.585,0.128,0.577,0.134,1,Lizard__suborder,location_topic
appos<conj> ...,0.579,0.132,0.577,0.134,4,Lizard__suborder,location_topic
nsubj<cop> be,0.577,0.134,0.436,0.28,6,Lizard__suborder,location_topic
nsubj<nmod> lizard,-0.563,0.146,-0.577,0.134,2,Lizard__suborder,location_topic
nsubj<obj>compound> ...,0.562,0.147,0.577,0.134,1,Lizard__suborder,location_topic
nsubj<conj>det> ...,0.547,0.16,0.504,0.203,2,Lizard__suborder,location_topic
appos<conj>det> the,0.536,0.171,0.577,0.134,2,Lizard__suborder,location_topic
compound> thorny,-0.526,0.181,-0.412,0.31,2,Lizard__suborder,location_topic
nsubj<obj>compound> colour,0.514,0.192,0.577,0.134,2,Lizard__suborder,location_topic
conj<conj>amod> ...,-0.505,0.202,-0.577,0.134,1,Lizard__suborder,location_topic
nsubj:pass< find,0.498,0.209,0.577,0.134,2,Lizard__suborder,location_topic
conj<conj>cc> and,0.497,0.211,0.412,0.31,2,Lizard__suborder,location_topic
conj>cc> ...,-0.479,0.23,-0.577,0.134,1,Lizard__suborder,location_topic
nmod<cop> be,0.477,0.232,0.546,0.162,3,Lizard__suborder,location_topic
appos> ...,0.475,0.234,0.409,0.314,14,Lizard__suborder,location_topic
conj<conj>cc> ...,0.47,0.24,0.412,0.31,1,Lizard__suborder,location_topic
nsubj<obj>nmod:poss> its,0.467,0.244,0.504,0.203,2,Lizard__suborder,location_topic
nsubj:pass<obl> ...,0.457,0.255,0.592,0.122,8,Lizard__suborder,location_topic
compound> sand,-0.45,0.263,-0.424,0.295,21,Lizard__suborder,location_topic
nsubj<advmod> however,0.449,0.264,0.412,0.31,2,Lizard__suborder,location_topic
nsubj<aux> do,0.447,0.267,0.412,0.31,2,Lizard__suborder,location_topic
det> the,0.446,0.268,0.266,0.524,37,Lizard__suborder,location_topic
nsubj<advcl>obj> ...,0.435,0.281,0.483,0.225,3,Lizard__suborder,location_topic
nsubj<obj>nmod:poss> ...,0.427,0.292,0.577,0.134,1,Lizard__suborder,location_topic
compound> marine,0.422,0.297,0.378,0.356,2,Lizard__suborder,location_topic
conj<conj> Jesus,0.403,0.322,0.412,0.31,2,Lizard__suborder,location_topic
nsubj<nmod>case> of,0.398,0.329,0.343,0.406,3,Lizard__suborder,location_topic
amod> viviparous,0.389,0.341,0.36,0.381,6,Lizard__suborder,location_topic
amod> thorny,0.384,0.347,0.365,0.374,5,Lizard__suborder,location_topic
appos<nsubj<nmod> ...,-0.382,0.35,-0.412,0.31,3,Lizard__suborder,location_topic
nsubj< spend,0.366,0.372,0.252,0.547,2,Lizard__suborder,location_topic
obl< ...,0.362,0.378,0.483,0.225,4,Lizard__suborder,location_topic
appos< ...,0.362,0.379,0.0,1.0,5,Lizard__suborder,location_topic
nmod:poss> Smith,0.352,0.392,0.109,0.797,3,Lizard__suborder,location_topic
nsubj<det> a,0.346,0.401,0.344,0.405,5,Lizard__suborder,location_topic
nsubj<aux> have,0.345,0.403,0.412,0.31,2,Lizard__suborder,location_topic
case> 's,-0.337,0.415,-0.412,0.31,2,Lizard__suborder,location_topic
amod> asian,-0.324,0.434,-0.507,0.2,3,Lizard__suborder,location_topic
cop> be,0.289,0.488,0.282,0.499,3,Lizard__suborder,location_topic
conj<conj> moloch,0.279,0.504,0.247,0.555,2,Lizard__suborder,location_topic
conj<conj> dragon,0.276,0.508,0.247,0.555,2,Lizard__suborder,location_topic
nsubj<nmod>case> ...,0.275,0.51,0.247,0.555,2,Lizard__suborder,location_topic
amod> Viviparous,-0.25,0.55,-0.247,0.555,5,Lizard__suborder,location_topic
compound> shingleback,0.244,0.56,0.126,0.766,2,Lizard__suborder,location_topic
conj<det> the,0.24,0.567,0.247,0.555,6,Lizard__suborder,location_topic
case> to,0.236,0.574,0.378,0.356,2,Lizard__suborder,location_topic
appos> behavior,0.231,0.582,0.082,0.846,2,Lizard__suborder,location_topic
nsubj<amod> ...,0.206,0.625,0.394,0.334,3,Lizard__suborder,location_topic
conj<conj> ...,0.199,0.637,0.082,0.846,2,Lizard__suborder,location_topic
nsubj>det> the,0.178,0.673,0.169,0.689,3,Lizard__suborder,location_topic
nsubj:pass<obl>det> ...,-0.169,0.69,-0.082,0.846,3,Lizard__suborder,location_topic
nsubj<conj>cc> ...,0.161,0.703,0.252,0.547,2,Lizard__suborder,location_topic
compound> water,0.161,0.704,0.169,0.689,3,Lizard__suborder,location_topic
nsubj<conj>nsubj> ...,0.16,0.704,0.156,0.712,3,Lizard__suborder,location_topic
nsubj> lizard,0.157,0.711,0.126,0.766,2,Lizard__suborder,location_topic
nsubj<aux> can,0.149,0.725,0.126,0.766,2,Lizard__suborder,location_topic
nsubj> ...,-0.142,0.737,0.082,0.846,1,Lizard__suborder,location_topic
case> ...,0.133,0.754,0.082,0.846,2,Lizard__suborder,location_topic
nsubj<conj>cc> and,0.128,0.762,0.126,0.766,2,Lizard__suborder,location_topic
appos> description,0.118,0.781,0.082,0.846,2,Lizard__suborder,location_topic
conj<conj> lizard,0.117,0.782,0.082,0.846,2,Lizard__suborder,location_topic
compound> ...,-0.09,0.833,0.166,0.694,9,Lizard__suborder,location_topic
conj<compound> mountain,-0.083,0.845,-0.082,0.846,3,Lizard__suborder,location_topic
compound> Tiliqua,0.081,0.848,0.247,0.555,4,Lizard__suborder,location_topic
nsubj<obj>nmod> ...,-0.077,0.855,-0.312,0.452,4,Lizard__suborder,location_topic
amod> dwarf,0.071,0.867,-0.082,0.846,5,Lizard__suborder,location_topic
conj<compound> ...,0.063,0.883,0.247,0.555,1,Lizard__suborder,location_topic
nsubj<acl>conj> ...,0.061,0.885,0.082,0.846,3,Lizard__suborder,location_topic
compound< ...,0.059,0.89,0.247,0.555,5,Lizard__suborder,location_topic
det> a,-0.058,0.891,-0.169,0.689,3,Lizard__suborder,location_topic
amod> male,-0.054,0.898,0.0,1.0,2,Lizard__suborder,location_topic
nsubj:pass<obl>amod> ...,-0.032,0.941,-0.247,0.555,3,Lizard__suborder,location_topic
compound< lizard,-0.028,0.948,0.082,0.846,3,Lizard__suborder,location_topic
case> such,0.027,0.95,0.252,0.547,2,Lizard__suborder,location_topic
amod> ...,0.022,0.959,0.0,1.0,8,Lizard__suborder,location_topic
amod> common,-0.005,0.991,-0.17,0.688,5,Lizard__suborder,location_topic
