feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<nsubj> snake,0.985,0.0,0.577,0.134,3,Lizard__suborder,taxongroup_comment
conj<obl<conj> ...,0.979,0.0,0.577,0.134,5,Lizard__suborder,taxongroup_comment
conj< evolve,0.977,0.0,0.577,0.134,3,Lizard__suborder,taxongroup_comment
cc> and,0.965,0.0,0.385,0.346,16,Lizard__suborder,taxongroup_comment
cc> or,0.958,0.0,0.109,0.797,7,Lizard__suborder,taxongroup_comment
conj< lizard,0.954,0.0,0.577,0.134,7,Lizard__suborder,taxongroup_comment
nmod> Varanidae,0.952,0.0,0.577,0.134,2,Lizard__suborder,taxongroup_comment
cc> as,0.945,0.0,0.577,0.134,4,Lizard__suborder,taxongroup_comment
conj<nsubj<obj> ...,0.941,0.0,0.577,0.134,3,Lizard__suborder,taxongroup_comment
nmod> world,0.941,0.0,0.577,0.134,2,Lizard__suborder,taxongroup_comment
appos< ...,0.941,0.001,0.932,0.001,11,Lizard__suborder,taxongroup_comment
conj<case> by,0.938,0.001,0.577,0.134,2,Lizard__suborder,taxongroup_comment
nmod> ...,0.935,0.001,0.498,0.209,30,Lizard__suborder,taxongroup_comment
nmod>case> of,0.931,0.001,0.577,0.134,4,Lizard__suborder,taxongroup_comment
nmod>case> ...,0.93,0.001,0.577,0.134,3,Lizard__suborder,taxongroup_comment
obj<acl:relcl< ...,0.929,0.001,0.577,0.134,1,Lizard__suborder,taxongroup_comment
conj< ...,0.928,0.001,0.385,0.346,28,Lizard__suborder,taxongroup_comment
conj< human,0.924,0.001,0.577,0.134,2,Lizard__suborder,taxongroup_comment
conj<case> ...,0.921,0.001,0.577,0.134,4,Lizard__suborder,taxongroup_comment
appos<nmod>case> ...,0.921,0.001,0.577,0.134,4,Lizard__suborder,taxongroup_comment
nmod>case> like,0.921,0.001,0.764,0.027,6,Lizard__suborder,taxongroup_comment
nmod>case> from,0.918,0.001,0.577,0.134,3,Lizard__suborder,taxongroup_comment
nmod>case> to,0.918,0.001,0.577,0.134,2,Lizard__suborder,taxongroup_comment
appos<nmod<det> ...,0.916,0.001,0.577,0.134,1,Lizard__suborder,taxongroup_comment
conj<case> of,0.915,0.001,0.764,0.027,3,Lizard__suborder,taxongroup_comment
nsubj:pass<obl>case> in,0.912,0.002,0.577,0.134,2,Lizard__suborder,taxongroup_comment
conj<obl> ...,0.91,0.002,0.764,0.027,3,Lizard__suborder,taxongroup_comment
nmod>case> with,0.906,0.002,0.577,0.134,2,Lizard__suborder,taxongroup_comment
nsubj< carnivorous,0.904,0.002,0.577,0.134,2,Lizard__suborder,taxongroup_comment
conj<obl>amod> ...,0.902,0.002,0.577,0.134,3,Lizard__suborder,taxongroup_comment
nmod<obj<nsubj> lizard,-0.899,0.002,-0.756,0.03,2,Lizard__suborder,taxongroup_comment
nmod> lizard,0.899,0.002,0.674,0.067,9,Lizard__suborder,taxongroup_comment
