,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Liz-2f75_168_herbivorous-4,herbivorous,Herbivore#adaptation,amod<nsubj<cop>,be,AUX,6,amod<nsubj<cop> be,-0.2447975457397274,0.03526234665109443,Lizard__suborder,adaptation_comment,0,10
4,Igu-7d5f_2_herbivorous-14,herbivorous,Herbivore#adaptation,amod<case>,of,ADP,13,amod<case> of,0.2590519394487758,0.19066575080875678,Lizard__suborder,adaptation_comment,0,10
3,Liz-2f75_155_herbivorous-28,herbivorous,Herbivore#adaptation,amod<case>,than,ADP,26,amod<case> than,0.16510657161072706,0.1650323661034515,Lizard__suborder,adaptation_comment,0,10
3,Kom-6ea1_91_predators-5,predators,Predation#adaptation,amod>,apex,ADJ,4,amod> apex,-0.4015153730624282,-0.2958160016962005,Lizard__suborder,adaptation_comment,0,10
0,Tho-9ab9_22_Camouflage-1,Camouflage,Camouflage#adaptation,conj>cc>,and,CCONJ,2,conj>cc> and,-0.23718062616136937,0.03738522811047232,Lizard__suborder,adaptation_comment,0,10
0,Viv-ac84_136_polymorphism-2,polymorphism,Polymorphism_biology#adaptation,amod>,Colour,ADJ,1,amod> ...,-0.2358315568822913,-0.19219877304535832,Lizard__suborder,adaptation_comment,0,10
2,Viv-ac84_40_viviparous-2,viviparous,Vivipary#adaptation,amod<nsubj<cop>,be,AUX,4,amod<nsubj<cop> be,-0.2447975457397274,0.03526234665109443,Lizard__suborder,adaptation_comment,0,10
6,Gib-8392_5_dimorphism-31,dimorphism,Sexual_dimorphism#adaptation,amod>,low,ADJ,29,amod> ...,-0.18633366192526357,-0.06149181879872551,Lizard__suborder,adaptation_comment,0,10
7,Gib-8392_5_dimorphism-31,dimorphism,Sexual_dimorphism#adaptation,amod>,sexual,ADJ,30,amod> sexual,-0.06487986301255588,-0.13171596600608843,Lizard__suborder,adaptation_comment,0,10
4,Viv-ac84_23_viviparous-13,viviparous,Vivipary#adaptation,amod<case>,in,ADP,12,amod<case> ...,0.2484097290130034,0.12048502838736022,Lizard__suborder,adaptation_comment,0,10
4,Viv-ac84_78_viviparous-28,viviparous,Vivipary#adaptation,amod<case>,of,ADP,26,amod<case> of,0.2590519394487758,0.19066575080875678,Lizard__suborder,adaptation_comment,0,10
6,Asi-7d4f_106_predators-13,predators,Predation#adaptation,obj<,fend,VERB,11,obj< ...,-0.31139728132191663,0.07999853786063724,Lizard__suborder,adaptation_comment,5,6
