,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
0,Per-a3bf_57_Perentie-1,Perentie,Perentie#species,appos>,Gallery,PROPN,3,appos> ...,0.2179719235890494,-0.23465436901137968,Lizard__suborder,adaptation_topic,0,35
1,Per-a3bf_63_Perentie-1,Perentie,Perentie#species,appos>,read,NOUN,4,appos> ...,0.2453549041772136,-0.12967519230947333,Lizard__suborder,adaptation_topic,0,35
0,Tho-9ab9_44_devil-2,devil,Thorny_Devil#species,compound>,thorny,PROPN,1,compound> thorny,-0.26028304927137214,0.056096460172546436,Lizard__suborder,adaptation_topic,0,35
1,Tho-9ab9_44_devil-2,devil,Thorny_Devil#species,appos>,diet,PROPN,4,appos> ...,0.026492272200851156,-0.05538150594105922,Lizard__suborder,adaptation_topic,0,35
0,Tho-9ab9_53_devil-2,devil,Thorny_Devil#species,compound>,thorny,PROPN,1,compound> thorny,-0.26028304927137214,0.056096460172546436,Lizard__suborder,adaptation_topic,0,35
1,Tho-9ab9_53_devil-2,devil,Thorny_Devil#species,appos>,Reproduction,PROPN,4,appos> Reproduction,0.2620328196636201,-0.19750685668343082,Lizard__suborder,adaptation_topic,0,35
1,Asi-7d4f_110_monitor-3,monitor,Water_monitor#species,compound>,water,NOUN,2,compound> water,-0.22961123089819577,-0.03514970621262499,Lizard__suborder,adaptation_topic,0,35
1,Asi-7d4f_107_monitor-3,monitor,Water_monitor#species,compound>,water,NOUN,2,compound> water,-0.22961123089819577,-0.03514970621262499,Lizard__suborder,adaptation_topic,0,35
1,Asi-7d4f_20_monitor-3,monitor,Water_monitor#species,compound>,water,NOUN,2,compound> water,-0.22961123089819577,-0.03514970621262499,Lizard__suborder,adaptation_topic,0,35
1,Asi-7d4f_12_monitor-3,monitor,Water_monitor#species,compound>,water,NOUN,2,compound> water,-0.22961123089819577,-0.03514970621262499,Lizard__suborder,adaptation_topic,0,35
1,Asi-7d4f_101_monitor-3,monitor,Water_monitor#species,compound>,water,NOUN,2,compound> water,-0.22961123089819577,-0.03514970621262499,Lizard__suborder,adaptation_topic,0,35
1,Asi-7d4f_89_monitor-3,monitor,Water_monitor#species,compound>,water,NOUN,2,compound> water,-0.22961123089819577,-0.03514970621262499,Lizard__suborder,adaptation_topic,0,35
0,Kno-f762_5_gecko-4,gecko,Nephrurus#genus,amod>obl:npmod>,Knob,PROPN,1,amod>obl:npmod> Knob,-0.36099019107304015,-0.09564289447290134,Lizard__suborder,adaptation_topic,0,35
2,Kno-f762_5_gecko-4,gecko,Nephrurus#genus,appos>,description,NOUN,6,appos> description,0.296890378330792,-0.09864037580594841,Lizard__suborder,adaptation_topic,0,35
0,Kno-f762_13_gecko-4,gecko,Gecko#family,amod>obl:npmod>,Knob,PROPN,1,amod>obl:npmod> Knob,-0.36099019107304015,-0.09564289447290134,Lizard__suborder,adaptation_topic,0,35
2,Kno-f762_13_gecko-4,gecko,Gecko#family,appos>,reference,NOUN,6,appos> reference,0.2662552449393276,-0.13374352198087058,Lizard__suborder,adaptation_topic,0,35
1,Fri-c770_31_lizard-2,lizard,Lizard#suborder,appos>,description,NOUN,4,appos> description,0.296890378330792,-0.09864037580594841,Lizard__suborder,adaptation_topic,0,35
1,Fri-c770_17_lizard-2,lizard,Frill-necked_Lizard#species,appos>,Taxonomy,NOUN,4,appos> Taxonomy,0.3451836867155859,-0.14721754182170763,Lizard__suborder,adaptation_topic,0,35
0,Gal-c07a_26_iguana-3,iguana,Iguanidae#family,compound>,Galapagos,PROPN,1,compound> Galapagos,-0.040659562240484254,0.04181717936734722,Lizard__suborder,adaptation_topic,0,35
1,Gal-c07a_26_iguana-3,iguana,Iguanidae#family,compound>,land,NOUN,2,compound> land,-0.30474935008990733,-0.0866357802501914,Lizard__suborder,adaptation_topic,0,35
0,Gal-c07a_33_iguana-3,iguana,Iguanidae#family,compound>,Galapagos,PROPN,1,compound> Galapagos,-0.040659562240484254,0.04181717936734722,Lizard__suborder,adaptation_topic,0,35
1,Gal-c07a_33_iguana-3,iguana,Iguanidae#family,compound>,land,NOUN,2,compound> land,-0.30474935008990733,-0.0866357802501914,Lizard__suborder,adaptation_topic,0,35
0,San-a712_60_lizard-2,lizard,Lizard#suborder,compound>,sand,PROPN,1,compound> sand,-0.24912149664025227,-0.027257028274791796,Lizard__suborder,adaptation_topic,0,35
1,San-a712_60_lizard-2,lizard,Lizard#suborder,appos>,Reproduction,NOUN,4,appos> Reproduction,0.2620328196636201,-0.19750685668343082,Lizard__suborder,adaptation_topic,0,35
0,San-a712_75_lizard-2,lizard,Lizard#suborder,compound>,sand,PROPN,1,compound> sand,-0.24912149664025227,-0.027257028274791796,Lizard__suborder,adaptation_topic,0,35
1,San-a712_75_lizard-2,lizard,Lizard#suborder,appos>,Reproduction,NOUN,4,appos> Reproduction,0.2620328196636201,-0.19750685668343082,Lizard__suborder,adaptation_topic,0,35
0,San-a712_51_lizard-2,lizard,Lizard#suborder,compound>,sand,PROPN,1,compound> sand,-0.24912149664025227,-0.027257028274791796,Lizard__suborder,adaptation_topic,0,35
1,San-a712_51_lizard-2,lizard,Lizard#suborder,appos>,behavior,PROPN,4,appos> ...,0.07534410111444796,-0.005287749340331197,Lizard__suborder,adaptation_topic,0,35
0,Slo-13c7_51_worm-2,worm,Anguis_fragilis#species,compound>,slow,NOUN,1,compound> slow,-0.05061756930518852,0.06596295240802931,Lizard__suborder,adaptation_topic,0,35
