,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
2,Add-f0f0_104_worms-4,worms,Anguis_fragilis#species,nsubj:pass<aux:pass>,be,AUX,5,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
11,Aga-1152_2_lizards-11,lizards,Lizard#suborder,amod>obl>case>,to,ADP,13,amod>obl>case> to,0.45870112643012667,0.22908308115300094,Lizard__suborder,free_topic,0,17
3,Ame-fe9c_154_iguanas-5,iguanas,Iguanidae#family,nsubj:pass<aux:pass>,be,AUX,6,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
1,Ant-f3cd_192_lizards-47,lizards,Lizard#suborder,obl<acl<det>,the,DET,38,obl<acl<det> the,0.43109404619175196,0.20933354009258665,Lizard__suborder,free_topic,0,17
0,Bur-08d7_22_Lizards-1,Lizards,Lizard#suborder,nsubj:pass<aux:pass>,be,AUX,2,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
5,Capa7dd_4_chameleons-3,chameleons,Chameleon#family,nsubj:pass<aux:pass>,be,AUX,7,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
0,Cha7ec0_3_Chameleons-1,Chameleons,Chameleon#family,nsubj:pass<aux:pass>,be,AUX,2,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
9,Das-ed91_167_lizards-13,lizards,Lizard#suborder,nsubj:pass<aux:pass>,be,AUX,16,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
5,Liz-2f75_102_geckos-20,geckos,Gecko#family,amod>obl>case>,during,ADP,8,amod>obl>case> ...,0.39145913053467163,0.2242276117252682,Lizard__suborder,free_topic,0,17
2,Mar-bb56_16_iguana-3,iguana,Iguanidae#family,nsubj:pass<aux:pass>,be,AUX,4,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
6,Mic-5fc5_181_lizard-9,lizard,Lizard#suborder,appos>,Indrasaurus,PROPN,11,appos> ...,-0.5223089340425207,0.269939398886537,Lizard__suborder,free_topic,0,17
6,Seec767_33_lizards-14,lizards,Lizard#suborder,nsubj:pass<aux:pass>,be,AUX,18,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
2,Slo-13c7_13_worms-2,worms,Anguis_fragilis#species,nsubj:pass<aux:pass>,be,AUX,4,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
0,Sna-dfa9_200_lizards-17,lizards,Lizard#suborder,obl<acl<det>,a,DET,12,obl<acl<det> a,0.4735356343339653,0.24520340626589351,Lizard__suborder,free_topic,0,17
0,Tho-9ab9_11_lizard-6,lizard,Lizard#suborder,obl<acl<det>,the,DET,1,obl<acl<det> the,0.43109404619175196,0.20933354009258665,Lizard__suborder,free_topic,0,17
6,Uro19a6_3_gecko-9,gecko,Gecko#family,nsubj:pass<aux:pass>,be,AUX,10,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
1,Rep-aa64_217_lizards-2,lizards,Lizard#suborder,nsubj:pass<aux:pass>,be,AUX,3,nsubj:pass<aux:pass> be,0.5111638319156289,0.26069222933030656,Lizard__suborder,free_topic,0,17
0,Ang9f03_1_worms-2,worms,Anguis_fragilis#species,amod>,slow,ADJ,1,amod> slow,0.6121243089240733,-0.2411765490257441,Lizard__suborder,free_topic,1,34
2,Apa-3e1a_2_lizard-7,lizard,Lizard#suborder,amod>,deceptive,ADJ,6,amod> ...,0.43236327514447526,-0.33881675251611665,Lizard__suborder,free_topic,1,34
0,Aseefb5_10_lizards-2,lizards,Lizard#suborder,amod>,Lesbian,ADJ,1,amod> ...,0.6534975268206442,-0.2088212860124406,Lizard__suborder,free_topic,1,34
2,Bro-4c07_10_lizard-4,lizard,Lizard#suborder,amod>,flat,ADJ,3,amod> flat,0.6559704347679632,-0.42124367664890855,Lizard__suborder,free_topic,1,34
2,Bro-4c07_13_lizard-4,lizard,Lizard#suborder,amod>,flat,ADJ,3,amod> flat,0.6559704347679632,-0.42124367664890855,Lizard__suborder,free_topic,1,34
2,Bro-4c07_1_lizard-4,lizard,Lizard#suborder,amod>,flat,ADJ,3,amod> flat,0.6559704347679632,-0.42124367664890855,Lizard__suborder,free_topic,1,34
0,Capa7dd_1_lizards-2,lizards,Lizard#suborder,amod>,Eggless,ADJ,1,amod> Eggless,0.8441665606735056,-0.3533361588842223,Lizard__suborder,free_topic,1,34
3,Car-ed40_2_lizard-10,lizard,Lizard#suborder,amod>,tooth,VERB,9,amod> tooth,0.8535911987322699,-0.36155238576518667,Lizard__suborder,free_topic,1,34
3,Das-ed91_2_lizard-16,lizard,Lizard#suborder,amod>,frightful,ADJ,15,amod> ...,0.5197420911966281,-0.48696162031006623,Lizard__suborder,free_topic,1,34
0,Desbe19_16_lizard-2,lizard,Lizard#suborder,amod>,tough,ADJ,1,amod> ...,0.6610912834259909,-0.4140621791260564,Lizard__suborder,free_topic,1,34
0,Fri-c770_109_lizard-2,lizard,Frill-necked_Lizard#species,amod>,Frilled,VERB,1,amod> ...,0.7727158984962234,-0.39620656114169167,Lizard__suborder,free_topic,1,34
0,Gecefef_2_lizard-2,lizard,Lizard#suborder,amod>,float,VERB,1,amod> ...,0.6042952413142038,-0.37672917513988297,Lizard__suborder,free_topic,1,34
0,Gecefef_4_gecko-2,gecko,Gecko#family,amod>,Gorgeous,ADJ,1,amod> ...,0.798556250570511,-0.4619981313400273,Lizard__suborder,free_topic,1,34
3,Lizaf6e_10_lizard-5,lizard,Lizard#suborder,amod>,pregnant,ADJ,4,amod> ...,0.6264273134248226,-0.31546934171091057,Lizard__suborder,free_topic,1,34
0,Lizaf6e_14_lizard-2,lizard,Lizard#suborder,amod>,rare,ADJ,1,amod> ...,0.6609290669557472,-0.34035690904850335,Lizard__suborder,free_topic,1,34
0,Mat389e_31_lizards-2,lizards,Lizard#suborder,amod>,Eggless,ADJ,1,amod> Eggless,0.8441665606735056,-0.3533361588842223,Lizard__suborder,free_topic,1,34
0,Ovi9292_56_lizards-2,lizards,Lizard#suborder,amod>,Eggless,ADJ,1,amod> Eggless,0.8441665606735056,-0.3533361588842223,Lizard__suborder,free_topic,1,34
0,Ovo99d1_7_worms-2,worms,Anguis_fragilis#species,amod>,slow,ADJ,1,amod> slow,0.6121243089240733,-0.2411765490257441,Lizard__suborder,free_topic,1,34
0,Par424a_4_lizards-2,lizards,Lizard#suborder,amod>,Lesbian,ADJ,1,amod> ...,0.6534975268206442,-0.2088212860124406,Lizard__suborder,free_topic,1,34
0,Pre1d43_10_lizards-2,lizards,Lizard#suborder,amod>,Eggless,ADJ,1,amod> Eggless,0.8441665606735056,-0.3533361588842223,Lizard__suborder,free_topic,1,34
2,Sana320_12_lizards-4,lizards,Lizard#suborder,amod>,rarest,ADJ,3,amod> ...,0.6377999533580929,-0.32527907383414645,Lizard__suborder,free_topic,1,34
0,Sane9d2_4_lizard-2,lizard,Lizard#suborder,amod>,tough,ADJ,1,amod> ...,0.6610912834259909,-0.4140621791260564,Lizard__suborder,free_topic,1,34
4,Spi-06e4_25_lizard-16,lizard,Lizard#suborder,amod>,egyptian,ADJ,14,amod> ...,0.6052400962789012,-0.4931899866572226,Lizard__suborder,free_topic,1,34
2,Ste-543e_5_lizard-6,lizard,Lizard#suborder,amod>,roof,VERB,5,amod> ...,0.6368779841772045,-0.5111883059787277,Lizard__suborder,free_topic,1,34
3,Ste-56e3_209_lizard-8,lizard,Lizard#suborder,amod>,hoof,VERB,6,amod> ...,0.7532279698201415,-0.45453681585198025,Lizard__suborder,free_topic,1,34
4,Ste-56e3_224_lizard-10,lizard,Lizard#suborder,amod>,faced,ADJ,8,amod> ...,0.591536290010802,-0.3283144382961975,Lizard__suborder,free_topic,1,34
3,Ste-56e3_231_lizard-8,lizard,Lizard#suborder,amod>,furrow,VERB,6,amod> ...,0.7494326202370515,-0.44746803715933975,Lizard__suborder,free_topic,1,34
3,Ste-56e3_253_lizard-8,lizard,Lizard#suborder,amod>,armore,ADJ,6,amod> ...,0.8398606969739779,-0.3793894932969345,Lizard__suborder,free_topic,1,34
1,Tere4b7_41_lizards-3,lizards,Lizard#suborder,amod>,flat,ADJ,2,amod> flat,0.6559704347679632,-0.42124367664890855,Lizard__suborder,free_topic,1,34
0,Uro-49a1_21_geckos-2,geckos,Gecko#family,amod>,Uroplatus,ADJ,1,amod> ...,0.46974098171864825,-0.03196146764613092,Lizard__suborder,free_topic,1,34
0,Viv-ac84_112_lizard-2,lizard,Lizard#suborder,amod>,Viviparous,ADJ,1,amod> ...,0.8317221149082868,-0.12909267604168156,Lizard__suborder,free_topic,1,34
0,Viv-ac84_117_lizard-2,lizard,Lizard#suborder,amod>,Viviparous,ADJ,1,amod> ...,0.8317221149082868,-0.12909267604168156,Lizard__suborder,free_topic,1,34
3,Viv0253_16_lizard-5,lizard,Lizard#suborder,amod>,pregnant,ADJ,4,amod> ...,0.6264273134248226,-0.31546934171091057,Lizard__suborder,free_topic,1,34
0,Komddae_21_lizards-2,lizards,Lizard#suborder,amod>,giant,ADJ,1,amod> giant,0.747537433205006,-0.22248883309889678,Lizard__suborder,free_topic,1,34
0,Aga-1152_14_chameleons-7,chameleons,Chameleon#family,obl<nsubj:pass>det>,this,DET,1,obl<nsubj:pass>det> ...,0.49938645120818237,-0.31511473829728104,Lizard__suborder,free_topic,3,14
5,Cam-4bd8_163_chameleons-46,chameleons,Chameleon#family,conj<,change,VERB,25,conj< ...,0.4279237149286766,0.054967487017877265,Lizard__suborder,free_topic,3,14
3,Cer-4e1c_6_lizards-12,lizards,Lizard#suborder,conj<,Pachycephalosauria,PROPN,6,conj< ...,0.556736848590683,0.2918854765676428,Lizard__suborder,free_topic,3,14
19,Das-ed91_128_dragon-20,dragon,Komodo_dragon#species,appos>,carcass,NOUN,26,appos> ...,-0.11272722386783444,-0.08484119053922204,Lizard__suborder,free_topic,3,14
8,Eur-bc75_358_lizard-34,lizard,Lizard#suborder,appos>,Timon,PROPN,36,appos> Timon,-0.4852922336845448,-0.14749508920075138,Lizard__suborder,free_topic,3,14
11,Fos-88c7_141_lizards-30,lizards,Lizard#suborder,appos>,%,SYM,33,appos> ...,-0.3101910929665356,-0.06737275612445544,Lizard__suborder,free_topic,3,14
4,Har-b746_98_iguanas-5,iguanas,Iguanidae#family,appos>,iguana,NOUN,8,appos> ...,-0.5476668013656891,0.014291411036395238,Lizard__suborder,free_topic,3,14
11,Hib-c4bb_130_lizard-28,lizard,Lizard#suborder,appos>,cornutum,NOUN,31,appos> ...,-0.5605805026054997,-0.1704554045279394,Lizard__suborder,free_topic,3,14
6,Magfafd_4_lizards-30,lizards,Lizard#suborder,conj<,larva,NOUN,28,conj< ...,0.5652165523385629,0.057204638529393795,Lizard__suborder,free_topic,3,14
7,Oce-2d88_490_lizard-7,lizard,Lizard#suborder,amod>obl>case>,to,ADP,9,amod>obl>case> to,0.5616405369292323,-0.18299148755778305,Lizard__suborder,free_topic,3,14
6,San-6e1f_14_Varanus-4,Varanus,Monitor_lizard#genus,appos>,1958,NUM,9,appos> ...,-0.4775516933144448,-0.14724709096668923,Lizard__suborder,free_topic,3,14
9,San-6e1f_14_Varanus-4,Varanus,Monitor_lizard#genus,appos>,Nota,PROPN,14,appos> ...,-0.6494913965212882,-0.013476506089463054,Lizard__suborder,free_topic,3,14
5,Sca785a_3_lizard-8,lizard,Lizard#suborder,appos>,moniker,NOUN,12,appos> ...,-0.5475552636081309,-0.093684218646652,Lizard__suborder,free_topic,3,14
