,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Asi-7d4f_60_swamps-13,swamps,Swamp#habitat,conj<,vegetation,NOUN,11,conj< ...,-0.13272618522238042,-0.035446176007621434,Lizard__suborder,location_comment,0,4
5,Asi-7d4f_60_swamps-13,swamps,Swamp#habitat,conj<conj>,wetland,NOUN,15,conj<conj> ...,-0.21526411680349075,-0.18211004536565845,Lizard__suborder,location_comment,0,4
6,Asi-7d4f_60_swamps-13,swamps,Swamp#habitat,conj<conj>cc>,and,CCONJ,17,conj<conj>cc> and,0.1504924117104181,-0.1842544551104564,Lizard__suborder,location_comment,0,4
7,Asi-7d4f_60_swamps-13,swamps,Swamp#habitat,conj<conj>,elevation,NOUN,18,conj<conj> ...,-0.2681968149735076,-0.12440645002173314,Lizard__suborder,location_comment,0,4
2,San-a712_5_heathlands-30,heathlands,Heath_habitat#habitat,compound>,seaside,NOUN,29,compound> ...,-0.10215599783501739,-0.1424895836131092,Lizard__suborder,location_comment,0,4
1,San-6e1f_14_desert-11,desert,Deserts_and_xeric_shrublands#habitat,compound>,monitor,NOUN,13,compound> ...,-0.14506917722044496,0.10516241092909472,Lizard__suborder,location_comment,0,4
0,Viv-ac84_39_moorland-7,moorland,Moorland#habitat,conj<,heathland,NOUN,5,conj< ...,-0.18066860382513739,-0.04735344297298011,Lizard__suborder,location_comment,0,4
1,Viv-ac84_39_moorland-7,moorland,Moorland#habitat,conj<conj>,woodland,NOUN,9,conj<conj> ...,-0.36924873824257376,-0.21652070798309372,Lizard__suborder,location_comment,0,4
2,Viv-ac84_39_moorland-7,moorland,Moorland#habitat,conj<conj>cc>,and,CCONJ,10,conj<conj>cc> and,0.1504924117104181,-0.1842544551104564,Lizard__suborder,location_comment,0,4
3,Viv-ac84_39_moorland-7,moorland,Moorland#habitat,conj<conj>,grassland,NOUN,11,conj<conj> ...,-0.3442247704941061,-0.19695915493494862,Lizard__suborder,location_comment,0,4
5,Cha-1a30_47_desert-19,desert,Deserts_and_xeric_shrublands#habitat,det>,the,DET,18,det> the,0.3636780586391539,-0.04926013499447404,Lizard__suborder,location_comment,6,4
6,Cha-1a30_47_desert-19,desert,Deserts_and_xeric_shrublands#habitat,conj>cc>,or,CCONJ,20,conj>cc> ...,0.3786091318558044,-0.13020192532189048,Lizard__suborder,location_comment,6,4
7,Cha-1a30_47_desert-19,desert,Deserts_and_xeric_shrublands#habitat,conj>,savanna,NOUN,21,conj> ...,0.5594203200245442,-0.3503086738224481,Lizard__suborder,location_comment,6,4
5,Cam-4bd8_151_desert-24,desert,Deserts_and_xeric_shrublands#habitat,det>,the,DET,22,det> the,0.3636780586391539,-0.04926013499447404,Lizard__suborder,location_comment,6,4
6,Cam-4bd8_151_desert-24,desert,Deserts_and_xeric_shrublands#habitat,amod>,open,ADJ,23,amod> open,0.23931207204071228,0.004996655350149856,Lizard__suborder,location_comment,6,4
8,Cam-4bd8_128_desert-15,desert,Deserts_and_xeric_shrublands#habitat,amod>,open,ADJ,14,amod> open,0.23931207204071228,0.004996655350149856,Lizard__suborder,location_comment,6,4
6,Tho-9ab9_47_desert-9,desert,Deserts_and_xeric_shrublands#habitat,det>,the,DET,7,det> the,0.3636780586391539,-0.04926013499447404,Lizard__suborder,location_comment,6,4
7,Tho-9ab9_47_desert-9,desert,Deserts_and_xeric_shrublands#habitat,amod>,dry,ADJ,8,amod> dry,0.1752918984245575,-0.05749294828021567,Lizard__suborder,location_comment,6,4
3,Tho-9ab9_27_desert-13,desert,Deserts_and_xeric_shrublands#habitat,case>,in,ADP,10,case> in,-0.43342919368223515,0.4451217729638542,Lizard__suborder,location_comment,1,4
5,Tho-9ab9_37_desert-22,desert,Deserts_and_xeric_shrublands#habitat,compound>,Australia,PROPN,17,compound> ...,0.3541403778201692,-0.39533940294350234,Lizard__suborder,location_comment,1,4
4,Liz-2f75_238_desert-15,desert,Deserts_and_xeric_shrublands#habitat,nmod<,dhaab,NUM,9,nmod< ...,-0.35437953842492936,0.04438650746037068,Lizard__suborder,location_comment,1,4
7,Liz-2f75_238_desert-15,desert,Deserts_and_xeric_shrublands#habitat,case>,of,ADP,13,case> ...,-0.46055707960436515,0.4915297631274868,Lizard__suborder,location_comment,1,4
10,Liz-2f75_238_desert-15,desert,Deserts_and_xeric_shrublands#habitat,conj>,eat,VERB,18,conj> ...,-0.31305644385377346,-0.46946248876784297,Lizard__suborder,location_comment,1,4
8,Bog-cdf9_22_moorland-16,moorland,Moorland#habitat,case>,with,ADP,10,case> ...,-0.46850867801211127,0.4982156164251993,Lizard__suborder,location_comment,1,4
13,Bog-cdf9_22_moorland-16,moorland,Moorland#habitat,compound>,Magellanic,PROPN,15,compound> ...,0.34278896348317317,-0.33351323298265384,Lizard__suborder,location_comment,1,4
0,Asi-7d4f_57_swamps-25,swamps,Swamp#habitat,conj<case>,in,ADP,20,conj<case> in,0.06334446966779131,-0.11681730008040632,Lizard__suborder,location_comment,2,3
2,Asi-7d4f_57_swamps-25,swamps,Swamp#habitat,conj<,forests,NOUN,22,conj< ...,0.1716956629220162,0.014021773322357725,Lizard__suborder,location_comment,2,3
3,Asi-7d4f_57_swamps-25,swamps,Swamp#habitat,cc>,and,CCONJ,23,cc> and,0.3344029054618744,-0.14194475973115928,Lizard__suborder,location_comment,2,3
4,Asi-7d4f_57_swamps-25,swamps,Swamp#habitat,amod>,mangrove,ADJ,24,amod> ...,-0.3100463111904829,-0.5049129266204543,Lizard__suborder,location_comment,2,3
0,Tho-9ab9_35_desert-68,desert,Deserts_and_xeric_shrublands#habitat,conj<,pallidus,NOUN,66,conj< ...,0.4718732557758747,0.1875366741847624,Lizard__suborder,location_comment,2,3
1,Tho-9ab9_35_desert-68,desert,Deserts_and_xeric_shrublands#habitat,cc>,and,CCONJ,67,cc> and,0.3344029054618744,-0.14194475973115928,Lizard__suborder,location_comment,2,3
