,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
0,Com-b39d_26_basilisk-2,basilisk,Brown_basilisk#species,amod>,common,ADJ,1,amod> common,0.8463760167680289,-0.36642206039687975,Lizard__suborder,location_topic,0,9
0,Asi-7d4f_62_monitor-3,monitor,Water_monitor#species,amod>,asian,ADJ,1,amod> asian,0.7827133027402479,-0.4123517679079476,Lizard__suborder,location_topic,0,9
0,Viv-ac84_43_lizard-2,lizard,Lizard#suborder,amod>,Viviparous,ADJ,1,amod> Viviparous,0.9846679403185358,-0.7010096637796785,Lizard__suborder,location_topic,0,9
0,Viv-ac84_33_lizard-2,lizard,Lizard#suborder,amod>,Viviparous,ADJ,1,amod> Viviparous,0.9846679403185358,-0.7010096637796785,Lizard__suborder,location_topic,0,9
0,Viv-ac84_31_lizard-2,lizard,Lizard#suborder,amod>,Viviparous,ADJ,1,amod> Viviparous,0.9846679403185358,-0.7010096637796785,Lizard__suborder,location_topic,0,9
0,Viv-ac84_47_lizard-2,lizard,Lizard#suborder,amod>,Viviparous,ADJ,1,amod> Viviparous,0.9846679403185358,-0.7010096637796785,Lizard__suborder,location_topic,0,9
0,Viv-ac84_49_lizard-2,lizard,Lizard#suborder,amod>,Viviparous,ADJ,1,amod> Viviparous,0.9846679403185358,-0.7010096637796785,Lizard__suborder,location_topic,0,9
0,Til-b8a5_22_bobtail-11,bobtail,Tiliqua_rugosa#species,amod>,northern,ADJ,10,amod> ...,0.6834533497942624,-0.29712696738466715,Lizard__suborder,location_topic,0,9
1,Tho-9ab9_26_devil-3,devil,Thorny_Devil#species,amod>,thorny,ADJ,2,amod> thorny,0.8941529461948017,-0.1382883098980582,Lizard__suborder,location_topic,0,9
9,Liz-2f75_178_chameleon-26,chameleon,Chameleon#family,nsubj<,use,VERB,28,nsubj< use,-0.38000188189189815,0.15214641848330737,Lizard__suborder,location_topic,2,15
5,Cam-4bd8_164_chameleon-6,chameleon,Chameleon#family,nsubj<,use,VERB,8,nsubj< use,-0.38000188189189815,0.15214641848330737,Lizard__suborder,location_topic,2,15
8,Cha-1a30_66_chameleons-2,chameleons,Chameleon#family,nsubj<,variety,NOUN,12,nsubj< ...,-0.5497603230013214,0.011639701931676252,Lizard__suborder,location_topic,2,15
5,Com-b39d_4_lizard-17,lizard,Lizard#suborder,conj<conj>,Jesus,PROPN,11,conj<conj> Jesus,-0.40085454468997644,0.19458526298222364,Lizard__suborder,location_topic,2,15
13,Com-b39d_4_lizard-17,lizard,Lizard#suborder,conj<conj>,Jesus,PROPN,22,conj<conj> Jesus,-0.40085454468997644,0.19458526298222364,Lizard__suborder,location_topic,2,15
1,San-a712_41_lizards-2,lizards,Lizard#suborder,nsubj<,spend,VERB,3,nsubj< spend,-0.5548706976546864,0.09239527255598103,Lizard__suborder,location_topic,2,15
5,Tho-9ab9_2_dragon-21,dragon,Thorny_Devil#species,conj<conj>,lizard,NOUN,18,conj<conj> lizard,-0.32389838980563707,-0.16772321001604876,Lizard__suborder,location_topic,2,15
8,Tho-9ab9_2_dragon-21,dragon,Thorny_Devil#species,conj<conj>,moloch,NOUN,24,conj<conj> moloch,-0.4097769210776198,-0.05344372808429786,Lizard__suborder,location_topic,2,15
1,Asi-7d4f_64_monitors-2,monitors,Water_monitor#species,nsubj<,defend,VERB,3,nsubj< ...,-0.4306238411474348,0.224489919631243,Lizard__suborder,location_topic,2,15
5,Tho-9ab9_2_moloch-24,moloch,Thorny_Devil#species,conj<conj>,lizard,NOUN,18,conj<conj> lizard,-0.32389838980563707,-0.16772321001604876,Lizard__suborder,location_topic,2,15
7,Tho-9ab9_2_moloch-24,moloch,Thorny_Devil#species,conj<conj>,dragon,NOUN,21,conj<conj> dragon,-0.4293114005288508,0.19353388279906591,Lizard__suborder,location_topic,2,15
2,Per-a3bf_56_perentie-2,perentie,Perentie#species,nsubj<,lay,VERB,4,nsubj< ...,-0.5442119522566085,0.07708580229967454,Lizard__suborder,location_topic,2,15
2,San-a712_36_lizards-3,lizards,Lizard#suborder,nsubj<,have,VERB,4,nsubj< have,-0.5890300622085791,0.12384734671283001,Lizard__suborder,location_topic,2,15
5,San-a712_36_lizards-19,lizards,Lizard#suborder,nsubj<,smaller,ADJ,22,nsubj< ...,-0.6320267719644028,0.02600947903986156,Lizard__suborder,location_topic,2,15
3,Til-b8a5_67_skink-3,skink,Tiliqua_rugosa#species,nsubj<,become,VERB,5,nsubj< ...,-0.5830173549206575,0.05988445035453192,Lizard__suborder,location_topic,2,15
6,Tho-9ab9_2_lizard-18,lizard,Lizard#suborder,conj<conj>,dragon,NOUN,21,conj<conj> dragon,-0.4293114005288508,0.19353388279906591,Lizard__suborder,location_topic,2,15
8,Tho-9ab9_2_lizard-18,lizard,Lizard#suborder,conj<conj>,moloch,NOUN,24,conj<conj> moloch,-0.4097769210776198,-0.05344372808429786,Lizard__suborder,location_topic,2,15
3,Viv-ac84_40_lizard-3,lizard,Lizard#suborder,nsubj<,native,ADJ,5,nsubj< ...,-0.5256238277472907,-0.07644417546324547,Lizard__suborder,location_topic,2,15
6,Bog-cdf9_52_lizard-6,lizard,Lizard#suborder,conj<conj>,reptile,NOUN,11,conj<conj> ...,-0.09595439586318684,-0.1573345619735041,Lizard__suborder,location_topic,2,15
8,Bog-cdf9_52_lizard-6,lizard,Lizard#suborder,conj<conj>,dwell,NOUN,16,conj<conj> ...,-0.2515343128090098,-0.12867817343752821,Lizard__suborder,location_topic,2,15
2,Com-b39d_27_basilisk-3,basilisk,Brown_basilisk#species,nsubj:pass<aux:pass>,be,AUX,4,nsubj:pass<aux:pass> be,0.6101214279236156,-0.1692092943875525,Lizard__suborder,location_topic,3,13
1,Liz-2f75_178_chameleons-2,chameleons,Chameleon#family,nmod>case>,in,ADP,3,nmod>case> in,0.4925493961790173,-0.4655991028419985,Lizard__suborder,location_topic,3,13
3,Cha-1a30_66_chameleon-5,chameleon,Chameleon#family,nmod>case>,of,ADP,6,nmod>case> ...,0.46331307490018436,-0.4509833975502756,Lizard__suborder,location_topic,3,13
2,Liz-2f75_143_iguana-3,iguana,Iguanidae#family,nsubj:pass<aux:pass>,be,AUX,4,nsubj:pass<aux:pass> be,0.6101214279236156,-0.1692092943875525,Lizard__suborder,location_topic,3,13
4,Tho-9ab9_64_horridus-23,horridus,Thorny_Devil#species,appos<conj>,sprint,NOUN,8,appos<conj> ...,0.46845424057737955,0.33504557571731153,Lizard__suborder,location_topic,3,13
12,Tho-9ab9_64_horridus-23,horridus,Thorny_Devil#species,appos<conj>,devil,PROPN,20,appos<conj> ...,0.4776059258684565,0.41393848217049306,Lizard__suborder,location_topic,3,13
8,Asi-7d4f_3_lizards-9,lizards,Lizard#suborder,nmod>case>,in,ADP,10,nmod>case> in,0.4925493961790173,-0.4655991028419985,Lizard__suborder,location_topic,3,13
13,San-6e1f_2_goanna-19,goanna,Sand_goanna#species,appos<conj>,monitor,NOUN,24,appos<conj> ...,0.31148743106897236,0.44435821498562955,Lizard__suborder,location_topic,3,13
16,San-6e1f_2_goanna-19,goanna,Sand_goanna#species,appos<conj>,species,NOUN,28,appos<conj> ...,0.5383348044008879,0.28999649137135963,Lizard__suborder,location_topic,3,13
6,San-6e1f_10_goanna-8,goanna,Sand_goanna#species,nsubj:pass<aux:pass>,be,AUX,9,nsubj:pass<aux:pass> be,0.6101214279236156,-0.1692092943875525,Lizard__suborder,location_topic,3,13
3,San-a712_33_lizard-3,lizard,Lizard#suborder,nsubj:pass<aux:pass>,be,AUX,5,nsubj:pass<aux:pass> be,0.6101214279236156,-0.1692092943875525,Lizard__suborder,location_topic,3,13
2,San-a712_29_lizards-3,lizards,Lizard#suborder,nsubj:pass<aux:pass>,be,AUX,4,nsubj:pass<aux:pass> be,0.6101214279236156,-0.1692092943875525,Lizard__suborder,location_topic,3,13
2,Tho-9ab9_27_devil-3,devil,Thorny_Devil#species,nsubj:pass<aux:pass>,be,AUX,4,nsubj:pass<aux:pass> be,0.6101214279236156,-0.1692092943875525,Lizard__suborder,location_topic,3,13
4,Tho-9ab9_2_lizard-30,lizard,Lizard#suborder,nmod>case>,in,ADP,31,nmod>case> in,0.4925493961790173,-0.4655991028419985,Lizard__suborder,location_topic,3,13
2,Viv-ac84_73_lizard-3,lizard,Lizard#suborder,nsubj:pass<aux:pass>,be,AUX,4,nsubj:pass<aux:pass> be,0.6101214279236156,-0.1692092943875525,Lizard__suborder,location_topic,3,13
1,Com-b39d_2_basilisk-3,basilisk,Brown_basilisk#species,amod>,common,ADJ,2,amod> common,-0.6205984121761818,0.44366776275049863,Lizard__suborder,location_topic,5,4
3,Cap-f892_162_chameleons-7,chameleons,Chameleon#family,amod>,southern,ADJ,4,amod> ...,-0.5044128595788515,0.40192292845292754,Lizard__suborder,location_topic,5,4
4,Cap-f892_162_chameleons-7,chameleons,Chameleon#family,amod>,african,ADJ,5,amod> ...,-0.6102464910507803,0.4387852655999518,Lizard__suborder,location_topic,5,4
5,Cap-f892_162_chameleons-7,chameleons,Chameleon#family,amod>,dwarf,ADJ,6,amod> dwarf,-0.7370762365281122,0.42213237267207643,Lizard__suborder,location_topic,5,4
1,Viv-ac84_2_lizard-3,lizard,Lizard#suborder,amod>,viviparous,ADJ,2,amod> viviparous,-0.8163663853738912,0.685867320772082,Lizard__suborder,location_topic,5,4
4,Viv-ac84_2_lizard-3,lizard,Lizard#suborder,conj>,lizard,NOUN,7,conj> lizard,-0.6365673962286187,-0.13737920695892675,Lizard__suborder,location_topic,5,4
1,Tho-9ab9_37_devil-3,devil,Thorny_Devil#species,amod>,thorny,ADJ,2,amod> thorny,-0.5512549606045059,0.42920314205646615,Lizard__suborder,location_topic,5,4
3,Per-a3bf_40_perentie-5,perentie,Perentie#species,det>,a,DET,4,det> a,0.5164727214139172,0.19956661020986788,Lizard__suborder,location_topic,7,5
4,San-6e1f_43_goanna-21,goanna,Sand_goanna#species,det>,the,DET,19,det> the,0.5394489762111573,0.17791760829755515,Lizard__suborder,location_topic,7,5
12,Til-b8a5_2_skink-29,skink,Tiliqua_rugosa#species,amod>,tongue,VERB,28,amod> ...,-0.23329657324995218,0.4176364645449602,Lizard__suborder,location_topic,7,5
6,Viv-ac84_23_lizard-14,lizard,Lizard#suborder,amod>,viviparous,ADJ,13,amod> viviparous,-0.6307591494196525,0.695400001366342,Lizard__suborder,location_topic,7,5
4,Viv-ac84_78_lizard-29,lizard,Lizard#suborder,det>,the,DET,27,det> the,0.5394489762111573,0.17791760829755515,Lizard__suborder,location_topic,7,5
5,Viv-ac84_78_lizard-29,lizard,Lizard#suborder,amod>,viviparous,ADJ,28,amod> viviparous,-0.6307591494196525,0.695400001366342,Lizard__suborder,location_topic,7,5
6,Cha-1a30_39_chameleon-9,chameleon,Chameleon#family,amod>,dwarf,ADJ,8,amod> dwarf,0.5960463418724911,-0.2599867058733221,Lizard__suborder,location_topic,6,6
9,Cha-1a30_39_chameleon-9,chameleon,Chameleon#family,conj>,other,NOUN,12,conj> ...,0.5393549591408702,0.029877990469760227,Lizard__suborder,location_topic,6,6
4,Til-b8a5_19_bobtail-4,bobtail,Tiliqua_rugosa#species,conj>,shingleback,NOUN,7,conj> shingleback,0.46515931731240207,0.03804177410395794,Lizard__suborder,location_topic,6,6
3,Til-b8a5_6_bobtail-3,bobtail,Tiliqua_rugosa#species,conj>,shingleback,NOUN,5,conj> shingleback,0.46515931731240207,0.03804177410395794,Lizard__suborder,location_topic,6,6
10,Per-a3bf_12_goanna-15,goanna,Sand_goanna#species,conj>,monitor,NOUN,19,conj> ...,0.40826365956026195,-0.020503818631796827,Lizard__suborder,location_topic,6,6
7,San-a712_2_lizard-11,lizard,Sand_Lizard#species,amod>,lacertid,ADJ,10,amod> ...,0.6844561356136905,-0.2466851900376736,Lizard__suborder,location_topic,6,6
8,Til-b8a5_2_skink-10,skink,Tiliqua_rugosa#species,conj>,lizard,NOUN,13,conj> lizard,0.5505111908454338,0.08923838972833259,Lizard__suborder,location_topic,6,6
7,Com-b39d_45_lizard-22,lizard,Lizard#suborder,det>,the,DET,18,det> the,0.4042237747592802,-0.02465074924379048,Lizard__suborder,location_topic,4,2
12,Com-b39d_45_lizard-22,lizard,Lizard#suborder,conj>,lizard,NOUN,27,conj> lizard,-0.56321686335996,-0.30143893491497276,Lizard__suborder,location_topic,4,2
2,Per-a3bf_36_perentie-7,perentie,Perentie#species,appos<,goanna,NOUN,4,appos< ...,0.23335142016765337,0.018861067508556074,Lizard__suborder,location_topic,4,2
3,Per-a3bf_36_perentie-7,perentie,Perentie#species,det>,the,DET,6,det> the,0.4042237747592802,-0.02465074924379048,Lizard__suborder,location_topic,4,2
5,Per-a3bf_36_perentie-7,perentie,Perentie#species,conj>,freeze,NOUN,9,conj> ...,-0.5218224107220499,0.1425144542924236,Lizard__suborder,location_topic,4,2
10,Per-a3bf_36_perentie-7,perentie,Perentie#species,conj>,remain,VERB,18,conj> ...,-0.53654191020966,-0.1758208763137207,Lizard__suborder,location_topic,4,2
