,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,0.0,3,1583,Lizard__suborder,free_topic
1,acl:relcl> eat,0,0.002,2,1583,Lizard__suborder,free_topic
4,acl:relcl> seem,0,0.002,3,1583,Lizard__suborder,free_topic
5,acl:relcl>advmod> ...,0,0.001,2,1583,Lizard__suborder,free_topic
10,acl:relcl>nsubj> ...,0,0.0,1,1583,Lizard__suborder,free_topic
11,acl:relcl>nsubj> that,0,0.003,6,1583,Lizard__suborder,free_topic
13,acl:relcl>obj> ...,0,0.001,3,1583,Lizard__suborder,free_topic
14,acl:relcl>obl> ...,0,-0.0,2,1583,Lizard__suborder,free_topic
15,acl:relcl>obl>amod> ...,0,0.002,3,1583,Lizard__suborder,free_topic
18,acl:relcl>obl>case> to,0,0.001,2,1583,Lizard__suborder,free_topic
20,acl:relcl>xcomp> do,0,0.002,3,1583,Lizard__suborder,free_topic
21,acl:relcl>xcomp>mark> to,0,0.002,3,1583,Lizard__suborder,free_topic
22,acl:relcl>xcomp>obj> walk,0,0.002,3,1583,Lizard__suborder,free_topic
23,acl> ...,0,0.0,3,1583,Lizard__suborder,free_topic
26,acl>obl> ...,0,-0.001,1,1583,Lizard__suborder,free_topic
28,acl>obl>case> in,0,0.0,1,1583,Lizard__suborder,free_topic
36,advmod> ...,0,-0.001,1,1583,Lizard__suborder,free_topic
38,amod> ...,0,0.013,64,1583,Lizard__suborder,free_topic
40,amod> common,0,0.0,2,1583,Lizard__suborder,free_topic
41,amod> flat,0,-0.001,2,1583,Lizard__suborder,free_topic
42,amod> giant,0,0.002,4,1583,Lizard__suborder,free_topic
44,amod> modern,0,0.001,2,1583,Lizard__suborder,free_topic
45,amod> other,0,0.001,3,1583,Lizard__suborder,free_topic
46,amod> slow,0,0.001,3,1583,Lizard__suborder,free_topic
47,amod> small,0,-0.001,1,1583,Lizard__suborder,free_topic
48,amod> tooth,0,-0.0,1,1583,Lizard__suborder,free_topic
52,amod>compound> ...,0,0.001,2,1583,Lizard__suborder,free_topic
53,amod>conj> ...,0,0.001,2,1583,Lizard__suborder,free_topic
54,amod>conj>cc> ...,0,0.001,1,1583,Lizard__suborder,free_topic
55,amod>conj>cc> or,0,0.0,1,1583,Lizard__suborder,free_topic
56,amod>obl:npmod> ...,0,0.003,4,1583,Lizard__suborder,free_topic
57,amod>obl> ...,0,0.001,2,1583,Lizard__suborder,free_topic
58,amod>obl>case> ...,0,0.001,1,1583,Lizard__suborder,free_topic
59,amod>obl>case> to,0,0.0,1,1583,Lizard__suborder,free_topic
60,amod>obl>conj> ...,0,0.002,3,1583,Lizard__suborder,free_topic
61,appos< ...,0,0.005,15,1583,Lizard__suborder,free_topic
62,appos< lemur,0,0.0,1,1583,Lizard__suborder,free_topic
63,appos< lizard,0,0.0,1,1583,Lizard__suborder,free_topic
64,appos< species,0,0.001,2,1583,Lizard__suborder,free_topic
65,appos<advmod> ...,0,0.0,1,1583,Lizard__suborder,free_topic
67,appos<amod> ...,0,0.002,5,1583,Lizard__suborder,free_topic
69,appos<amod> mark,0,0.0,1,1583,Lizard__suborder,free_topic
70,appos<appos> ...,0,0.002,6,1583,Lizard__suborder,free_topic
71,appos<appos>compound> ...,0,0.0,1,1583,Lizard__suborder,free_topic
72,appos<aux:pass> be,0,0.001,2,1583,Lizard__suborder,free_topic
73,appos<case> ...,0,0.002,3,1583,Lizard__suborder,free_topic
75,appos<compound< ...,0,0.0,1,1583,Lizard__suborder,free_topic
76,appos<compound> ...,0,0.007,9,1583,Lizard__suborder,free_topic
80,appos<det> a,0,0.0,1,1583,Lizard__suborder,free_topic
81,appos<det> some,0,0.0,1,1583,Lizard__suborder,free_topic
82,appos<det> the,0,0.001,4,1583,Lizard__suborder,free_topic
83,appos<flat> ...,0,0.005,7,1583,Lizard__suborder,free_topic
88,appos<nsubj< ...,0,0.003,6,1583,Lizard__suborder,free_topic
89,appos<nsubj< species,0,0.0,1,1583,Lizard__suborder,free_topic
90,appos<nsubj<amod> ...,0,0.0,2,1583,Lizard__suborder,free_topic
91,appos<nsubj<cop> ...,0,0.001,1,1583,Lizard__suborder,free_topic
92,appos<nsubj<cop> be,0,0.002,4,1583,Lizard__suborder,free_topic
93,appos<nsubj<det> a,0,0.001,2,1583,Lizard__suborder,free_topic
94,appos<nsubj<det> the,0,0.001,2,1583,Lizard__suborder,free_topic
95,appos<nsubj<nmod> ...,0,0.0,1,1583,Lizard__suborder,free_topic
96,appos<nsubj<nmod> dinosaur,0,0.0,1,1583,Lizard__suborder,free_topic
97,appos<nsubj<obj> ...,0,0.0,1,1583,Lizard__suborder,free_topic
99,appos<obj< ...,0,0.0,2,1583,Lizard__suborder,free_topic
100,appos<obj<conj> ...,0,0.001,2,1583,Lizard__suborder,free_topic
102,appos<obj<nsubj> he,0,0.002,2,1583,Lizard__suborder,free_topic
103,appos<obl< ...,0,0.002,3,1583,Lizard__suborder,free_topic
104,appos<obl<nsubj> ...,0,0.002,3,1583,Lizard__suborder,free_topic
105,appos<obl> ...,0,0.0,1,1583,Lizard__suborder,free_topic
107,appos<obl>case> from,0,0.0,1,1583,Lizard__suborder,free_topic
108,appos> ...,0,-0.002,1,1583,Lizard__suborder,free_topic
127,case> ...,0,0.003,9,1583,Lizard__suborder,free_topic
128,case> as,0,-0.0,2,1583,Lizard__suborder,free_topic
129,case> for,0,0.003,5,1583,Lizard__suborder,free_topic
131,case> in,0,0.003,7,1583,Lizard__suborder,free_topic
132,case> like,0,0.001,3,1583,Lizard__suborder,free_topic
133,case> of,0,0.045,60,1583,Lizard__suborder,free_topic
134,case> on,0,0.0,2,1583,Lizard__suborder,free_topic
135,case> such,0,-0.0,5,1583,Lizard__suborder,free_topic
136,case> to,0,0.005,10,1583,Lizard__suborder,free_topic
137,case> with,0,0.002,4,1583,Lizard__suborder,free_topic
138,case>fixed> ...,0,0.001,1,1583,Lizard__suborder,free_topic
139,case>fixed> as,0,-0.0,5,1583,Lizard__suborder,free_topic
141,cc> and,0,-0.003,4,1583,Lizard__suborder,free_topic
146,compound< ...,0,0.008,19,1583,Lizard__suborder,free_topic
149,compound< king,0,0.002,2,1583,Lizard__suborder,free_topic
150,compound< lizard,0,0.0,1,1583,Lizard__suborder,free_topic
152,compound< species,0,0.001,3,1583,Lizard__suborder,free_topic
153,compound< squid,0,-0.0,1,1583,Lizard__suborder,free_topic
154,compound<acl:relcl>obj> ...,0,0.0,1,1583,Lizard__suborder,free_topic
155,compound<acl> ...,0,0.0,1,1583,Lizard__suborder,free_topic
156,compound<acl>obl> ...,0,0.0,1,1583,Lizard__suborder,free_topic
157,compound<amod> ...,0,0.001,5,1583,Lizard__suborder,free_topic
158,compound<amod> Hawaiian,0,0.0,1,1583,Lizard__suborder,free_topic
161,compound<appos< ...,0,0.002,3,1583,Lizard__suborder,free_topic
162,compound<appos<case> ...,0,0.001,2,1583,Lizard__suborder,free_topic
163,compound<appos<compound> ...,0,0.001,2,1583,Lizard__suborder,free_topic
164,compound<appos<conj> ...,0,0.002,3,1583,Lizard__suborder,free_topic
165,compound<appos<nsubj< ...,0,0.001,2,1583,Lizard__suborder,free_topic
166,compound<appos> ...,0,-0.0,2,1583,Lizard__suborder,free_topic
168,compound<case> ...,0,0.0,2,1583,Lizard__suborder,free_topic
169,compound<case> of,0,-0.0,2,1583,Lizard__suborder,free_topic
170,compound<case> such,0,0.0,1,1583,Lizard__suborder,free_topic
171,compound<cc> ...,0,0.001,1,1583,Lizard__suborder,free_topic
172,compound<cc> and,0,0.003,4,1583,Lizard__suborder,free_topic
173,compound<compound< ...,0,0.001,2,1583,Lizard__suborder,free_topic
175,compound<compound<cc> and,0,0.0,1,1583,Lizard__suborder,free_topic
176,compound<compound> ...,0,0.002,4,1583,Lizard__suborder,free_topic
177,compound<compound> tyrant,0,0.0,1,1583,Lizard__suborder,free_topic
178,compound<conj< ...,0,0.005,6,1583,Lizard__suborder,free_topic
179,compound<conj<case> ...,0,0.002,3,1583,Lizard__suborder,free_topic
180,compound<conj<case> in,0,0.002,2,1583,Lizard__suborder,free_topic
181,compound<conj<conj> ...,0,0.003,4,1583,Lizard__suborder,free_topic
182,compound<conj<conj> Nephrurus,0,0.002,2,1583,Lizard__suborder,free_topic
183,compound<conj> ...,0,0.001,3,1583,Lizard__suborder,free_topic
185,compound<conj>cc> ...,0,0.001,1,1583,Lizard__suborder,free_topic
186,compound<conj>cc> and,0,0.001,2,1583,Lizard__suborder,free_topic
187,compound<conj>nmod> ...,0,0.0,1,1583,Lizard__suborder,free_topic
188,compound<det> ...,0,0.0,1,1583,Lizard__suborder,free_topic
