,feat,cluster,pw_entr,feat_n,N,group,relrole
0,amod> ...,0,0.002,1,56,Lizard__suborder,location_topic
1,amod> Viviparous,0,0.195,5,56,Lizard__suborder,location_topic
2,amod> asian,0,0.019,1,56,Lizard__suborder,location_topic
3,amod> common,0,0.01,1,56,Lizard__suborder,location_topic
6,amod> thorny,0,0.01,1,56,Lizard__suborder,location_topic
13,appos> ...,0,0.232,8,56,Lizard__suborder,location_topic
15,appos> behavior,0,0.078,2,56,Lizard__suborder,location_topic
16,appos> description,0,0.078,2,56,Lizard__suborder,location_topic
19,case> 's,0,0.078,2,56,Lizard__suborder,location_topic
27,compound< ...,0,0.195,5,56,Lizard__suborder,location_topic
28,compound< lizard,0,0.117,3,56,Lizard__suborder,location_topic
30,compound> Tiliqua,0,0.156,4,56,Lizard__suborder,location_topic
32,compound> sand,0,0.174,8,56,Lizard__suborder,location_topic
34,compound> thorny,0,0.078,2,56,Lizard__suborder,location_topic
35,compound> water,0,0.019,1,56,Lizard__suborder,location_topic
53,conj> ...,0,0.007,1,56,Lizard__suborder,location_topic
59,conj>cc> or,0,0.01,1,56,Lizard__suborder,location_topic
62,det> the,0,-0.026,2,56,Lizard__suborder,location_topic
89,nsubj< spend,0,0.027,1,56,Lizard__suborder,location_topic
91,nsubj<acl>conj> ...,0,0.117,3,56,Lizard__suborder,location_topic
112,nsubj<obj> ...,0,-0.0,1,56,Lizard__suborder,location_topic
120,nsubj<obj>nmod> ...,0,0.014,1,56,Lizard__suborder,location_topic
132,amod> asian,1,0.098,1,21,Lizard__suborder,location_topic
165,compound> water,1,0.098,1,21,Lizard__suborder,location_topic
192,det> the,1,-0.021,1,21,Lizard__suborder,location_topic
205,nsubj:pass< ...,1,0.065,1,21,Lizard__suborder,location_topic
207,nsubj:pass<aux:pass> be,1,0.052,1,21,Lizard__suborder,location_topic
208,nsubj:pass<obl> ...,1,0.052,1,21,Lizard__suborder,location_topic
210,nsubj:pass<obl>case> ...,1,0.118,1,21,Lizard__suborder,location_topic
213,nsubj:pass<obl>conj> ...,1,2.065,14,21,Lizard__suborder,location_topic
260,amod> ...,2,-0.002,2,142,Lizard__suborder,location_topic
263,amod> common,2,-0.002,1,142,Lizard__suborder,location_topic
264,amod> dwarf,2,0.016,3,142,Lizard__suborder,location_topic
265,amod> male,2,0.004,1,142,Lizard__suborder,location_topic
266,amod> thorny,2,0.005,2,142,Lizard__suborder,location_topic
267,amod> viviparous,2,0.002,2,142,Lizard__suborder,location_topic
273,appos> ...,2,-0.01,1,142,Lizard__suborder,location_topic
283,case> such,2,0.004,1,142,Lizard__suborder,location_topic
285,cc> ...,2,0.009,1,142,Lizard__suborder,location_topic
286,cc> or,2,0.018,2,142,Lizard__suborder,location_topic
289,compound> ...,2,-0.004,2,142,Lizard__suborder,location_topic
291,compound> marine,2,0.004,1,142,Lizard__suborder,location_topic
292,compound> sand,2,-0.015,3,142,Lizard__suborder,location_topic
293,compound> shingleback,2,0.004,1,142,Lizard__suborder,location_topic
296,conj< ...,2,0.018,2,142,Lizard__suborder,location_topic
297,conj< devil,2,0.027,3,142,Lizard__suborder,location_topic
298,conj< lizard,2,0.018,2,142,Lizard__suborder,location_topic
299,conj<case> ...,2,0.009,1,142,Lizard__suborder,location_topic
300,conj<case> as,2,0.035,4,142,Lizard__suborder,location_topic
301,conj<compound> ...,2,0.009,1,142,Lizard__suborder,location_topic
302,conj<compound> mountain,2,0.027,3,142,Lizard__suborder,location_topic
303,conj<conj> ...,2,0.018,2,142,Lizard__suborder,location_topic
304,conj<conj> Jesus,2,0.018,2,142,Lizard__suborder,location_topic
305,conj<conj> dragon,2,0.018,2,142,Lizard__suborder,location_topic
306,conj<conj> lizard,2,0.018,2,142,Lizard__suborder,location_topic
307,conj<conj> moloch,2,0.018,2,142,Lizard__suborder,location_topic
308,conj<conj>amod> ...,2,0.009,1,142,Lizard__suborder,location_topic
309,conj<conj>amod> thorny,2,0.035,4,142,Lizard__suborder,location_topic
310,conj<conj>cc> ...,2,0.009,1,142,Lizard__suborder,location_topic
311,conj<conj>cc> and,2,0.018,2,142,Lizard__suborder,location_topic
312,conj<det> the,2,0.053,6,142,Lizard__suborder,location_topic
320,cop> be,2,0.001,1,142,Lizard__suborder,location_topic
322,det> the,2,-0.024,6,142,Lizard__suborder,location_topic
323,nmod:poss> Smith,2,0.012,2,142,Lizard__suborder,location_topic
324,nmod:poss>case> 's,2,0.012,2,142,Lizard__suborder,location_topic
345,nsubj< ...,2,0.031,6,142,Lizard__suborder,location_topic
346,nsubj< have,2,0.004,1,142,Lizard__suborder,location_topic
349,nsubj< spend,2,0.004,1,142,Lizard__suborder,location_topic
350,nsubj< use,2,0.012,2,142,Lizard__suborder,location_topic
352,nsubj<advcl> ...,2,0.012,2,142,Lizard__suborder,location_topic
353,nsubj<advcl>obj> ...,2,0.012,2,142,Lizard__suborder,location_topic
354,nsubj<advmod> ...,2,-0.002,1,142,Lizard__suborder,location_topic
355,nsubj<advmod> however,2,0.018,2,142,Lizard__suborder,location_topic
356,nsubj<amod> ...,2,0.001,1,142,Lizard__suborder,location_topic
357,nsubj<aux> can,2,0.004,1,142,Lizard__suborder,location_topic
358,nsubj<aux> do,2,0.018,2,142,Lizard__suborder,location_topic
359,nsubj<aux> have,2,0.018,2,142,Lizard__suborder,location_topic
360,nsubj<conj> ...,2,0.002,2,142,Lizard__suborder,location_topic
361,nsubj<conj>cc> ...,2,0.004,1,142,Lizard__suborder,location_topic
363,nsubj<conj>det> ...,2,0.004,1,142,Lizard__suborder,location_topic
364,nsubj<conj>det> the,2,0.004,1,142,Lizard__suborder,location_topic
365,nsubj<conj>nsubj> ...,2,0.001,1,142,Lizard__suborder,location_topic
366,nsubj<cop> be,2,-0.004,1,142,Lizard__suborder,location_topic
367,nsubj<det> a,2,-0.002,1,142,Lizard__suborder,location_topic
368,nsubj<nmod> ...,2,0.027,3,142,Lizard__suborder,location_topic
370,nsubj<nmod>case> ...,2,0.018,2,142,Lizard__suborder,location_topic
371,nsubj<nmod>case> of,2,0.001,1,142,Lizard__suborder,location_topic
372,nsubj<obj> ...,2,0.023,5,142,Lizard__suborder,location_topic
373,nsubj<obj> change,2,0.018,2,142,Lizard__suborder,location_topic
374,nsubj<obj>amod> ...,2,0.012,2,142,Lizard__suborder,location_topic
375,nsubj<obj>amod> active,2,0.018,2,142,Lizard__suborder,location_topic
376,nsubj<obj>compound> ...,2,0.009,1,142,Lizard__suborder,location_topic
377,nsubj<obj>compound> colour,2,0.018,2,142,Lizard__suborder,location_topic
379,nsubj<obj>nmod:poss> its,2,0.004,1,142,Lizard__suborder,location_topic
380,nsubj<obj>nmod> ...,2,0.02,3,142,Lizard__suborder,location_topic
381,nsubj<obl> ...,2,0.02,4,142,Lizard__suborder,location_topic
382,nsubj<obl>case> ...,2,0.02,3,142,Lizard__suborder,location_topic
383,nsubj<obl>case> in,2,0.001,1,142,Lizard__suborder,location_topic
384,nsubj<obl>det> ...,2,0.001,1,142,Lizard__suborder,location_topic
385,nsubj> ...,2,0.009,1,142,Lizard__suborder,location_topic
387,nsubj>amod> ...,2,0.012,2,142,Lizard__suborder,location_topic
388,nsubj>det> the,2,0.001,1,142,Lizard__suborder,location_topic
390,amod> ...,3,-0.005,1,119,Lizard__suborder,location_topic
392,amod> asian,3,0.003,1,119,Lizard__suborder,location_topic
393,amod> common,3,0.009,2,119,Lizard__suborder,location_topic
395,amod> male,3,0.006,1,119,Lizard__suborder,location_topic
396,amod> thorny,3,-0.001,1,119,Lizard__suborder,location_topic
397,amod> viviparous,3,-0.003,1,119,Lizard__suborder,location_topic
398,appos< ...,3,0.023,3,119,Lizard__suborder,location_topic
399,appos<conj> ...,3,0.048,4,119,Lizard__suborder,location_topic
400,appos<conj>det> ...,3,0.012,1,119,Lizard__suborder,location_topic
401,appos<conj>det> the,3,0.024,2,119,Lizard__suborder,location_topic
402,appos<nsubj<nmod> ...,3,0.036,3,119,Lizard__suborder,location_topic
411,case> in,3,0.006,1,119,Lizard__suborder,location_topic
412,case> of,3,-0.001,2,119,Lizard__suborder,location_topic
414,case> to,3,0.006,1,119,Lizard__suborder,location_topic
419,compound> ...,3,0.021,4,119,Lizard__suborder,location_topic
421,compound> marine,3,0.006,1,119,Lizard__suborder,location_topic
422,compound> sand,3,-0.0,5,119,Lizard__suborder,location_topic
425,compound> water,3,0.003,1,119,Lizard__suborder,location_topic
450,cop> be,3,0.003,1,119,Lizard__suborder,location_topic
451,det> a,3,0.003,1,119,Lizard__suborder,location_topic
452,det> the,3,0.054,14,119,Lizard__suborder,location_topic
455,nmod< ...,3,-0.003,2,119,Lizard__suborder,location_topic
456,nmod< species,3,0.006,1,119,Lizard__suborder,location_topic
459,nmod<cop> be,3,0.017,2,119,Lizard__suborder,location_topic
460,nmod<det> a,3,0.003,1,119,Lizard__suborder,location_topic
462,nmod> ...,3,0.048,4,119,Lizard__suborder,location_topic
463,nmod>case> ...,3,0.012,1,119,Lizard__suborder,location_topic
464,nmod>case> in,3,0.036,3,119,Lizard__suborder,location_topic
465,nsubj:pass< ...,3,0.052,5,119,Lizard__suborder,location_topic
466,nsubj:pass< find,3,0.024,2,119,Lizard__suborder,location_topic
467,nsubj:pass<aux:pass> be,3,0.076,7,119,Lizard__suborder,location_topic
468,nsubj:pass<obl> ...,3,0.076,7,119,Lizard__suborder,location_topic
469,nsubj:pass<obl>amod> ...,3,0.036,3,119,Lizard__suborder,location_topic
470,nsubj:pass<obl>case> ...,3,0.006,1,119,Lizard__suborder,location_topic
471,nsubj:pass<obl>case> for,3,0.024,2,119,Lizard__suborder,location_topic
472,nsubj:pass<obl>case> in,3,0.048,4,119,Lizard__suborder,location_topic
473,nsubj:pass<obl>conj> ...,3,-0.011,1,119,Lizard__suborder,location_topic
474,nsubj:pass<obl>det> ...,3,0.036,3,119,Lizard__suborder,location_topic
475,nsubj< ...,3,-0.007,1,119,Lizard__suborder,location_topic
477,nsubj< lizard,3,0.006,1,119,Lizard__suborder,location_topic
480,nsubj< use,3,0.003,1,119,Lizard__suborder,location_topic
486,nsubj<amod> ...,3,0.003,1,119,Lizard__suborder,location_topic
490,nsubj<conj> ...,3,0.006,2,119,Lizard__suborder,location_topic
491,nsubj<conj>cc> ...,3,0.006,1,119,Lizard__suborder,location_topic
492,nsubj<conj>cc> and,3,0.006,1,119,Lizard__suborder,location_topic
495,nsubj<conj>nsubj> ...,3,0.017,2,119,Lizard__suborder,location_topic
496,nsubj<cop> be,3,0.006,2,119,Lizard__suborder,location_topic
497,nsubj<det> a,3,-0.001,1,119,Lizard__suborder,location_topic
502,nsubj<obj> ...,3,-0.006,1,119,Lizard__suborder,location_topic
508,nsubj<obj>nmod:poss> ...,3,0.012,1,119,Lizard__suborder,location_topic
516,nsubj> lizard,3,0.006,1,119,Lizard__suborder,location_topic
517,nsubj>amod> ...,3,0.003,1,119,Lizard__suborder,location_topic
518,nsubj>det> the,3,0.003,1,119,Lizard__suborder,location_topic
519,obl< ...,3,0.0,1,119,Lizard__suborder,location_topic
528,appos< ...,4,0.23,1,10,Lizard__suborder,location_topic
549,compound> ...,4,0.171,1,10,Lizard__suborder,location_topic
573,conj> ...,4,0.562,2,10,Lizard__suborder,location_topic
574,conj> lizard,4,0.281,1,10,Lizard__suborder,location_topic
576,conj>amod> ...,4,0.23,1,10,Lizard__suborder,location_topic
578,conj>cc> and,4,0.252,1,10,Lizard__suborder,location_topic
579,conj>cc> or,4,0.23,1,10,Lizard__suborder,location_topic
582,det> the,4,0.198,2,10,Lizard__suborder,location_topic
650,amod> ...,5,0.013,2,76,Lizard__suborder,location_topic
653,amod> common,5,0.004,1,76,Lizard__suborder,location_topic
654,amod> dwarf,5,0.004,1,76,Lizard__suborder,location_topic
656,amod> thorny,5,0.004,1,76,Lizard__suborder,location_topic
657,amod> viviparous,5,0.001,1,76,Lizard__suborder,location_topic
663,appos> ...,5,0.056,5,76,Lizard__suborder,location_topic
664,appos> Varanus,5,0.049,2,76,Lizard__suborder,location_topic
667,appos>flat> ...,5,0.074,3,76,Lizard__suborder,location_topic
668,appos>flat> vivipara,5,0.049,2,76,Lizard__suborder,location_topic
672,case> of,5,-0.004,1,76,Lizard__suborder,location_topic
682,compound> sand,5,-0.003,3,76,Lizard__suborder,location_topic
704,conj> lizard,5,0.01,1,76,Lizard__suborder,location_topic
706,conj>amod> ...,5,0.004,1,76,Lizard__suborder,location_topic
709,conj>cc> or,5,0.004,1,76,Lizard__suborder,location_topic
712,det> the,5,0.037,8,76,Lizard__suborder,location_topic
715,nmod< ...,5,-0.006,1,76,Lizard__suborder,location_topic
735,nsubj< ...,5,0.027,3,76,Lizard__suborder,location_topic
736,nsubj< have,5,0.016,1,76,Lizard__suborder,location_topic
737,nsubj< lizard,5,0.016,1,76,Lizard__suborder,location_topic
738,nsubj< species,5,0.049,2,76,Lizard__suborder,location_topic
742,nsubj<advcl> ...,5,0.01,1,76,Lizard__suborder,location_topic
743,nsubj<advcl>obj> ...,5,0.01,1,76,Lizard__suborder,location_topic
744,nsubj<advmod> ...,5,0.087,4,76,Lizard__suborder,location_topic
746,nsubj<amod> ...,5,0.01,1,76,Lizard__suborder,location_topic
747,nsubj<aux> can,5,0.016,1,76,Lizard__suborder,location_topic
750,nsubj<conj> ...,5,0.021,2,76,Lizard__suborder,location_topic
752,nsubj<conj>cc> and,5,0.016,1,76,Lizard__suborder,location_topic
753,nsubj<conj>det> ...,5,0.016,1,76,Lizard__suborder,location_topic
754,nsubj<conj>det> the,5,0.016,1,76,Lizard__suborder,location_topic
756,nsubj<cop> be,5,0.047,3,76,Lizard__suborder,location_topic
757,nsubj<det> a,5,0.054,3,76,Lizard__suborder,location_topic
759,nsubj<nmod> lizard,5,0.049,2,76,Lizard__suborder,location_topic
761,nsubj<nmod>case> of,5,0.039,2,76,Lizard__suborder,location_topic
762,nsubj<obj> ...,5,0.01,2,76,Lizard__suborder,location_topic
764,nsubj<obj>amod> ...,5,0.01,1,76,Lizard__suborder,location_topic
769,nsubj<obj>nmod:poss> its,5,0.016,1,76,Lizard__suborder,location_topic
771,nsubj<obl> ...,5,0.041,3,76,Lizard__suborder,location_topic
772,nsubj<obl>case> ...,5,0.006,1,76,Lizard__suborder,location_topic
773,nsubj<obl>case> in,5,0.039,2,76,Lizard__suborder,location_topic
774,nsubj<obl>det> ...,5,0.039,2,76,Lizard__suborder,location_topic
780,amod> ...,6,0.018,1,34,Lizard__suborder,location_topic
784,amod> dwarf,6,0.032,1,34,Lizard__suborder,location_topic
788,appos< ...,6,0.032,1,34,Lizard__suborder,location_topic
800,case> ...,6,0.158,2,34,Lizard__suborder,location_topic
803,case> such,6,0.059,1,34,Lizard__suborder,location_topic
804,case> to,6,0.059,1,34,Lizard__suborder,location_topic
812,compound> sand,6,-0.011,1,34,Lizard__suborder,location_topic
