,feat,cluster,pw_entr,feat_n,N,group,relrole
3,amod> ...,0,0.013,2,70,Lizard__suborder,taxongroup_topic
6,amod> earless,0,0.032,1,70,Lizard__suborder,taxongroup_topic
8,amod> large,0,0.032,1,70,Lizard__suborder,taxongroup_topic
16,appos< ...,0,0.051,2,70,Lizard__suborder,taxongroup_topic
21,appos<amod> ...,0,0.032,1,70,Lizard__suborder,taxongroup_topic
22,appos<appos> ...,0,0.012,1,70,Lizard__suborder,taxongroup_topic
24,appos<appos>amod> ...,0,0.032,1,70,Lizard__suborder,taxongroup_topic
29,appos<conj> ...,0,0.327,9,70,Lizard__suborder,taxongroup_topic
30,appos<conj> Rhynchocephalia,0,0.042,1,70,Lizard__suborder,taxongroup_topic
31,appos<conj>amod> ...,0,0.032,1,70,Lizard__suborder,taxongroup_topic
33,appos<conj>appos> ...,0,0.092,2,70,Lizard__suborder,taxongroup_topic
35,appos<conj>cc> and,0,0.024,1,70,Lizard__suborder,taxongroup_topic
39,appos<det> the,0,0.021,1,70,Lizard__suborder,taxongroup_topic
40,appos<nmod> ...,0,0.078,2,70,Lizard__suborder,taxongroup_topic
42,appos<nmod>case> ...,0,0.052,1,70,Lizard__suborder,taxongroup_topic
43,appos<nmod>case> include,0,0.042,1,70,Lizard__suborder,taxongroup_topic
71,case> of,0,-0.002,1,70,Lizard__suborder,taxongroup_topic
100,compound> ...,0,0.012,1,70,Lizard__suborder,taxongroup_topic
107,compound> monitor,0,0.012,3,70,Lizard__suborder,taxongroup_topic
266,conj> snake,0,0.021,1,70,Lizard__suborder,taxongroup_topic
270,conj>cc> and,0,0.004,1,70,Lizard__suborder,taxongroup_topic
283,det> a,0,0.029,1,70,Lizard__suborder,taxongroup_topic
285,det> the,0,-0.006,1,70,Lizard__suborder,taxongroup_topic
296,nmod< species,0,0.019,1,70,Lizard__suborder,taxongroup_topic
324,nmod<conj< ...,0,0.014,1,70,Lizard__suborder,taxongroup_topic
325,nmod<conj<advmod> ...,0,0.084,2,70,Lizard__suborder,taxongroup_topic
330,nmod<conj<conj> ...,0,0.021,1,70,Lizard__suborder,taxongroup_topic
333,nmod<conj<nsubj> ...,0,0.036,1,70,Lizard__suborder,taxongroup_topic
338,nmod<cop> be,0,0.022,1,70,Lizard__suborder,taxongroup_topic
339,nmod<det> a,0,0.018,1,70,Lizard__suborder,taxongroup_topic
380,nmod> ...,0,0.045,2,70,Lizard__suborder,taxongroup_topic
381,nmod> Australia,0,0.042,1,70,Lizard__suborder,taxongroup_topic
382,nmod> Varanidae,0,0.042,1,70,Lizard__suborder,taxongroup_topic
383,nmod>amod> ...,0,0.036,1,70,Lizard__suborder,taxongroup_topic
384,nmod>case> ...,0,0.036,1,70,Lizard__suborder,taxongroup_topic
386,nmod>case> in,0,0.026,1,70,Lizard__suborder,taxongroup_topic
388,nmod>case> of,0,0.036,1,70,Lizard__suborder,taxongroup_topic
389,nmod>case> such,0,0.042,1,70,Lizard__suborder,taxongroup_topic
391,nmod>compound> ...,0,0.078,2,70,Lizard__suborder,taxongroup_topic
393,nmod>conj> ...,0,0.036,1,70,Lizard__suborder,taxongroup_topic
394,nmod>conj>cc> and,0,0.036,1,70,Lizard__suborder,taxongroup_topic
395,nmod>det> ...,0,0.052,1,70,Lizard__suborder,taxongroup_topic
396,nmod>det> the,0,0.064,2,70,Lizard__suborder,taxongroup_topic
397,nmod>nmod> ...,0,0.092,2,70,Lizard__suborder,taxongroup_topic
398,nmod>nmod>case> ...,0,0.052,1,70,Lizard__suborder,taxongroup_topic
399,nmod>nmod>case> of,0,0.042,1,70,Lizard__suborder,taxongroup_topic
400,nsubj:pass< ...,0,0.017,1,70,Lizard__suborder,taxongroup_topic
403,nsubj:pass<advmod> also,0,0.042,1,70,Lizard__suborder,taxongroup_topic
404,nsubj:pass<aux:pass> be,0,0.014,1,70,Lizard__suborder,taxongroup_topic
