feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj< ...,0.961,0.0,0.952,0.0,107,Mammal__class,free_topic
nsubj<obl>case> at,0.96,0.0,0.764,0.027,4,Mammal__class,free_topic
nmod> rodent,0.949,0.0,0.764,0.027,4,Mammal__class,free_topic
conj<nmod>case> such,0.937,0.001,0.932,0.001,9,Mammal__class,free_topic
acl>obl>det> the,0.937,0.001,0.873,0.005,6,Mammal__class,free_topic
conj< reptiles,0.93,0.001,0.764,0.027,3,Mammal__class,free_topic
conj<case> in,0.919,0.001,0.756,0.03,8,Mammal__class,free_topic
conj>amod> ...,0.917,0.001,0.786,0.021,24,Mammal__class,free_topic
case> by,0.917,0.001,0.846,0.008,13,Mammal__class,free_topic
conj<conj> fish,0.917,0.001,0.866,0.005,13,Mammal__class,free_topic
case> on,0.917,0.001,0.846,0.008,13,Mammal__class,free_topic
conj<case> of,0.915,0.001,0.709,0.049,19,Mammal__class,free_topic
conj> lizard,0.914,0.001,0.764,0.027,3,Mammal__class,free_topic
nmod>case> such,0.913,0.002,0.702,0.052,24,Mammal__class,free_topic
nmod<det> ...,0.912,0.002,0.866,0.005,4,Mammal__class,free_topic
cc> and,0.912,0.002,0.609,0.109,99,Mammal__class,free_topic
conj<conj> lizard,0.912,0.002,0.764,0.027,7,Mammal__class,free_topic
nmod> world,0.911,0.002,0.577,0.134,3,Mammal__class,free_topic
conj<case> as,0.908,0.002,0.764,0.027,3,Mammal__class,free_topic
conj<case> ...,0.908,0.002,0.756,0.03,8,Mammal__class,free_topic
case> to,0.899,0.002,0.846,0.008,21,Mammal__class,free_topic
nmod< member,0.895,0.003,0.764,0.027,3,Mammal__class,free_topic
nmod> America,0.894,0.003,0.577,0.134,3,Mammal__class,free_topic
nmod< group,0.894,0.003,0.764,0.027,7,Mammal__class,free_topic
nmod< species,0.893,0.003,0.764,0.027,4,Mammal__class,free_topic
nsubj:pass<obl>case> to,0.893,0.003,0.577,0.134,3,Mammal__class,free_topic
nmod<case> by,0.893,0.003,0.756,0.03,2,Mammal__class,free_topic
obl<nsubj:pass>det> ...,0.893,0.003,0.577,0.134,1,Mammal__class,free_topic
conj< bird,0.889,0.003,0.846,0.008,32,Mammal__class,free_topic
nsubj<advmod> often,0.888,0.003,0.764,0.027,3,Mammal__class,free_topic
xcomp<obl>amod> ...,-0.887,0.003,-0.764,0.027,3,Mammal__class,free_topic
conj> insect,0.887,0.003,0.764,0.027,3,Mammal__class,free_topic
conj> bird,0.887,0.003,0.736,0.038,24,Mammal__class,free_topic
conj>amod> other,0.885,0.003,0.764,0.027,3,Mammal__class,free_topic
nmod< ...,0.884,0.004,0.875,0.004,124,Mammal__class,free_topic
conj<appos< animal,-0.883,0.004,-0.756,0.03,2,Mammal__class,free_topic
case> ...,0.88,0.004,0.781,0.022,62,Mammal__class,free_topic
nmod>case> include,0.88,0.004,0.674,0.067,6,Mammal__class,free_topic
conj<nmod<conj< gazelle,0.878,0.004,0.577,0.134,2,Mammal__class,free_topic
nmod>nmod> ...,0.877,0.004,0.546,0.162,9,Mammal__class,free_topic
conj<case> with,0.875,0.004,0.764,0.027,6,Mammal__class,free_topic
conj<conj> fox,0.875,0.004,0.518,0.188,8,Mammal__class,free_topic
conj<conj> insect,0.874,0.005,0.756,0.03,8,Mammal__class,free_topic
obl<conj>conj> ...,0.873,0.005,0.577,0.134,3,Mammal__class,free_topic
obj<nsubj>compound> ...,0.872,0.005,0.577,0.134,1,Mammal__class,free_topic
nmod>amod> ...,0.871,0.005,0.764,0.027,21,Mammal__class,free_topic
appos>flat> ...,-0.867,0.005,-0.866,0.005,4,Mammal__class,free_topic
conj> ...,0.865,0.006,0.731,0.04,104,Mammal__class,free_topic
conj<case> such,0.864,0.006,0.709,0.049,16,Mammal__class,free_topic
nmod> ...,0.863,0.006,0.024,0.955,77,Mammal__class,free_topic
nmod> whale,0.862,0.006,0.756,0.03,2,Mammal__class,free_topic
nmod>case> as,0.862,0.006,0.577,0.134,2,Mammal__class,free_topic
case> than,0.862,0.006,0.873,0.005,13,Mammal__class,free_topic
nsubj<obl>case> in,0.861,0.006,0.436,0.28,8,Mammal__class,free_topic
nmod> States,0.861,0.006,0.577,0.134,2,Mammal__class,free_topic
conj<conj> invertebrate,0.86,0.006,0.764,0.027,7,Mammal__class,free_topic
conj<conj> rodent,0.86,0.006,0.733,0.039,7,Mammal__class,free_topic
case> in,0.86,0.006,0.737,0.037,50,Mammal__class,free_topic
obl<nsubj:pass>det> the,0.86,0.006,0.481,0.227,5,Mammal__class,free_topic
nmod<obl<nsubj> ...,0.859,0.006,0.655,0.078,10,Mammal__class,free_topic
nmod<obj< have,0.858,0.006,0.577,0.134,8,Mammal__class,free_topic
conj<nmod< animal,0.858,0.006,0.764,0.027,3,Mammal__class,free_topic
nsubj<obl>case> of,0.857,0.007,0.577,0.134,3,Mammal__class,free_topic
nsubj<obl>case> ...,0.856,0.007,0.577,0.134,12,Mammal__class,free_topic
nsubj<obl>case> to,0.855,0.007,0.577,0.134,5,Mammal__class,free_topic
nmod>case> like,0.855,0.007,0.674,0.067,6,Mammal__class,free_topic
conj<nsubj>det> ...,0.852,0.007,0.756,0.03,2,Mammal__class,free_topic
conj<conj> ...,0.85,0.007,0.651,0.081,242,Mammal__class,free_topic
nsubj:pass<obl>case> ...,0.85,0.008,0.577,0.134,6,Mammal__class,free_topic
case> for,0.85,0.008,0.741,0.036,14,Mammal__class,free_topic
nsubj<advcl>advcl> ...,0.847,0.008,0.577,0.134,3,Mammal__class,free_topic
nsubj<advcl>obj> speech,-0.846,0.008,-0.577,0.134,2,Mammal__class,free_topic
case> of,0.846,0.008,0.786,0.021,118,Mammal__class,free_topic
nmod< predator,0.845,0.008,0.655,0.078,4,Mammal__class,free_topic
acl:relcl>conj> ...,0.843,0.009,0.764,0.027,3,Mammal__class,free_topic
conj<nmod< ...,0.843,0.009,0.764,0.027,25,Mammal__class,free_topic
nmod<case> with,0.84,0.009,0.577,0.134,5,Mammal__class,free_topic
conj<obl<obl> ...,0.84,0.009,0.733,0.039,11,Mammal__class,free_topic
nmod<amod> largest,0.838,0.009,0.577,0.134,6,Mammal__class,free_topic
nmod< prey,0.838,0.009,0.577,0.134,3,Mammal__class,free_topic
nmod>case> ...,0.837,0.01,0.365,0.374,12,Mammal__class,free_topic
nmod>case> of,0.837,0.01,0.192,0.648,13,Mammal__class,free_topic
nmod> vole,0.836,0.01,0.577,0.134,3,Mammal__class,free_topic
nsubj<advmod> also,0.836,0.01,0.577,0.134,3,Mammal__class,free_topic
conj<obl<obl> prey,0.836,0.01,0.756,0.03,2,Mammal__class,free_topic
nmod<case> for,0.834,0.01,0.577,0.134,3,Mammal__class,free_topic
nsubj<obl>case> include,0.834,0.01,0.577,0.134,3,Mammal__class,free_topic
nsubj< face,0.833,0.01,0.577,0.134,3,Mammal__class,free_topic
conj>obl>conj> ...,0.833,0.01,0.764,0.027,3,Mammal__class,free_topic
nmod<nmod:poss> ...,0.832,0.01,0.577,0.134,1,Mammal__class,free_topic
obl<amod<nmod> ...,0.83,0.011,0.577,0.134,3,Mammal__class,free_topic
nmod<case> as,0.83,0.011,0.756,0.03,2,Mammal__class,free_topic
nsubj:pass<obl>case> on,0.83,0.011,0.577,0.134,2,Mammal__class,free_topic
nsubj< take,0.83,0.011,0.577,0.134,2,Mammal__class,free_topic
nsubj<advmod> sometimes,0.829,0.011,0.577,0.134,2,Mammal__class,free_topic
case> like,0.827,0.011,0.709,0.049,16,Mammal__class,free_topic
nmod>case> in,0.827,0.011,-0.1,0.814,24,Mammal__class,free_topic
nmod<acl> ...,0.825,0.012,0.764,0.027,4,Mammal__class,free_topic
nmod>nmod>case> of,0.823,0.012,0.577,0.134,4,Mammal__class,free_topic
nsubj<obl>case> with,0.823,0.012,0.577,0.134,4,Mammal__class,free_topic
conj<nmod< prey,0.822,0.012,0.764,0.027,5,Mammal__class,free_topic
acl> resembl,0.82,0.013,0.756,0.03,2,Mammal__class,free_topic
nmod< case,0.819,0.013,0.655,0.078,3,Mammal__class,free_topic
nsubj<obl>case> on,0.817,0.013,0.577,0.134,5,Mammal__class,free_topic
nsubj<obl>case> from,0.817,0.013,0.577,0.134,3,Mammal__class,free_topic
compound>amod> eastern,-0.816,0.013,-0.577,0.134,3,Mammal__class,free_topic
obj<cc> and,0.816,0.014,0.77,0.025,7,Mammal__class,free_topic
nsubj:pass<obl>case> by,0.816,0.014,0.577,0.134,3,Mammal__class,free_topic
conj< reptile,0.815,0.014,0.577,0.134,4,Mammal__class,free_topic
obl<conj> ...,0.813,0.014,0.862,0.006,18,Mammal__class,free_topic
nmod<obj< ...,0.813,0.014,0.409,0.314,15,Mammal__class,free_topic
nsubj:pass<obl>case> in,0.813,0.014,0.577,0.134,3,Mammal__class,free_topic
nmod<conj> ...,0.813,0.014,0.764,0.027,16,Mammal__class,free_topic
nmod<det> some,0.813,0.014,0.756,0.03,2,Mammal__class,free_topic
obl<acl:relcl<nsubj> ...,-0.812,0.014,-0.756,0.03,4,Mammal__class,free_topic
nmod<obj< make,0.811,0.015,0.577,0.134,2,Mammal__class,free_topic
obl<nsubj>det> the,0.81,0.015,0.77,0.025,10,Mammal__class,free_topic
nsubj:pass<aux:pass> be,0.809,0.015,0.161,0.704,26,Mammal__class,free_topic
nmod<nmod<nsubj< ...,0.809,0.015,0.764,0.027,3,Mammal__class,free_topic
nsubj<obl>case> during,0.809,0.015,0.577,0.134,5,Mammal__class,free_topic
nmod<case> from,0.807,0.016,0.733,0.039,3,Mammal__class,free_topic
obl<nsubj:pass> which,0.807,0.016,0.577,0.134,2,Mammal__class,free_topic
compound<nsubj< mammal,-0.806,0.016,-0.756,0.03,2,Mammal__class,free_topic
nmod<amod> know,0.804,0.016,0.577,0.134,3,Mammal__class,free_topic
conj<case> by,0.803,0.016,0.764,0.027,10,Mammal__class,free_topic
nmod< those,0.8,0.017,0.577,0.134,4,Mammal__class,free_topic
nsubj>amod> american,-0.798,0.018,-0.577,0.134,2,Mammal__class,free_topic
amod> many,0.797,0.018,0.456,0.256,8,Mammal__class,free_topic
nsubj<obl>case> for,0.795,0.018,0.577,0.134,5,Mammal__class,free_topic
compound<nmod>case> ...,0.793,0.019,0.481,0.227,6,Mammal__class,free_topic
nmod<det> a,0.793,0.019,0.764,0.027,21,Mammal__class,free_topic
nsubj< include,0.792,0.019,0.756,0.03,2,Mammal__class,free_topic
amod> largest,0.792,0.019,0.481,0.227,9,Mammal__class,free_topic
nmod<case> of,0.792,0.019,0.764,0.027,17,Mammal__class,free_topic
nsubj<advmod> so,0.792,0.019,0.577,0.134,2,Mammal__class,free_topic
