feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> worm,0.986,0.0,0.577,0.134,2,Mammal__class,taxongroup_comment
conj> insect,0.982,0.0,0.577,0.134,2,Mammal__class,taxongroup_comment
conj> fish,0.98,0.0,0.577,0.134,2,Mammal__class,taxongroup_comment
conj> egg,0.958,0.0,0.577,0.134,2,Mammal__class,taxongroup_comment
conj<conj> tapir,0.951,0.0,0.577,0.134,2,Mammal__class,taxongroup_comment
nmod<det> ...,0.949,0.0,0.577,0.134,1,Mammal__class,taxongroup_comment
compound< Waldheim,0.948,0.0,0.577,0.134,2,Mammal__class,taxongroup_comment
conj> ...,0.946,0.0,0.481,0.227,25,Mammal__class,taxongroup_comment
conj<conj> buffalo,0.943,0.0,0.577,0.134,2,Mammal__class,taxongroup_comment
nmod<obl<obl> ...,0.939,0.001,0.577,0.134,3,Mammal__class,taxongroup_comment
conj<conj> hare,0.936,0.001,0.655,0.078,4,Mammal__class,taxongroup_comment
conj<compound> bush,-0.933,0.001,-0.577,0.134,2,Mammal__class,taxongroup_comment
appos<compound> hare,0.932,0.001,0.577,0.134,2,Mammal__class,taxongroup_comment
nmod<det> the,0.93,0.001,0.218,0.604,27,Mammal__class,taxongroup_comment
conj<conj> Lepus,0.929,0.001,0.577,0.134,2,Mammal__class,taxongroup_comment
compound< cinereus,0.929,0.001,0.764,0.027,3,Mammal__class,taxongroup_comment
nmod<det> a,0.928,0.001,0.218,0.604,12,Mammal__class,taxongroup_comment
nmod>case> ...,0.916,0.001,0.913,0.002,8,Mammal__class,taxongroup_comment
list<conj>amod> fagani,0.911,0.002,0.577,0.134,2,Mammal__class,taxongroup_comment
conj<conj> gibbon,0.908,0.002,0.577,0.134,2,Mammal__class,taxongroup_comment
conj<conj> tiger,0.908,0.002,0.577,0.134,2,Mammal__class,taxongroup_comment
appos<list>flat> hare,0.901,0.002,0.577,0.134,4,Mammal__class,taxongroup_comment
nmod< range,0.901,0.002,0.577,0.134,3,Mammal__class,taxongroup_comment
conj<conj> ...,0.901,0.002,0.464,0.247,21,Mammal__class,taxongroup_comment
conj<conj> orangutan,0.899,0.002,0.577,0.134,2,Mammal__class,taxongroup_comment
appos<conj>amod> african,0.899,0.002,0.764,0.027,5,Mammal__class,taxongroup_comment
nmod< species,0.894,0.003,0.577,0.134,3,Mammal__class,taxongroup_comment
obj<nsubj> ...,-0.892,0.003,-0.617,0.103,10,Mammal__class,taxongroup_comment
appos> conservation,0.888,0.003,0.655,0.078,4,Mammal__class,taxongroup_comment
